SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51549,20240627,30,0,0,안양경로당,경상남도,0,2 ,경상남도 김해시 생림면 안양로251번길 2  안양경로당,경상남도 김해시 생림면 안양리 308 안양회관 안양경로당,경남지방경찰청 김해중부,48250,김해시,128.84850748330356,35.37226747508104,도로과,05525979175,2,"POLYGON((128.84749588243955 35.373742849504154,128.84746556679448 35.3733783385127,128.847436894484 35.37308589612004,128.8474615161339 35.37295935547554,128.84755254087776 35.372849822672556,128.8476282996564 35.37279459362316,128.8477476423925 35.372720674424,128.84791169870843 35.37267761212828,128.84808176779705 35.37265698692227,128.8482848328909 35.37263585662133,128.84845793532057 35.372507043843974,128.8486626974087 35.37231917014165,128.84889351642428 35.372067815252116,128.84901028765736 35.37188128769822,128.84923319026012 35.371283102150315,128.84940130318236 35.37069476672592,128.8496151029509 35.369939014706205,128.84968129850782 35.36994701287598,128.84951434525863 35.370465490114086,128.84933875559187 35.37108773410817,128.84918446713158 35.371558705455584,128.84913255765096 35.37169467586205,128.84902598854367 35.37196665870334,128.8489407743909 35.37208962122883,128.8486562465746 35.372398121406746,128.84842979511444 35.37259984456785,128.84834314111393 35.37265974668068,128.84801705953655 35.37271430012534,128.84783069764723 35.37274418619305,128.84761318795853 35.37285565387212,128.84751126723302 35.372969859226934,128.84749052494075 35.37314590500977,128.84755041458672 35.37372173909034,128.84749588243955 35.373742849504154))",C0103
51417,20240524,50,50,0,마상촌경로당,경상남도,8,1 ,경상남도 통영시 도산면 마상촌길 101-8  101-8,경상남도 통영시 도산면 오륜리 429-3 마상촌마을회관 ,경남경찰청 통영,48220,통영시,128.33388435327407,34.90540702349241,도로과,0556502334,2,"POLYGON((128.33409421428408 34.9075588562173,128.33428134465834 34.90762890660035,128.3344152407911 34.90711368837991,128.33456459505075 34.90687770701704,128.3348256715364 34.90678470825514,128.33574279153964 34.90666647314932,128.33610231619411 34.90657238946965,128.33648094305354 34.906306845357925,128.33782145437303 34.90598564876118,128.33826965388883 34.90596268740267,128.33861940371708 34.90594080892605,128.33858410073077 34.9057879747943,128.33833323949364 34.9058358034659,128.33773189730346 34.905860451002376,128.33645716683043 34.906189936281734,128.33598038228124 34.9064745857516,128.33555537033246 34.90657840195033,128.33456226174138 34.90673352268589,128.3343786326709 34.90687974919925,128.33423190222447 34.907277937729646,128.33419149941898 34.9074856831416,128.33409421428408 34.9075588562173))",C0103
51256,20240409,30,0,0,대현경로당,경상남도,0,2 ,경상남도 김해시 한림면 장방로 87  대현경로당,경상남도 김해시 한림면 가산리 608-3 대현경로당,경남지방경찰청 김해서부,48250,김해시,128.76539236933684,35.321222303692856,도로과,05538843905,2,"POLYGON((128.76565220681084 35.32141551818636,128.76557045594555 35.32132208708675,128.76551039590476 35.32121482122764,128.76536780220925 35.32097808781434,128.76523997785094 35.32078845114252,128.76512191602725 35.32066851419737,128.7650494388094 35.32062225991261,128.7651142166839 35.320567242449016,128.76522050274687 35.320651303665585,128.76532487343286 35.32077369344437,128.76542983208495 35.32092311031694,128.76553542779158 35.32110180654279,128.76563224104785 35.32125584815507,128.76571457966435 35.32137630640305,128.76565220681084 35.32141551818636))",C0103
51206,20240312,30,0,0,안곡경로당,경상남도,0,2 ,경상남도 김해시 한림면 안곡로492번길 35  안곡경로당,경상남도 김해시 한림면 안곡리 103 ,경남지방경찰청 김해서부,48250,김해시,128.84257385376773,35.30293997348347,도로과,05522325577,2,"POLYGON((128.84055980696652 35.30250522390424,128.84079119350287 35.30252873659732,128.84146645022577 35.302582855040484,128.8415749737393 35.30264203186041,128.84166085521832 35.30267226505599,128.8417848418262 35.3026861470136,128.84202711627663 35.302704985547244,128.8421570061259 35.3027368008266,128.84231482887324 35.30278846692009,128.8423845843323 35.30283471601608,128.84246746360816 35.30285372960126,128.84263250718607 35.302860226117346,128.84263153671793 35.302817434751276,128.84250790731969 35.30281931891438,128.84240030219476 35.30280068215639,128.84229727253185 35.30274142237591,128.84216997675128 35.302702808854775,128.8420237051778 35.302675749091215,128.8418253368117 35.30265398872622,128.84167652230954 35.30263597910281,128.84159913804808 35.30261688126622,128.84149056350722 35.30255545228856,128.84059755505731 35.30247310783955,128.8403309127923 35.30247040804387,128.84011407918072 35.30248272027837,128.8397107851475 35.302513640277695,128.8395179632445 35.30249404466505,128.8392141272817 35.30242657254538,128.83884618617222 35.30231952144463,128.83884705268656 35.30235780854111,128.8393753068692 35.30250522693943,128.8396042518074 35.30254229680003,128.8397527088145 35.30254454372813,128.84055980696652 35.30250522390424))",C0103
51088,20240119,30,0,0,주남마을경로당,경상남도,0,2 ,경상남도 양산시 주남마을길 37 (주남동) 주남마을경로당,경상남도 양산시 주남동 607-3 주남리회관 주남마을경로당,경남지방경찰청 양산,48330,양산시,129.1529202740792,35.423615223999825,교통과,0553922885,2,"POLYGON((129.1539889034857 35.4231621250511,129.15401936551592 35.42320363322882,129.1538640070806 35.423295014668696,129.1537155844494 35.42337125355383,129.15350959503078 35.42349057106157,129.15347351596682 35.4235137424702,129.15339597623836 35.423564686810494,129.15321888898958 35.42366696799565,129.1529115748242 35.42380536316175,129.1530939463697 35.42372927064373,129.15276265230273 35.42389737930628,129.15270444589487 35.423916439568735,129.15265704329875 35.42392779793051,129.1525660655316 35.423956453652146,129.15243649525465 35.42398279376307,129.15223719514094 35.42400887522171,129.15219338034217 35.42401716570955,129.15215666166384 35.42401631856272,129.15162595756266 35.42406858222358,129.15149367417797 35.42406192901247,129.15140588459752 35.42407250484069,129.15139545671175 35.42402538242156,129.1514100085471 35.42402061751079,129.15145960480368 35.42402273718705,129.15206946775245 35.42398032679087,129.15202764672244 35.42399458904875,129.1521097745125 35.423978106338566,129.1521611248471 35.42397719079889,129.15231485606694 35.423962434929415,129.1523520914716 35.42395387248652,129.1524352167781 35.42393475741405,129.152506500604 35.42392447517845,129.15254293955869 35.42391481428238,129.15259066180633 35.42391546501688,129.15269218396324 35.423869349981985,129.15282328775174 35.4238317183091,129.1531614376132 35.42364546499859,129.15377585894197 35.423292081956866,129.1539889034857 35.4231621250511))",C0103
50955,20231213,40,40,0,양촌경로당,경상남도,7,2 ,경상남도 통영시 용남면 삼화양촌길 67  양촌노인정,경상남도 통영시 용남면 삼화리 681-15 양촌노인정 ,경남경찰청 통영,48220,통영시,128.44551017247733,34.889096800959585,도로과,0556502334,2,"POLYGON((128.44540997752392 34.889465272280134,128.44543851293693 34.889377056180294,128.4456084964956 34.88940207351311,128.44578807429212 34.88935036598902,128.44597661420875 34.88918588909528,128.44613119028895 34.88911194601679,128.44682711056197 34.888876085588954,128.44697269320272 34.88875718351993,128.4471550268994 34.888239018532225,128.44715875662226 34.88813983113959,128.447023109286 34.887733607947496,128.44698801899662 34.88744786296691,128.44710284557337 34.88744649589586,128.44712074232197 34.887687380552585,128.44724220650977 34.888064480270955,128.44727469040615 34.8882015417002,128.44709877368032 34.88877370844599,128.4470695686663 34.88882362765054,128.4468858678324 34.88895199661389,128.44614925257326 34.889206367591434,128.44601643013186 34.88927329213647,128.4458845548203 34.88939428326324,128.44572447044993 34.889466038305464,128.44559093686533 34.889492412356084,128.44540997752392 34.889465272280134))",C0103
50765,20230910,30,0,2,애플키즈스쿨어린이집,경상남도,0,1 ,경상남도 진주시 금산면 중장로 42  42,경상남도 진주시 금산면 중천리 283-2 ,경남지방경찰청 진주,48170,진주시,128.13870824660611,35.21772542824724,어린이집,0557617674,1,"POLYGON((128.13864448002383 35.218310513822765,128.13872503737477 35.218259283777726,128.13865571923822 35.2181716093178,128.1383261034857 35.21753299007344,128.13806513009084 35.21693338163732,128.13772051087525 35.21616331310614,128.13760670967332 35.2161932238951,128.13811438915016 35.217315065825254,128.13836365308413 35.21786250947318,128.1385374477019 35.218196155211075,128.138606765735 35.218283829757596,128.13864448002383 35.218310513822765))",C0103
50766,20230910,30,0,0,둥지너싱홈,경상남도,0,1 ,경상남도 진주시 집현면 남강로 1737-44  둥지너스홈,경상남도 진주시 집현면 장흥리 2 둥지너싱홈 ,경남지방경찰청 진주,48170,진주시,128.11971088648033,35.21514875656041,경상남도 진주시,0557726655,2,"POLYGON((128.1221865319126 35.215482744880084,128.12219627259327 35.215392525287605,128.1212456987735 35.21526974464312,128.12027716163666 35.215118281315135,128.12016256253628 35.21509050042349,128.12008295437897 35.21505158011208,128.12001230446532 35.21502519498563,128.11938295243374 35.21494088675673,128.11927299379965 35.21493108790539,128.1192050103267 35.214938926687324,128.1184628459614 35.21511703181355,128.1185103016987 35.21521393306576,128.11894147110323 35.215101793277114,128.11912101582095 35.215060476532706,128.11920629679946 35.21503264938315,128.11934026533226 35.21503141072973,128.11966133228773 35.21505908564233,128.12000488144764 35.21512440578194,128.1200755562082 35.2151525933781,128.12013297933945 35.21517549573581,128.1206967945383 35.215285643006204,128.12124271901325 35.21537251966679,128.1221865319126 35.215482744880084))",C0103
50671,20230726,30,0,0,정거경로당,경상남도,0,2 ,경상남도 남해군 이동면 무림로 47  ,경상남도 남해군 이동면 무림리 1135-6 하얀날개 경상남도 남해군 이동면 무림리 1135-6 하얀날개,경남지방경찰청 남해,48840,남해군,127.95305108783545,34.801127393972514,건설교통과,0558603316,2,"POLYGON((127.9529528881048 34.80161490233588,127.95336496010346 34.800390319548114,127.95348343734648 34.80024066540141,127.95517520089547 34.7995964401784,127.95522020540578 34.79970875808391,127.95362063904706 34.80029367249714,127.95348494220217 34.80037135215338,127.95305736414034 34.801672673149135,127.9529528881048 34.80161490233588))",C0103
50670,20230726,30,0,0,북변1리 경로당,경상남도,0,2 ,경상남도 남해군 남해읍 화전로78번가길 4  ,경상남도 남해군 남해읍 북변리 205-1 북변1마을회관 경상남도 남해군 남해읍 북변리 205-1 북변1마을회관,경남지방경찰청 남해,48840,남해군,127.89516451697862,34.8384199517624,건설교통과,0558603316,2,"POLYGON((127.89328630933531 34.842026416673484,127.89329550652897 34.8421187394056,127.89398720100243 34.842136191617044,127.8939888132297 34.84203252238806,127.89328630933531 34.842026416673484))",C0103
50668,20230726,30,0,0,북변1리 경로당,경상남도,0,2 ,경상남도 남해군 남해읍 화전로78번가길 4  ,경상남도 남해군 남해읍 북변리 205-1 북변1마을회관 경상남도 남해군 남해읍 북변리 205-1 북변1마을회관,경남지방경찰청 남해,48840,남해군,127.89516451697862,34.8384199517624,건설교통과,0558603316,2,"POLYGON((127.8950370089779 34.83837201696201,127.89497132224622 34.83836348659726,127.89472181910428 34.84207896125341,127.89479016861952 34.842080711872356,127.8950370089779 34.83837201696201))",C0103
50669,20230726,30,0,0,북변1리 경로당,경상남도,0,2 ,경상남도 남해군 남해읍 화전로78번가길 4  ,경상남도 남해군 남해읍 북변리 205-1 북변1마을회관 경상남도 남해군 남해읍 북변리 205-1 북변1마을회관,경남지방경찰청 남해,48840,남해군,127.89516451697862,34.8384199517624,건설교통과,0558603316,2,"POLYGON((127.89479839202188 34.84208290479674,127.89475839675956 34.84217558928801,127.89398998273975 34.84214067801371,127.89399432796783 34.84203698869707,127.89479839202188 34.84208290479674))",C0103
50632,20230707,30,0,14,은하수 초등학교,경상남도,0,1 ,경상남도 진주시 진주역로73번길 7 (가좌동) 은하수 초등학교,경상남도 진주시 가좌동 1988 은하수 초등학교,경남지방경찰청 진주,48170,진주시,128.11107157584283,35.15129656014574,도로과,0557950380,1,"POLYGON((128.11170598859403 35.15074094535969,128.1119048407352 35.1508382638843,128.1117741676543 35.15111436059566,128.11205601947316 35.15126274210426,128.11207693813913 35.15138873253966,128.11199274482067 35.15165313651941,128.11198361160865 35.151788415822914,128.1120252038462 35.15202237287787,128.11265042638246 35.15200085965331,128.11294979734907 35.152025148956,128.11326041727642 35.15206961346751,128.11337562943388 35.15206855472503,128.11354228599347 35.15201745137758,128.1137029341013 35.15192809766072,128.11395553800267 35.15154046828015,128.11197116575838 35.15087370728682,128.10927701114863 35.149654605905575,128.109394403382 35.14941017900972,128.111889699676 35.15053195971393,128.11408376829908 35.151286924335274,128.11521897535602 35.15164601412585,128.11510172063944 35.1518994582093,128.11415365753012 35.15158371161531,128.11390244641825 35.1518721852702,128.1138847491358 35.151982757592855,128.11371115298238 35.15212856201119,128.11355827345926 35.15218404547508,128.11330651747136 35.1522314243764,128.11298794360476 35.15220731237905,128.11265802920488 35.15215626460368,128.11226264758517 35.15213285607633,128.11181326140292 35.15217303309083,128.11172621612582 35.1522279100693,128.1118472062991 35.152449872271774,128.1121947620204 35.152789177259194,128.11282686267916 35.15327232954635,128.1132252767643 35.15371932061491,128.1132953301218 35.15382683320757,128.11310678545667 35.15388264385946,128.11280582490554 35.153540660382625,128.11225062330394 35.153063561826066,128.1118535971386 35.15271795127866,128.11162778407402 35.152454139056985,128.1114970169311 35.15232014338457,128.11140837798789 35.152257865349945,128.11083320352728 35.152328484977836,128.10998110210747 35.152613445666965,128.109446438602 35.1528391623859,128.10936828395057 35.152740734710804,128.10988679404153 35.152537698905164,128.11045190458412 35.15233198051435,128.11093286273177 35.15219237568058,128.11145009293364 35.15209750135019,128.11139448019233 35.15184114012454,128.1113934240748 35.15156174581235,128.1114884691825 35.151288229638105,128.11170598859403 35.15074094535969))",C0103
50537,20230620,30,30,1,진영유치원,경상남도,8,1 ,경상남도 김해시 진영읍 장등1로31번길 80-20  진영유치원,경상남도 김해시 진영읍 본산리 1552 진영유치원,경남지방경찰청 김해서부,48250,김해시,128.73896343273597,35.31511286491139,도로과,0558007792,1,"POLYGON((128.73925171587106 35.315218350905056,128.7392323860678 35.31517142339608,128.7390455206763 35.31524706582937,128.73890082581252 35.315316950254754,128.73868118737698 35.315457542103694,128.73867302907084 35.31545626620692,128.73830771349375 35.31534575741893,128.73844192612847 35.31493828843416,128.73876959965474 35.31496511773005,128.73920636888488 35.31495207571841,128.7392119128892 35.314954248950514,128.73920260811278 35.31490481694904,128.7391949639206 35.31489087397142,128.73882371272148 35.31491338024322,128.73852060234128 35.31488984410689,128.73849211102473 35.314842940965214,128.73841222957188 35.31483507774531,128.73822580675167 35.31537171812104,128.73854020221503 35.31548821645577,128.73864249692863 35.31549747378524,128.7387183913647 35.31549638221179,128.73879580082328 35.31544377181646,128.73895314431897 35.315334223060006,128.73925171587106 35.315218350905056))",C0103
