SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
50493,20230612,30,0,0,금구초등학교,광주광역시,0,2 ,광주광역시 광산구 임방울대로165번길 60 (운남동) 금구초등학교,광주광역시 광산구 운남동 781-3 금구초등학교 금구초등학교,광주지방경찰청 광주광산,29200,광산구,126.8140876615041,35.176758230520754,교통지도과,0629586577,1,"POLYGON((126.81481384487307 35.176036005042285,126.81617522737471 35.17597949058176,126.81619687869555 35.17611472678883,126.8148245161076 35.176171224702806,126.81481384487307 35.176036005042285))",C0103
50492,20230612,30,0,0,금구초등학교,광주광역시,0,2 ,광주광역시 광산구 임방울대로165번길 60 (운남동) 금구초등학교,광주광역시 광산구 운남동 781-3 금구초등학교 금구초등학교,광주지방경찰청 광주광산,29200,광산구,126.8140876615041,35.176758230520754,교통지도과,0629586577,1,"POLYGON((126.81386643036838 35.17508362263825,126.81449217966482 35.175075569005244,126.81451359252264 35.17531446107632,126.81383300411574 35.1752998966531,126.81386643036838 35.17508362263825))",C0103
50491,20230612,30,0,0,금구초등학교,광주광역시,0,2 ,광주광역시 광산구 임방울대로165번길 60 (운남동) 금구초등학교,광주광역시 광산구 운남동 781-3 금구초등학교 금구초등학교,광주지방경찰청 광주광산,29200,광산구,126.8140876615041,35.176758230520754,교통지도과,0629586577,1,"POLYGON((126.8139134885015 35.17611124044186,126.81394073799046 35.17619691108497,126.81458305468186 35.17614832144089,126.81499856441677 35.179299193903084,126.81519620380405 35.17928597528007,126.81480246842825 35.176211751999126,126.81474066033195 35.17442246630089,126.81452107742568 35.17443565061143,126.81451420671561 35.17504405528395,126.81456673119486 35.17608520155835,126.8139134885015 35.17611124044186))",C0103
50490,20230612,30,0,0,금구초등학교,광주광역시,0,2 ,광주광역시 광산구 임방울대로165번길 60 (운남동) 금구초등학교,광주광역시 광산구 운남동 781-3 금구초등학교 금구초등학교,광주지방경찰청 광주광산,29200,광산구,126.8140876615041,35.176758230520754,교통지도과,0629586577,1,"POLYGON((126.81384345788828 35.175529758430145,126.81418376840038 35.175530280948706,126.81426599908644 35.17557547484949,126.81430322220099 35.176102824988746,126.81419891225426 35.17611167858916,126.81419454107262 35.17562043304482,126.81410129157874 35.17559324930002,126.81384327296165 35.17561088015953,126.81384345788828 35.175529758430145))",C0103
50489,20230612,30,0,0,금구초등학교,광주광역시,0,2 ,광주광역시 광산구 임방울대로165번길 60 (운남동) 금구초등학교,광주광역시 광산구 운남동 781-3 금구초등학교 금구초등학교,광주지방경찰청 광주광산,29200,광산구,126.8140876615041,35.176758230520754,교통지도과,0629586577,1,"POLYGON((126.81372320628165 35.17530874141208,126.81380907574518 35.17616516132956,126.81391336526086 35.17616532158992,126.81381653752463 35.175299871344414,126.81372320628165 35.17530874141208))",C0103
50477,20230603,30,0,0,큰솔어린이집,광주광역시,0,2 ,광주광역시 북구 북문대로169번길 41 (운암동) 운암동 1064,광주광역시 북구 운암동 1064 어린이집 운암동 1064,광주지방경찰청 광주북부,29170,북구,126.86957587138865,35.18227968013927,교통지도과,0624108932,1,"POLYGON((126.86900530463727 35.18207625940842,126.86893659390911 35.182134773187634,126.86966313615132 35.1826335561102,126.86972637539209 35.1825637690951,126.86900530463727 35.18207625940842))",C0103
50465,20230603,30,0,0,이화정원유치원,광주광역시,0,2 ,광주광역시 북구 일곡로 45-9 (일곡동) 광주 북구 일곡동 268-3,광주광역시 북구 일곡동 268-3 ,광주지방경찰청 광주북부,29170,북구,126.89309370676203,35.20843071549089,교통지도과,0624108932,1,"POLYGON((126.89312619871659 35.208777764642015,126.89313722232103 35.20874622705719,126.89319485561224 35.20876430494566,126.89343095672459 35.208778033256195,126.89343640369746 35.208811838744126,126.89312619871659 35.208777764642015))",C0103
50476,20230603,30,0,0,광주북구청어린이집,광주광역시,0,2 ,광주광역시 북구 용봉로138번길 11 (중흥동) 중흥동 358-3,광주광역시 북구 중흥동 358-3 효죽공영주차장 중흥동 358-3,광주지방경찰청 광주북부,29170,북구,126.9119581194426,35.17310829110759,교통지도과,0624108932,1,"POLYGON((126.91176849259162 35.1733537730027,126.91174933064785 35.1733086911795,126.91220233441273 35.17314001586548,126.91221874977323 35.173187349021426,126.91176849259162 35.1733537730027))",C0103
50430,20230530,30,0,0,도레미어린이집,광주광역시,0,2 ,광주광역시 광산구 금봉로44번길 9-7 (소촌동) 도레미어린이집,광주광역시 광산구 소촌동 11-13 도레미어린이집,광주지방경찰청 광주광산,29200,광산구,126.80379287648516,35.15130724655733,교통지도과,0629423345,1,"POLYGON((126.80445698994649 35.15124297160404,126.80342824541404 35.15119398566513,126.80338721035668 35.15114434433287,126.80340117777493 35.151040710692364,126.80334083992351 35.151031599185195,126.80334332872 35.15113751292649,126.80330126882131 35.15151376209147,126.80336986502377 35.151511620031414,126.80338688512697 35.15127954767719,126.80341444059553 35.151230017634454,126.80444593997873 35.15127450134138,126.80445698994649 35.15124297160404))",C0103
50429,20230530,30,0,0,비아원광어린이집,광주광역시,0,2 ,광주광역시 광산구 비아로 111 (비아동) 비아원광어린이집,광주광역시 광산구 비아동 466-2 비아원광어린이집,광주지방경찰청 광주광산,29200,광산구,126.81630247480275,35.22240520928979,교통지도과,0629538008,1,"POLYGON((126.81701978719298 35.222138144343695,126.81602056060993 35.2219946674833,126.81591095455144 35.22189084574756,126.81593326852574 35.22173765037169,126.81599363971762 35.22175576912435,126.81597962489214 35.221881936661276,126.81603165141208 35.22194736352407,126.81702811119825 35.22209984959978,126.81701978719298 35.222138144343695))",C0103
