사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2015010100100019,2015년 1월 1일 00시,목요일,강원도 춘천시 동면,중상사고,0,1,3,0,차대차 - 측면직각충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,26세,경상,승용,여,51세,경상
2015010100100074,2015년 1월 1일 02시,목요일,강원도 고성군 토성면,중상사고,0,2,22,1,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,60세,상해없음,승용,남,28세,중상
2015010100100121,2015년 1월 1일 05시,목요일,강원도 춘천시 동내면,부상신고사고,0,0,0,1,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,,,,
2015010100100134,2015년 1월 1일 06시,목요일,강원도 속초시 조양동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,41세,상해없음,승합,남,64세,경상
2015010100100147,2015년 1월 1일 07시,목요일,강원도 양양군 서면,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,중앙선침범,건조,맑음,단일로 - 기타,승용,여,28세,상해없음,승용,남,52세,경상
2015010100100157,2015년 1월 1일 08시,목요일,강원도 원주시 단계동,경상사고,0,0,3,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,승용,남,57세,경상
2015010100100166,2015년 1월 1일 09시,목요일,강원도 강릉시 노암동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,72세,상해없음,승용,남,35세,상해없음
2015010100100167,2015년 1월 1일 09시,목요일,강원도 고성군 거진읍,중상사고,0,1,2,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,42세,상해없음,특수,남,35세,경상
2015010100100205,2015년 1월 1일 11시,목요일,강원도 삼척시 정상동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,74세,상해없음,보행자,여,68세,중상
2015010100100231,2015년 1월 1일 13시,목요일,강원도 원주시 소초면,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,기타불명,기타불명,기타불명,기타불명,승용,남,35세,경상
2015010100100271,2015년 1월 1일 15시,목요일,강원도 원주시 무실동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,교차로운행방법위반,건조,기타,교차로 - 교차로안,승용,여,61세,상해없음,승용,여,40세,경상
2015010100100292,2015년 1월 1일 16시,목요일,강원도 속초시 동명동,중상사고,0,1,0,0,차대차 - 추돌 - 주정차중,기타,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,33세,상해없음
2015010100100313,2015년 1월 1일 17시,목요일,강원도 원주시 무실동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,원동기,남,55세,경상
2015010100100338,2015년 1월 1일 18시,목요일,강원도 속초시 대포동,중상사고,0,1,6,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,승용,남,41세,경상
2015010100100339,2015년 1월 1일 18시,목요일,강원도 삼척시 남양동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,원동기,남,18세,경상
2015010100100381,2015년 1월 1일 20시,목요일,강원도 원주시 명륜동,중상사고,0,1,1,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,승합,남,53세,중상
2015010100100416,2015년 1월 1일 22시,목요일,강원도 원주시 단계동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,여,35세,상해없음,보행자,여,55세,경상
2015010100100417,2015년 1월 1일 22시,목요일,강원도 정선군 정선읍,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,48세,상해없음,승용,여,54세,경상
2015010100100429,2015년 1월 1일 23시,목요일,강원도 원주시 일산동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,건조,기타,교차로 - 교차로안,승용,여,47세,상해없음,승합,남,51세,경상
2015010100100430,2015년 1월 1일 23시,목요일,강원도 태백시 황지동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,52세,상해없음,승용,남,33세,상해없음
2015010200100007,2015년 1월 2일 00시,금요일,강원도 강릉시 포남동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,66세,기타불명,승용,남,49세,경상
2015010200100020,2015년 1월 2일 02시,금요일,강원도 원주시 단구동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,16세,상해없음,보행자,여,16세,경상
2015010200100075,2015년 1월 2일 08시,금요일,강원도 춘천시 석사동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,신호위반,건조,맑음,교차로 - 교차로안,승용,남,56세,경상,승용,남,54세,경상
2015010200100076,2015년 1월 2일 08시,금요일,강원도 강릉시 포남동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전운전불이행,기타,기타,교차로 - 교차로안,승용,남,37세,경상,이륜,남,31세,경상
2015010200100077,2015년 1월 2일 08시,금요일,강원도 동해시 평릉동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,남,35세,중상
2015010200100108,2015년 1월 2일 09시,금요일,강원도 횡성군 횡성읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 횡단보도상,승용,여,64세,상해없음,보행자,남,20세,중상
2015010200100152,2015년 1월 2일 11시,금요일,강원도 강릉시 포남동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,35세,경상
2015010200100177,2015년 1월 2일 12시,금요일,강원도 원주시 단계동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,17세,상해없음,화물,남,52세,경상
2015010200100205,2015년 1월 2일 13시,금요일,강원도 춘천시 온의동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,31세,상해없음,원동기,남,37세,경상
