사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2016010100100011,2016년 1월 1일 00시,금요일,강원도 정선군 사북읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,59세,상해없음,보행자,남,38세,경상
2016010100100045,2016년 1월 1일 01시,금요일,강원도 춘천시 퇴계동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,35세,상해없음,승용,남,32세,경상
2016010100100065,2016년 1월 1일 02시,금요일,강원도 춘천시 퇴계동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,이륜,남,51세,경상
2016010100100066,2016년 1월 1일 02시,금요일,강원도 정선군 사북읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,여,33세,경상
2016010100100086,2016년 1월 1일 03시,금요일,강원도 원주시 단구동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,승용,남,42세,경상
2016010100100127,2016년 1월 1일 05시,금요일,강원도 홍천군 두촌면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,59세,상해없음
2016010100100128,2016년 1월 1일 05시,금요일,강원도 평창군 용평면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,19세,상해없음,승용,남,29세,경상
2016010100100141,2016년 1월 1일 06시,금요일,강원도 횡성군 둔내면,중상사고,0,2,1,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,34세,경상,승용,여,61세,중상
2016010100100153,2016년 1월 1일 07시,금요일,강원도 강릉시 내곡동,중상사고,0,2,0,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 교량,승용,남,26세,상해없음,승용,남,60세,중상
2016010100100154,2016년 1월 1일 07시,금요일,강원도 삼척시 원덕읍,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,48세,경상,화물,남,48세,경상
2016010100100164,2016년 1월 1일 08시,금요일,강원도 춘천시 근화동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,기타불명,기타불명,35세,기타불명,보행자,남,76세,중상
2016010100100165,2016년 1월 1일 08시,금요일,강원도 삼척시 정하동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,보행자,남,42세,경상
2016010100100166,2016년 1월 1일 08시,금요일,강원도 고성군 토성면,중상사고,0,1,0,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 터널,화물,남,69세,상해없음,승용,여,55세,상해없음
2016010100100174,2016년 1월 1일 09시,금요일,강원도 속초시 노학동,경상사고,0,0,2,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,승용,남,44세,상해없음
2016010100100190,2016년 1월 1일 10시,금요일,강원도 강릉시 남문동,경상사고,0,0,1,1,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,25세,상해없음,승용,남,26세,경상
2016010100100200,2016년 1월 1일 11시,금요일,강원도 원주시 단계동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,승용,남,55세,경상
2016010100100223,2016년 1월 1일 12시,금요일,강원도 태백시 문곡동,중상사고,0,1,0,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,승용,남,51세,상해없음
2016010100100240,2016년 1월 1일 13시,금요일,강원도 동해시 용정동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,승용,남,52세,경상
2016010100100260,2016년 1월 1일 14시,금요일,강원도 영월군 영월읍,경상사고,0,0,6,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,29세,경상
2016010100100261,2016년 1월 1일 14시,금요일,강원도 정선군 고한읍,경상사고,0,0,1,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,35세,부상신고,승합,남,24세,상해없음
2016010100100285,2016년 1월 1일 15시,금요일,강원도 속초시 청호동,경상사고,0,0,7,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,43세,상해없음,승용,남,32세,경상
2016010100100286,2016년 1월 1일 15시,금요일,강원도 춘천시 남면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,28세,상해없음,승용,남,26세,경상
2016010100100323,2016년 1월 1일 17시,금요일,강원도 춘천시 신동,경상사고,0,0,2,0,차대차 - 측면직각충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,48세,상해없음,승용,여,42세,경상
2016010100100324,2016년 1월 1일 17시,금요일,강원도 평창군 진부면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,흐림,기타 - 기타,승용,남,47세,상해없음,보행자,여,20세,중상
2016010100100356,2016년 1월 1일 18시,금요일,강원도 강릉시 교동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,남,67세,중상
2016010100100357,2016년 1월 1일 18시,금요일,강원도 횡성군 둔내면,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,여,45세,경상
2016010100100384,2016년 1월 1일 19시,금요일,강원도 강릉시 교동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41세,상해없음,이륜,남,58세,경상
2016010100100404,2016년 1월 1일 20시,금요일,강원도 횡성군 안흥면,중상사고,0,6,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,52세,상해없음,승용,남,56세,중상
2016010100100424,2016년 1월 1일 21시,금요일,강원도 춘천시 석사동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,이륜,남,61세,중상
2016010100100425,2016년 1월 1일 21시,금요일,강원도 동해시 묵호진동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,76세,상해없음,보행자,남,43세,중상
2016010100100440,2016년 1월 1일 22시,금요일,강원도 원주시 명륜동,경상사고,0,0,1,0,차대차 - 정면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,59세,상해없음,승합,남,50세,경상
2016010100100441,2016년 1월 1일 22시,금요일,강원도 원주시 학성동,중상사고,0,1,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,남,40세,경상
2016010100100455,2016년 1월 1일 23시,금요일,강원도 원주시 단구동,중상사고,0,1,0,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,원동기,남,16세,중상
2016010100100456,2016년 1월 1일 23시,금요일,강원도 철원군 철원읍,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,보행자,남,54세,중상
2016010200100029,2016년 1월 2일 02시,토요일,강원도 춘천시 동면,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,57세,상해없음,승용,여,25세,경상
2016010200100083,2016년 1월 2일 08시,토요일,강원도 원주시 신림면,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,습기,맑음,단일로 - 기타,승용,남,63세,경상,승용,남,55세,경상
2016010200100094,2016년 1월 2일 09시,토요일,강원도 태백시 문곡동,중상사고,0,2,0,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,승용,남,72세,중상
2016010200100111,2016년 1월 2일 10시,토요일,강원도 강릉시 임당동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,49세,상해없음,승용,남,50세,경상
2016010200100112,2016년 1월 2일 10시,토요일,강원도 원주시 단구동,중상사고,0,1,1,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,75세,상해없음,승용,남,41세,중상
2016010200100113,2016년 1월 2일 10시,토요일,강원도 원주시 일산동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,보행자,남,64세,중상
2016010200100138,2016년 1월 2일 11시,토요일,강원도 원주시 중앙동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,76세,기타불명,보행자,여,33세,경상
2016010200100155,2016년 1월 2일 12시,토요일,강원도 춘천시 효자동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,56세,상해없음,승용,여,33세,경상
2016010200100156,2016년 1월 2일 12시,토요일,강원도 속초시 조양동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,41세,기타불명,보행자,여,13세,경상
2016010200100185,2016년 1월 2일 13시,토요일,강원도 속초시 교동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,34세,상해없음,승용,여,35세,경상
2016010200100204,2016년 1월 2일 14시,토요일,강원도 삼척시 원덕읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,72세,상해없음,보행자,여,68세,경상
2016010200100232,2016년 1월 2일 15시,토요일,강원도 춘천시 남산면,경상사고,0,0,1,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,여,34세,부상신고
