사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020010100100032,2020년 1월 1일 01시,수요일,경상남도 합천군 합천읍,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,남,45세,경상
2020010100100033,2020년 1월 1일 01시,수요일,경상남도 함안군 칠원읍,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,경상,,,,
2020010100100062,2020년 1월 1일 04시,수요일,경상남도 창원시 성산구 남산동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,49세,상해없음,승용,남,57세,경상
2020010100100086,2020년 1월 1일 06시,수요일,경상남도 창원시 마산회원구 양덕동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,51세,상해없음,승용,남,43세,경상
2020010100100106,2020년 1월 1일 08시,수요일,경상남도 남해군 남면,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,46세,상해없음,화물,남,33세,중상
2020010100100122,2020년 1월 1일 09시,수요일,경상남도 창원시 마산합포구 오동동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,여,50세,중상
2020010100100123,2020년 1월 1일 09시,수요일,경상남도 통영시 정량동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,60세,상해없음,보행자,여,15세,경상
2020010100100124,2020년 1월 1일 09시,수요일,경상남도 김해시 생림면,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,44세,경상,승용,여,30세,경상
2020010100100132,2020년 1월 1일 10시,수요일,경상남도 창원시 진해구 여좌동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,85세,상해없음,승용,남,52세,상해없음
2020010100100133,2020년 1월 1일 10시,수요일,경상남도 거창군 거창읍,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,62세,사망,,,,
