사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019010100100051,2019년 1월 1일 02시,화요일,경상북도 경주시 안강읍,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,경상,승용,남,54세,경상
2019010100100111,2019년 1월 1일 08시,화요일,경상북도 경주시 외동읍,중상사고,0,2,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,75세,중상,승용,여,58세,중상
2019010100100123,2019년 1월 1일 09시,화요일,경상북도 영천시 조교동,경상사고,0,0,3,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,65세,경상,승용,남,70세,경상
2019010100100151,2019년 1월 1일 11시,화요일,경상북도 영덕군 영덕읍,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,기타 - 기타,승용,남,51세,상해없음,보행자,여,76세,경상
2019010100100152,2019년 1월 1일 11시,화요일,경상북도 영천시 북안면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,31세,경상
2019010100100183,2019년 1월 1일 13시,화요일,경상북도 영주시 풍기읍,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,59세,부상신고,승용,여,32세,상해없음
2019010100100184,2019년 1월 1일 13시,화요일,경상북도 청도군 금천면,경상사고,0,0,2,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,77세,상해없음,승용,여,41세,경상
2019010100100185,2019년 1월 1일 13시,화요일,경상북도 포항시 남구 동촌동,경상사고,0,0,3,2,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,승용,남,38세,경상
2019010100100199,2019년 1월 1일 14시,화요일,경상북도 청송군 파천면,중상사고,0,1,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,남,49세,경상
2019010100100219,2019년 1월 1일 15시,화요일,경상북도 청도군 매전면,경상사고,0,0,2,1,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,화물,남,19세,부상신고,승용,남,51세,경상
2019010100100229,2019년 1월 1일 16시,화요일,경상북도 청도군 각북면,사망사고,1,0,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,69세,상해없음,사륜오토바이(ATV),남,76세,사망
2019010100100230,2019년 1월 1일 16시,화요일,경상북도 구미시 진평동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,30세,상해없음,승용,남,45세,경상
2019010100100244,2019년 1월 1일 17시,화요일,경상북도 포항시 남구 해도동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,52세,상해없음,보행자,남,79세,경상
2019010100100260,2019년 1월 1일 18시,화요일,경상북도 영천시 고경면,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,55세,경상,,,,
2019010100100293,2019년 1월 1일 19시,화요일,경상북도 상주시 무양동,경상사고,0,0,1,0,차대차 - 추돌,기타,건조,맑음,교차로 - 교차로횡단보도내,승용,남,62세,상해없음,이륜,남,19세,경상
2019010100100326,2019년 1월 1일 21시,화요일,경상북도 영천시 금호읍,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,여,79세,사망
2019010100100340,2019년 1월 1일 22시,화요일,경상북도 영천시 화남면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,승용,남,25세,경상
2019010200100030,2019년 1월 2일 01시,수요일,경상북도 영주시 영주동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,화물,여,51세,경상
2019010200100051,2019년 1월 2일 05시,수요일,경상북도 칠곡군 북삼읍,중상사고,0,1,0,1,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,이륜,남,16세,중상,승용,남,61세,상해없음
2019010200100052,2019년 1월 2일 05시,수요일,경상북도 경산시 옥산동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,18세,중상,,,,
2019010200100070,2019년 1월 2일 06시,수요일,경상북도 봉화군 법전면,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 교량,화물,남,57세,부상신고,승용,남,26세,상해없음
2019010200100117,2019년 1월 2일 08시,수요일,경상북도 영주시 가흥동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,50세,경상,승용,여,60세,경상
2019010200100133,2019년 1월 2일 09시,수요일,경상북도 안동시 법흥동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,화물,남,36세,상해없음,승용,여,68세,경상
2019010200100175,2019년 1월 2일 11시,수요일,경상북도 영주시 가흥동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,남,77세,중상,화물,남,38세,상해없음
2019010200100176,2019년 1월 2일 11시,수요일,경상북도 영주시 휴천동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,52세,상해없음,보행자,여,60세,중상
2019010200100198,2019년 1월 2일 12시,수요일,경상북도 칠곡군 왜관읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,47세,상해없음,보행자,여,47세,중상
2019010200100217,2019년 1월 2일 13시,수요일,경상북도 영천시 조교동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,화물,남,48세,경상
2019010200100218,2019년 1월 2일 13시,수요일,경상북도 경산시 와촌면,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,66세,경상,건설기계,남,53세,상해없음
2019010200100219,2019년 1월 2일 13시,수요일,경상북도 울진군 울진읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,여,83세,중상
2019010200100247,2019년 1월 2일 14시,수요일,경상북도 경주시 동천동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,여,63세,상해없음,보행자,여,42세,경상
2019010200100248,2019년 1월 2일 14시,수요일,경상북도 안동시 상아동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승합,남,65세,상해없음,화물,남,33세,경상
2019010200100249,2019년 1월 2일 14시,수요일,경상북도 칠곡군 석적읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,54세,상해없음,이륜,남,33세,경상
2019010200100284,2019년 1월 2일 15시,수요일,경상북도 경주시 노서동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,26세,상해없음,이륜,남,44세,중상
2019010200100285,2019년 1월 2일 15시,수요일,경상북도 영천시 야사동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,56세,상해없음,보행자,여,76세,중상
2019010200100286,2019년 1월 2일 15시,수요일,경상북도 구미시 상모동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,자전거,남,59세,경상,기타불명,기타불명,미분류,기타불명
2019010200100340,2019년 1월 2일 17시,수요일,경상북도 경주시 양북면,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,77세,상해없음,승용,여,57세,경상
2019010200100341,2019년 1월 2일 17시,수요일,경상북도 포항시 북구 우현동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,62세,상해없음,승용,여,33세,경상
2019010200100342,2019년 1월 2일 17시,수요일,경상북도 봉화군 봉성면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,81세,상해없음,건설기계,남,50세,상해없음
2019010200100392,2019년 1월 2일 18시,수요일,경상북도 포항시 북구 용흥동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,이륜,남,18세,상해없음,승용,여,30세,경상
2019010200100393,2019년 1월 2일 18시,수요일,경상북도 포항시 북구 죽도동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,83세,상해없음,승용,남,62세,경상
2019010200100394,2019년 1월 2일 18시,수요일,경상북도 상주시 남성동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,42세,상해없음,보행자,남,63세,경상
2019010200100395,2019년 1월 2일 18시,수요일,경상북도 문경시 모전동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,남,46세,경상
2019010200100396,2019년 1월 2일 18시,수요일,경상북도 경산시 옥곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,여,52세,상해없음,승용,남,24세,경상
2019010200100397,2019년 1월 2일 18시,수요일,경상북도 울진군 울진읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,59세,상해없음,승용,남,34세,경상
2019010200100398,2019년 1월 2일 18시,수요일,경상북도 구미시 원평동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,단일로 - 기타,화물,남,65세,상해없음,이륜,남,16세,경상
2019010200100399,2019년 1월 2일 18시,수요일,경상북도 포항시 남구 연일읍,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,62세,상해없음,승용,남,63세,경상
2019010200100400,2019년 1월 2일 18시,수요일,경상북도 포항시 남구 송도동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,59세,경상,승용,남,56세,경상
2019010200100441,2019년 1월 2일 19시,수요일,경상북도 안동시 천리동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,34세,부상신고
2019010200100442,2019년 1월 2일 19시,수요일,경상북도 의성군 의성읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51세,중상,승합,남,59세,상해없음
2019010200100491,2019년 1월 2일 21시,수요일,경상북도 경주시 황성동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,25세,상해없음,이륜,남,18세,경상
2019010200100507,2019년 1월 2일 22시,수요일,경상북도 구미시 송정동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,49세,상해없음,승용,여,48세,경상
2019010200100523,2019년 1월 2일 23시,수요일,경상북도 안동시 옥동,경상사고,0,0,6,0,차대차 - 정면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,47세,경상,승용,여,42세,경상
2019010300100030,2019년 1월 3일 00시,목요일,경상북도 경산시 조영동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,57세,상해없음,승용,남,65세,경상
2019010300100031,2019년 1월 3일 00시,목요일,경상북도 문경시 유곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,47세,상해없음,특수,남,46세,경상
2019010300100053,2019년 1월 3일 03시,목요일,경상북도 경산시 조영동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,승용,남,60세,경상
