사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2015010100100036,2015년 1월 1일 00시,목요일,광주광역시 남구 주월동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,결빙,눈,단일로 - 횡단보도상,승용,남,41세,기타불명,보행자,여,40세,경상
2015010100100037,2015년 1월 1일 00시,목요일,광주광역시 북구 용봉동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전운전불이행,결빙,눈,교차로 - 교차로부근,승용,남,49세,상해없음,승용,여,40세,경상
2015010100100038,2015년 1월 1일 00시,목요일,광주광역시 북구 신안동,경상사고,0,0,1,0,차량단독 - 전도전복,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,69세,상해없음,,,,
2015010100100061,2015년 1월 1일 01시,목요일,광주광역시 광산구 도천동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,적설,눈,교차로 - 교차로부근,승용,남,25세,상해없음,승용,남,38세,경상
2015010100100080,2015년 1월 1일 02시,목요일,광주광역시 서구 쌍촌동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전거리미확보,적설,눈,단일로 - 기타,승용,남,57세,상해없음,승용,여,48세,경상
2015010100100081,2015년 1월 1일 02시,목요일,광주광역시 광산구 도천동,경상사고,0,0,1,1,차대차 - 추돌 - 주정차중,안전운전불이행,적설,눈,교차로 - 교차로안,승용,남,47세,상해없음,승용,남,34세,상해없음
2015010100100082,2015년 1월 1일 02시,목요일,광주광역시 광산구 흑석동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,적설,눈,교차로 - 교차로안,승합,남,46세,상해없음,승용,남,56세,경상
2015010100100094,2015년 1월 1일 03시,목요일,광주광역시 서구 화정동,중상사고,0,1,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,결빙,눈,교차로 - 교차로부근,승용,남,52세,상해없음,승용,여,53세,중상
2015010100100095,2015년 1월 1일 03시,목요일,광주광역시 서구 치평동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,결빙,흐림,단일로 - 기타,승용,여,45세,기타불명,보행자,여,27세,경상
2015010100100096,2015년 1월 1일 03시,목요일,광주광역시 남구 구동,경상사고,0,0,1,0,차대차 - 측면직각충돌,중앙선침범,결빙,눈,단일로 - 기타,승용,남,63세,상해없음,승용,남,52세,상해없음
2015010100100097,2015년 1월 1일 03시,목요일,광주광역시 광산구 장덕동,경상사고,0,0,1,0,차대차 - 측면직각충돌,기타,적설,눈,교차로 - 교차로안,화물,남,39세,상해없음,승용,남,54세,경상
2015010100100098,2015년 1월 1일 03시,목요일,광주광역시 광산구 우산동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,결빙,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,여,36세,경상
2015010100100110,2015년 1월 1일 04시,목요일,광주광역시 동구 불로동,경상사고,0,0,2,0,차대사람 - 횡단중,안전운전불이행,적설,눈,단일로 - 기타,승용,남,22세,상해없음,보행자,남,18세,경상
2015010100100111,2015년 1월 1일 04시,목요일,광주광역시 북구 임동,경상사고,0,0,2,0,차대차 - 측면직각충돌,신호위반,습기,눈,교차로 - 교차로안,승용,남,47세,상해없음,승용,남,42세,경상
2015010100100112,2015년 1월 1일 04시,목요일,광주광역시 북구 운암동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전운전불이행,적설,맑음,단일로 - 기타,화물,남,33세,상해없음,승용,남,34세,경상
2015010100100113,2015년 1월 1일 04시,목요일,광주광역시 광산구 신가동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,적설,눈,교차로 - 교차로부근,승용,남,39세,상해없음,승용,여,48세,경상
2015010100100123,2015년 1월 1일 05시,목요일,광주광역시 서구 쌍촌동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,승용,남,66세,경상
2015010100100151,2015년 1월 1일 07시,목요일,광주광역시 서구 광천동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전거리미확보,적설,눈,교차로 - 교차로안,승용,남,45세,상해없음,승용,남,38세,경상
