사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2017010100100017,2017년 1월 1일 00시,일요일,대구광역시 남구 대명동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,승용,여,50세,상해없음,보행자,남,70세,중상
2017010100100040,2017년 1월 1일 01시,일요일,대구광역시 중구 삼덕동1가,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,17세,상해없음,보행자,남,22세,경상
2017010100100075,2017년 1월 1일 03시,일요일,대구광역시 서구 비산동,중상사고,0,1,0,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,35세,중상,승용,남,38세,상해없음
2017010100100076,2017년 1월 1일 03시,일요일,대구광역시 중구 동산동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,보행자,남,37세,부상신고
2017010100100103,2017년 1월 1일 05시,일요일,대구광역시 서구 내당동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,25세,상해없음,승용,남,36세,경상
2017010100100142,2017년 1월 1일 09시,일요일,대구광역시 달성군 논공읍,중상사고,0,1,2,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,58세,기타불명,승용,여,60세,중상
2017010100100195,2017년 1월 1일 12시,일요일,대구광역시 남구 대명동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,,,,
2017010100100196,2017년 1월 1일 12시,일요일,대구광역시 달서구 본동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,62세,상해없음,승용,남,73세,경상
2017010100100197,2017년 1월 1일 12시,일요일,대구광역시 중구 북성로1가,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,43세,상해없음,,,,
2017010100100227,2017년 1월 1일 14시,일요일,대구광역시 북구 태전동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,33세,상해없음,이륜,남,30세,경상
2017010100100243,2017년 1월 1일 15시,일요일,대구광역시 남구 대명동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승합,남,53세,경상
