사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2013010100100029,2013년 1월 1일 00시,화요일,대전광역시 유성구 어은동,중상사고,0,1,0,0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,보행자,여,20세,중상
2013010100100056,2013년 1월 1일 01시,화요일,대전광역시 중구 문화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,결빙,흐림,교차로 - 교차로부근,승용,남,26세,상해없음,보행자,여,43세,경상
2013010100100057,2013년 1월 1일 01시,화요일,대전광역시 서구 둔산동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,결빙,흐림,교차로 - 교차로안,승용,남,29세,상해없음,승용,남,45세,경상
2013010100100101,2013년 1월 1일 03시,화요일,대전광역시 중구 중촌동,중상사고,0,2,2,0,차대차 - 정면충돌,중앙선침범,습기,맑음,교차로 - 교차로부근,승용,남,40세,상해없음,승용,남,48세,중상
2013010100100123,2013년 1월 1일 05시,화요일,대전광역시 서구 갈마동,경상사고,0,0,3,0,차대사람 - 기타,안전운전불이행,결빙,맑음,단일로 - 횡단보도상,승용,남,24세,상해없음,보행자,남,19세,경상
2013010100100124,2013년 1월 1일 05시,화요일,대전광역시 서구 탄방동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,결빙,맑음,단일로 - 기타,승용,남,26세,경상,승용,남,24세,경상
2013010100100141,2013년 1월 1일 06시,화요일,대전광역시 중구 선화동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,결빙,흐림,단일로 - 기타,승용,남,32세,상해없음,승용,남,58세,경상
2013010100100153,2013년 1월 1일 07시,화요일,대전광역시 유성구 원촌동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,적설,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,31세,경상
2013010100100279,2013년 1월 1일 16시,화요일,대전광역시 서구 관저동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,적설,눈,기타 - 기타,승용,남,43세,상해없음,승용,남,42세,경상
2013010100100310,2013년 1월 1일 18시,화요일,대전광역시 유성구 노은동,사망사고,1,3,4,0,차대차 - 측면직각충돌,신호위반,결빙,흐림,교차로 - 교차로안,승합,남,53세,상해없음,승용,남,20세,경상
2013010100100311,2013년 1월 1일 18시,화요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전거리미확보,결빙,맑음,교차로 - 교차로부근,승용,남,54세,상해없음,승용,남,35세,경상
2013010100100319,2013년 1월 1일 19시,화요일,대전광역시 서구 탄방동,경상사고,0,0,2,0,차대차 - 정면충돌,중앙선침범,결빙,맑음,교차로 - 교차로부근,승용,남,65세,상해없음,승용,남,29세,경상
2013010100100366,2013년 1월 1일 22시,화요일,대전광역시 중구 오류동,경상사고,0,0,4,0,차대차 - 추돌 - 진행중,안전운전불이행,적설,눈,단일로 - 기타,승용,남,42세,상해없음,승용,남,43세,경상
