사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2015010100100005,2015년 1월 1일 00시,목요일,부산광역시 서구 남부민동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 횡단보도부근,화물,남,19세,상해없음,보행자,남,51세,중상
2015010100100006,2015년 1월 1일 00시,목요일,부산광역시 동래구 안락동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 횡단보도상,승용,남,41세,상해없음,보행자,남,22세,경상
2015010100100007,2015년 1월 1일 00시,목요일,부산광역시 부산진구 범전동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,남,26세,상해없음,원동기,남,32세,경상
2015010100100008,2015년 1월 1일 00시,목요일,부산광역시 금정구 부곡동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,보행자,남,34세,중상
2015010100100045,2015년 1월 1일 01시,목요일,부산광역시 동래구 온천동,중상사고,0,1,0,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,이륜,남,18세,중상
2015010100100046,2015년 1월 1일 01시,목요일,부산광역시 동래구 명륜동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,29세,상해없음,보행자,남,28세,경상
2015010100100047,2015년 1월 1일 01시,목요일,부산광역시 동래구 명륜동,중상사고,0,2,1,0,차대차 - 추돌 - 진행중,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,승용,남,18세,경상
2015010100100048,2015년 1월 1일 01시,목요일,부산광역시 사하구 감천동,경상사고,0,0,1,0,차대차 - 측면직각충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,원동기,남,21세,경상
2015010100100066,2015년 1월 1일 02시,목요일,부산광역시 서구 서대신동1가,중상사고,0,2,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 횡단보도부근,승용,남,59세,상해없음,승용,남,59세,중상
2015010100100067,2015년 1월 1일 02시,목요일,부산광역시 남구 대연동,중상사고,0,2,0,0,차량단독 - 공작물충돌,안전운전불이행,습기,흐림,단일로 - 기타,원동기,남,23세,중상,,,,
2015010100100068,2015년 1월 1일 02시,목요일,부산광역시 부산진구 가야동,중상사고,0,2,1,0,차대차 - 추돌 - 주정차중,과속,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승합,남,54세,상해없음
2015010100100069,2015년 1월 1일 02시,목요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,여,32세,상해없음,원동기,남,62세,중상
2015010100100086,2015년 1월 1일 03시,목요일,부산광역시 수영구 광안동,경상사고,0,0,1,0,차량단독 - 전도전복,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,37세,경상,,,,
2015010100100102,2015년 1월 1일 04시,목요일,부산광역시 동래구 명륜동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,51세,상해없음,보행자,남,30세,경상
2015010100100129,2015년 1월 1일 06시,목요일,부산광역시 해운대구 우동,경상사고,0,0,1,1,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,59세,부상신고,승용,남,33세,경상
2015010100100154,2015년 1월 1일 08시,목요일,부산광역시 기장군 장안읍,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,승용,남,44세,경상
2015010100100164,2015년 1월 1일 09시,목요일,부산광역시 영도구 영선동3가,중상사고,0,1,3,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,기타 - 기타,승용,남,26세,상해없음,승용,여,39세,상해없음
2015010100100263,2015년 1월 1일 15시,목요일,부산광역시 서구 충무동1가,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,42세,경상,승용,남,55세,기타불명
2015010100100264,2015년 1월 1일 15시,목요일,부산광역시 해운대구 우동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,22세,상해없음,보행자,여,65세,중상
2015010100100265,2015년 1월 1일 15시,목요일,부산광역시 사하구 하단동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,남,39세,중상
2015010100100308,2015년 1월 1일 17시,목요일,부산광역시 동래구 수안동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,여,58세,중상
2015010100100329,2015년 1월 1일 18시,목요일,부산광역시 기장군 기장읍,경상사고,0,0,3,0,차대차 - 추돌 - 주정차중,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,49세,상해없음,승용,남,43세,경상
2015010100100364,2015년 1월 1일 19시,목요일,부산광역시 서구 남부민동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,47세,상해없음,보행자,남,57세,중상
2015010200100025,2015년 1월 2일 03시,금요일,부산광역시 남구 대연동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,건설기계,남,47세,상해없음,승용,남,23세,경상
2015010200100026,2015년 1월 2일 03시,금요일,부산광역시 북구 화명동,중상사고,0,2,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,18세,상해없음,승용,여,19세,중상
