사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2017010300100556,2017년 1월 3일 22시,화요일,세종특별자치시 세종특별자치시 아름동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,보행자,남,42세,경상
2017010500100098,2017년 1월 5일 07시,목요일,세종특별자치시 세종특별자치시 고운동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,46세,상해없음,승용,남,48세,경상
2017010600100112,2017년 1월 6일 07시,금요일,세종특별자치시 세종특별자치시 연동면,사망사고,1,0,0,0,차대사람 - 횡단중,중앙선침범,건조,맑음,기타 - 기타,승합,남,37세,상해없음,보행자,여,53세,사망
2017010700100203,2017년 1월 7일 09시,토요일,세종특별자치시 세종특별자치시 어진동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,기타불명,보행자,남,30세,중상
2017010700100394,2017년 1월 7일 17시,토요일,세종특별자치시 세종특별자치시 전의면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,원동기,남,83세,경상
2017010900100266,2017년 1월 9일 15시,월요일,세종특별자치시 세종특별자치시 한솔동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,여,57세,경상
2017011000100074,2017년 1월 10일 06시,화요일,세종특별자치시 세종특별자치시 금남면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,46세,상해없음,승용,남,63세,경상
2017011000100212,2017년 1월 10일 11시,화요일,세종특별자치시 세종특별자치시 종촌동,사망사고,1,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,32세,사망,승용,남,57세,경상
2017011100100234,2017년 1월 11일 12시,수요일,세종특별자치시 세종특별자치시 연기면,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,35세,상해없음,승용,남,32세,경상
2017011200100276,2017년 1월 12일 14시,목요일,세종특별자치시 세종특별자치시 연동면,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,화물,남,51세,중상
2017011200100497,2017년 1월 12일 21시,목요일,세종특별자치시 세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,34세,상해없음,승용,여,34세,경상
2017011200100498,2017년 1월 12일 21시,목요일,세종특별자치시 세종특별자치시 도담동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,20세,경상,승용,남,42세,상해없음
2017011200100553,2017년 1월 12일 23시,목요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,화물,남,40세,상해없음,승용,남,46세,경상
2017011300100020,2017년 1월 13일 00시,금요일,세종특별자치시 세종특별자치시 종촌동,중상사고,0,1,6,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승합,여,53세,상해없음,승용,남,58세,중상
2017011300100451,2017년 1월 13일 18시,금요일,세종특별자치시 세종특별자치시 전의면,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,27세,상해없음,보행자,남,56세,중상
2017011500100412,2017년 1월 15일 20시,일요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,서리/결빙,맑음,교차로 - 교차로부근,화물,남,65세,상해없음,승용,여,51세,경상
2017011700100016,2017년 1월 17일 00시,화요일,세종특별자치시 세종특별자치시 종촌동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,43세,상해없음,승용,남,47세,경상
2017011700100071,2017년 1월 17일 06시,화요일,세종특별자치시 세종특별자치시 연기면,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,50세,상해없음,승용,남,55세,부상신고
2017011900100261,2017년 1월 19일 13시,목요일,세종특별자치시 세종특별자치시 장군면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,35세,상해없음,화물,남,65세,중상
2017012000100044,2017년 1월 20일 02시,금요일,세종특별자치시 세종특별자치시 도담동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,적설,눈,교차로 - 교차로안,승용,남,33세,상해없음,보행자,남,51세,경상
2017012000100205,2017년 1월 20일 09시,금요일,세종특별자치시 세종특별자치시 금남면,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,적설,눈,단일로 - 기타,승합,남,65세,상해없음,,,,
2017012100100422,2017년 1월 21일 19시,토요일,세종특별자치시 세종특별자치시 금남면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,44세,상해없음,승용,남,39세,경상
2017012300100679,2017년 1월 23일 23시,월요일,세종특별자치시 세종특별자치시 도담동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,여,41세,경상
2017012400100674,2017년 1월 24일 21시,화요일,세종특별자치시 세종특별자치시 아름동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,55세,상해없음,승용,남,31세,경상
