사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010100100016,2022년 1월 1일 01시,토요일,울산광역시 남구 달동,경상사고,0,0,3,0,차대차 - 정면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,이륜,남,32세,경상
2022010100100025,2022년 1월 1일 03시,토요일,울산광역시 중구 성남동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,62세,상해없음,보행자,여,40세,경상
2022010100100036,2022년 1월 1일 05시,토요일,울산광역시 남구 상개동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,승용,남,36세,경상
2022010100100045,2022년 1월 1일 06시,토요일,울산광역시 북구 산하동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,21세,상해없음,보행자,남,53세,중상
2022010100100109,2022년 1월 1일 12시,토요일,울산광역시 동구 서부동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,19세,경상,승용,남,60세,상해없음
2022010100100110,2022년 1월 1일 12시,토요일,울산광역시 북구 명촌동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,45세,상해없음,이륜,남,26세,경상
2022010100100140,2022년 1월 1일 13시,토요일,울산광역시 남구 신정동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로부근,이륜,남,21세,경상,승용,남,54세,상해없음
2022010100100216,2022년 1월 1일 16시,토요일,울산광역시 남구 선암동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,보행자,여,9세,경상
2022010100100309,2022년 1월 1일 19시,토요일,울산광역시 중구 서동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,62세,상해없음,,,,
2022010100100310,2022년 1월 1일 19시,토요일,울산광역시 남구 야음동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,이륜,남,46세,중상
2022010100100349,2022년 1월 1일 20시,토요일,울산광역시 중구 서동,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,남,55세,경상
2022010100100378,2022년 1월 1일 21시,토요일,울산광역시 동구 일산동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,여,44세,경상
2022010200100060,2022년 1월 2일 10시,일요일,울산광역시 북구 당사동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,64세,중상,,,,
2022010200100239,2022년 1월 2일 17시,일요일,울산광역시 중구 성안동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,,,,
2022010200100240,2022년 1월 2일 17시,일요일,울산광역시 동구 방어동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로안,승합,여,45세,상해없음,이륜,남,41세,경상
