사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010100100022,2022년 1월 1일 02시,토요일,인천광역시 남동구 간석동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 고가도로위,기타불명,기타불명,미분류,기타불명,이륜,남,53세,경상
2022010100100165,2022년 1월 1일 14시,토요일,인천광역시 미추홀구 도화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,42세,상해없음,보행자,남,69세,경상
2022010100100190,2022년 1월 1일 15시,토요일,인천광역시 남동구 만수동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,41세,경상,승용,여,50세,상해없음
2022010100100191,2022년 1월 1일 15시,토요일,인천광역시 서구 백석동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,여,59세,상해없음,승용,남,70세,경상
2022010100100192,2022년 1월 1일 15시,토요일,인천광역시 계양구 작전동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,34세,경상
2022010100100213,2022년 1월 1일 16시,토요일,인천광역시 부평구 구산동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,63세,상해없음,승용,남,30세,경상
2022010100100239,2022년 1월 1일 17시,토요일,인천광역시 중구 북성동1가,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,79세,상해없음,보행자,남,74세,중상
2022010100100240,2022년 1월 1일 17시,토요일,인천광역시 미추홀구 관교동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,이륜,남,27세,경상
2022010100100280,2022년 1월 1일 18시,토요일,인천광역시 중구 중산동,경상사고,0,0,3,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,여,49세,상해없음,승용,남,30세,경상
2022010100100281,2022년 1월 1일 18시,토요일,인천광역시 부평구 부평동,경상사고,0,0,1,0,차대차 - 정면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,이륜,남,25세,상해없음,승용,남,61세,경상
2022010100100307,2022년 1월 1일 19시,토요일,인천광역시 서구 왕길동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,이륜,남,33세,경상
2022010100100345,2022년 1월 1일 20시,토요일,인천광역시 동구 송림동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 지하차도(도로)내,승용,남,56세,상해없음,승용,남,66세,경상
2022010200100012,2022년 1월 2일 01시,일요일,인천광역시 중구 운서동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,미분류 - 미분류,승용,남,25세,상해없음,,,,
2022010200100017,2022년 1월 2일 03시,일요일,인천광역시 부평구 일신동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승용,남,28세,상해없음,화물,남,56세,경상
2022010200100026,2022년 1월 2일 06시,일요일,인천광역시 서구 석남동,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,자전거,남,76세,상해없음,승용,남,70세,기타불명
2022010200100059,2022년 1월 2일 10시,일요일,인천광역시 부평구 갈산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,55세,상해없음,승용,남,42세,경상
2022010200100092,2022년 1월 2일 12시,일요일,인천광역시 강화군 길상면,경상사고,0,0,2,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,화물,남,79세,경상,,,,
2022010200100151,2022년 1월 2일 14시,일요일,인천광역시 서구 검암동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,51세,상해없음,보행자,여,59세,경상
2022010200100188,2022년 1월 2일 15시,일요일,인천광역시 계양구 박촌동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,54세,상해없음,보행자,여,23세,부상신고
2022010200100189,2022년 1월 2일 15시,일요일,인천광역시 계양구 귤현동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,35세,상해없음,승용,남,29세,경상
2022010200100216,2022년 1월 2일 16시,일요일,인천광역시 서구 마전동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,승용,남,51세,경상
2022010200100275,2022년 1월 2일 18시,일요일,인천광역시 미추홀구 숭의동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,25세,상해없음,이륜,남,41세,중상
2022010200100305,2022년 1월 2일 19시,일요일,인천광역시 미추홀구 용현동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,64세,경상
2022010200100306,2022년 1월 2일 19시,일요일,인천광역시 부평구 부평동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,22세,상해없음,화물,남,48세,경상
2022010200100307,2022년 1월 2일 19시,일요일,인천광역시 계양구 작전동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,61세,상해없음,이륜,남,20세,중상
2022010200100374,2022년 1월 2일 21시,일요일,인천광역시 미추홀구 주안동,사망사고,1,0,0,0,차대사람 - 차도통행중,기타,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,남,57세,사망
2022010200100405,2022년 1월 2일 23시,일요일,인천광역시 남동구 논현동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,보행자,여,61세,중상
2022010300100005,2022년 1월 3일 00시,월요일,인천광역시 계양구 계산동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,화물,남,47세,경상
2022010300100013,2022년 1월 3일 02시,월요일,인천광역시 서구 석남동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,화물,남,60세,상해없음,이륜,남,22세,경상
2022010300100043,2022년 1월 3일 06시,월요일,인천광역시 부평구 산곡동,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,승용,남,26세,경상
2022010300100044,2022년 1월 3일 06시,월요일,인천광역시 부평구 삼산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,남,35세,경상
2022010300100072,2022년 1월 3일 07시,월요일,인천광역시 부평구 산곡동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승합,남,67세,상해없음,승용,여,62세,경상
2022010300100119,2022년 1월 3일 08시,월요일,인천광역시 서구 가정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,39세,상해없음,승용,여,37세,경상
2022010300100120,2022년 1월 3일 08시,월요일,인천광역시 서구 가정동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,50세,상해없음,승용,남,44세,경상
2022010300100121,2022년 1월 3일 08시,월요일,인천광역시 남동구 논현동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,43세,상해없음,승용,여,52세,경상
2022010300100146,2022년 1월 3일 09시,월요일,인천광역시 남동구 수산동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,64세,기타불명,승용,여,55세,중상
