사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010100100036,2021년 1월 1일 07시,금요일,전라남도 장흥군 대덕읍,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,적설,눈,단일로 - 기타,승용,남,32세,기타불명,승용,남,45세,경상
2021010100100067,2021년 1월 1일 11시,금요일,전라남도 광양시 중동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,23세,경상,승용,여,47세,경상
2021010100100078,2021년 1월 1일 12시,금요일,전라남도 목포시 용당동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,69세,경상
2021010100100125,2021년 1월 1일 15시,금요일,전라남도 여수시 소라면,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,,,,
2021010100100137,2021년 1월 1일 16시,금요일,전라남도 여수시 안산동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승합,남,69세,상해없음,승용,여,43세,경상
2021010100100151,2021년 1월 1일 17시,금요일,전라남도 순천시 저전동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,61세,상해없음,승용,남,30세,경상
2021010100100169,2021년 1월 1일 18시,금요일,전라남도 담양군 고서면,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승합,남,55세,상해없음,승용,남,58세,경상
2021010100100199,2021년 1월 1일 19시,금요일,전라남도 진도군 군내면,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,73세,상해없음,보행자,남,66세,사망
2021010100100241,2021년 1월 1일 21시,금요일,전라남도 순천시 조례동,사망사고,1,0,0,0,차대사람 - 기타,기타,건조,맑음,기타 - 기타,승용,남,54세,상해없음,보행자,남,28세,사망
2021010100100253,2021년 1월 1일 22시,금요일,전라남도 여수시 여서동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21세,상해없음,승용,여,28세,경상
2021010100100254,2021년 1월 1일 22시,금요일,전라남도 여수시 웅천동,경상사고,0,0,3,0,차대차 - 추돌,차로위반,건조,맑음,단일로 - 기타,승용,여,59세,상해없음,화물,남,62세,경상
2021010100100255,2021년 1월 1일 22시,금요일,전라남도 광양시 광양읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,47세,경상,승용,남,28세,경상
2021010200100008,2021년 1월 2일 01시,토요일,전라남도 순천시 조례동,경상사고,0,0,3,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,33세,상해없음,승용,남,27세,경상
2021010200100041,2021년 1월 2일 08시,토요일,전라남도 해남군 해남읍,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,화물,남,62세,상해없음,승용,남,77세,경상
2021010200100047,2021년 1월 2일 09시,토요일,전라남도 나주시 빛가람동,중상사고,0,1,2,0,차대차 - 측면충돌,신호위반,젖음/습기,맑음,교차로 - 교차로안,승용,여,51세,중상,승합,남,40세,경상
2021010200100122,2021년 1월 2일 12시,토요일,전라남도 목포시 산정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,승용,남,31세,경상
2021010200100155,2021년 1월 2일 13시,토요일,전라남도 목포시 옥암동,경상사고,0,0,3,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,50세,부상신고,승용,남,46세,경상
