사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2017010100100036,2017년 1월 1일 01시,일요일,전라북도 전주시 완산구 효자동3가,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,보행자,남,19세,경상
2017010100100037,2017년 1월 1일 01시,일요일,전라북도 정읍시 농소동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,승용,남,26세,기타불명,보행자,남,44세,경상
2017010100100056,2017년 1월 1일 02시,일요일,전라북도 익산시 영등동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,남,18세,중상
2017010100100086,2017년 1월 1일 04시,일요일,전라북도 전주시 완산구 효자동3가,중상사고,0,1,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,39세,경상,승용,남,47세,경상
2017010100100100,2017년 1월 1일 05시,일요일,전라북도 전주시 완산구 효자동3가,중상사고,0,1,3,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,24세,상해없음,보행자,여,19세,경상
2017010100100113,2017년 1월 1일 06시,일요일,전라북도 전주시 완산구 삼천동1가,중상사고,0,1,0,0,차대차 - 추돌,신호위반,건조,흐림,교차로 - 교차로안,이륜,남,21세,중상,승용,남,63세,상해없음
2017010100100127,2017년 1월 1일 08시,일요일,전라북도 전주시 완산구 중화산동2가,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,25세,상해없음,보행자,여,85세,경상
2017010100100190,2017년 1월 1일 12시,일요일,전라북도 완주군 삼례읍,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,34세,상해없음,원동기,여,58세,중상
2017010100100237,2017년 1월 1일 15시,일요일,전라북도 익산시 목천동,경상사고,0,0,2,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승합,여,46세,상해없음,승용,여,49세,경상
2017010100100256,2017년 1월 1일 16시,일요일,전라북도 부안군 줄포면,중상사고,0,2,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,승용,남,69세,중상
2017010100100309,2017년 1월 1일 18시,일요일,전라북도 전주시 완산구 효자동2가,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,남,38세,경상
2017010100100310,2017년 1월 1일 18시,일요일,전라북도 전주시 덕진구 송천동2가,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,73세,상해없음,승용,남,42세,경상
2017010100100311,2017년 1월 1일 18시,일요일,전라북도 군산시 개사동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,72세,상해없음,화물,남,43세,경상
2017010100100312,2017년 1월 1일 18시,일요일,전라북도 익산시 금마면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,20세,상해없음,승용,남,39세,경상
2017010100100313,2017년 1월 1일 18시,일요일,전라북도 정읍시 상동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,45세,경상,승용,여,46세,상해없음
2017010100100348,2017년 1월 1일 19시,일요일,전라북도 전주시 완산구 서신동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,남,38세,상해없음,보행자,여,50세,경상
2017010100100349,2017년 1월 1일 19시,일요일,전라북도 정읍시 시기동,부상신고사고,0,0,0,1,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,이륜,남,48세,부상신고
2017010100100350,2017년 1월 1일 19시,일요일,전라북도 정읍시 정우면,중상사고,0,3,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,18세,경상,승용,남,55세,경상
2017010100100394,2017년 1월 1일 21시,일요일,전라북도 군산시 지곡동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,승용,여,56세,경상
2017010100100395,2017년 1월 1일 21시,일요일,전라북도 정읍시 농소동,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,남,58세,경상
2017010100100413,2017년 1월 1일 22시,일요일,전라북도 정읍시 수성동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,22세,상해없음,보행자,남,45세,경상
2017010200100042,2017년 1월 2일 02시,월요일,전라북도 익산시 모현동1가,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,보행자,남,24세,경상
2017010200100059,2017년 1월 2일 05시,월요일,전라북도 전주시 완산구 효자동1가,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,건조,맑음,교차로 - 교차로안,승용,여,26세,기타불명,승용,남,62세,상해없음
2017010200100065,2017년 1월 2일 06시,월요일,전라북도 전주시 완산구 평화동2가,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,흐림,교차로 - 교차로안,승용,여,25세,상해없음,보행자,여,67세,사망
2017010200100087,2017년 1월 2일 07시,월요일,전라북도 전주시 완산구 효자동2가,중상사고,0,1,1,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,건설기계,남,54세,경상
2017010200100116,2017년 1월 2일 08시,월요일,전라북도 남원시 금지면,경상사고,0,0,1,0,차량단독 - 전도전복,안전운전불이행,서리/결빙,맑음,단일로 - 기타,화물,남,62세,상해없음,미분류,미분류,미분류,미분류
2017010200100138,2017년 1월 2일 09시,월요일,전라북도 전주시 완산구 중노송동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,65세,상해없음,보행자,여,82세,중상
2017010200100156,2017년 1월 2일 10시,월요일,전라북도 부안군 부안읍,중상사고,0,1,1,0,차량단독 - 전도전복,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,여,31세,중상,미분류,미분류,미분류,미분류
2017010200100230,2017년 1월 2일 13시,월요일,전라북도 정읍시 상동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,49세,상해없음,이륜,남,21세,경상
2017010200100231,2017년 1월 2일 13시,월요일,전라북도 정읍시 하북동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,56세,상해없음,승용,남,51세,경상
2017010200100252,2017년 1월 2일 14시,월요일,전라북도 익산시 춘포면,경상사고,0,0,2,0,차대차 - 추돌,기타,건조,맑음,교차로 - 교차로안,화물,남,51세,상해없음,승용,여,28세,경상
2017010200100253,2017년 1월 2일 14시,월요일,전라북도 부안군 상서면,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,61세,경상
2017010200100283,2017년 1월 2일 15시,월요일,전라북도 전주시 덕진구 동산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,36세,상해없음,자전거,남,69세,경상
2017010200100306,2017년 1월 2일 16시,월요일,전라북도 익산시 모현동1가,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승용,여,38세,경상
2017010200100457,2017년 1월 2일 20시,월요일,전라북도 익산시 남중동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,여,38세,상해없음,보행자,여,20세,중상
2017010200100515,2017년 1월 2일 23시,월요일,전라북도 군산시 나운동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,이륜,남,52세,경상
2017010300100052,2017년 1월 3일 03시,화요일,전라북도 부안군 상서면,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,22세,경상,,,,
2017010300100067,2017년 1월 3일 05시,화요일,전라북도 고창군 고창읍,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,남,30세,경상,,,,
2017010300100149,2017년 1월 3일 08시,화요일,전라북도 정읍시 북면,경상사고,0,0,1,0,차량단독 - 도로외이탈 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,27세,경상,,,,
2017010300100183,2017년 1월 3일 09시,화요일,전라북도 전주시 완산구 효자동2가,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,승용,여,34세,상해없음,보행자,여,18세,경상
2017010300100184,2017년 1월 3일 09시,화요일,전라북도 전주시 완산구 삼천동1가,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,자전거,여,55세,중상
2017010300100185,2017년 1월 3일 09시,화요일,전라북도 순창군 복흥면,중상사고,0,2,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,주차장 - 주차장,승합,여,59세,중상,,,,
2017010300100217,2017년 1월 3일 10시,화요일,전라북도 익산시 춘포면,중상사고,0,1,2,0,차대차 - 측면충돌,신호위반,젖음/습기,안개,교차로 - 교차로안,화물,남,31세,상해없음,화물,남,65세,경상
2017010300100336,2017년 1월 3일 15시,화요일,전라북도 전주시 덕진구 금암동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,원동기,남,53세,상해없음,승용,남,29세,경상
2017010300100337,2017년 1월 3일 15시,화요일,전라북도 군산시 나운동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,39세,상해없음,보행자,여,46세,경상
2017010300100338,2017년 1월 3일 15시,화요일,전라북도 부안군 부안읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,보행자,남,12세,중상
