사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019010100100035,2019년 1월 1일 01시,화요일,전라북도 전주시 완산구 효자동3가,경상사고,0,0,2,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,여,46세,경상
2019010100100058,2019년 1월 1일 03시,화요일,전라북도 익산시 신동,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,31세,상해없음,보행자,남,24세,경상
2019010100100104,2019년 1월 1일 07시,화요일,전라북도 전주시 완산구 서서학동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,흐림,교차로 - 교차로안,승용,남,66세,상해없음,승용,여,52세,경상
2019010100100147,2019년 1월 1일 11시,화요일,전라북도 임실군 신평면,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,50세,상해없음,보행자,남,71세,중상
2019010100100164,2019년 1월 1일 12시,화요일,전라북도 군산시 임피면,중상사고,0,1,1,0,차대차 - 기타,중앙선침범,젖음/습기,맑음,단일로 - 기타,화물,남,67세,상해없음,승용,남,66세,경상
2019010100100181,2019년 1월 1일 13시,화요일,전라북도 익산시 동산동,경상사고,0,0,2,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,64세,상해없음,승용,여,51세,경상
2019010100100197,2019년 1월 1일 14시,화요일,전라북도 전주시 덕진구 인후동1가,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,젖음/습기,눈,교차로 - 교차로부근,승용,남,45세,상해없음,이륜,남,46세,중상
2019010100100216,2019년 1월 1일 15시,화요일,전라북도 완주군 상관면,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,젖음/습기,눈,단일로 - 기타,승용,남,44세,상해없음,승합,남,37세,경상
2019010100100257,2019년 1월 1일 18시,화요일,전라북도 진안군 성수면,경상사고,0,0,2,0,차대차 - 정면충돌,안전운전불이행,서리/결빙,눈,단일로 - 기타,화물,남,70세,상해없음,특수,남,32세,경상
2019010100100291,2019년 1월 1일 19시,화요일,전라북도 군산시 구암동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,적설,눈,교차로 - 교차로안,화물,남,28세,상해없음,승용,남,60세,경상
2019010100100292,2019년 1월 1일 19시,화요일,전라북도 익산시 영등동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,젖음/습기,눈,기타 - 기타,승용,남,50세,상해없음,보행자,여,24세,경상
2019010100100313,2019년 1월 1일 20시,화요일,전라북도 남원시 금동,경상사고,0,0,4,0,차대차 - 정면충돌,중앙선침범,젖음/습기,흐림,단일로 - 기타,승용,여,42세,상해없음,승용,남,41세,경상
2019010100100350,2019년 1월 1일 23시,화요일,전라북도 임실군 임실읍,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,젖음/습기,맑음,교차로 - 교차로안,승용,남,23세,경상,화물,남,33세,경상
2019010200100022,2019년 1월 2일 00시,수요일,전라북도 전주시 덕진구 송천동1가,중상사고,0,1,0,0,차대사람 - 기타,과속,건조,맑음,교차로 - 교차로안,승용,남,34세,상해없음,보행자,남,22세,중상
2019010200100033,2019년 1월 2일 02시,수요일,전라북도 익산시 부송동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,57세,상해없음,자전거,남,11세,경상
2019010200100044,2019년 1월 2일 04시,수요일,전라북도 전주시 완산구 서서학동,중상사고,0,2,1,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승합,남,53세,경상,승합,남,39세,중상
2019010200100068,2019년 1월 2일 06시,수요일,전라북도 전주시 완산구 서서학동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,33세,상해없음,보행자,남,63세,중상
2019010200100116,2019년 1월 2일 08시,수요일,전라북도 군산시 나운동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,62세,상해없음,승용,남,59세,경상
2019010200100154,2019년 1월 2일 10시,수요일,전라북도 익산시 남중동,경상사고,0,0,4,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,61세,상해없음,화물,남,59세,경상
2019010200100155,2019년 1월 2일 10시,수요일,전라북도 익산시 함열읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,53세,상해없음,보행자,여,79세,중상
2019010200100195,2019년 1월 2일 12시,수요일,전라북도 전주시 덕진구 금암동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,44세,상해없음,보행자,여,40세,경상
2019010200100196,2019년 1월 2일 12시,수요일,전라북도 고창군 고창읍,중상사고,0,2,1,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,71세,상해없음,승용,여,62세,경상
2019010200100197,2019년 1월 2일 12시,수요일,전라북도 임실군 오수면,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,승합,남,61세,상해없음
2019010200100213,2019년 1월 2일 13시,수요일,전라북도 군산시 미룡동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승합,남,49세,상해없음,보행자,남,7세,중상
2019010200100214,2019년 1월 2일 13시,수요일,전라북도 군산시 경장동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,화물,남,62세,상해없음,승용,남,59세,경상
2019010200100215,2019년 1월 2일 13시,수요일,전라북도 김제시 백구면,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,건조,맑음,단일로 - 기타,화물,남,55세,상해없음,화물,남,40세,경상
2019010200100307,2019년 1월 2일 16시,수요일,전라북도 전주시 완산구 동완산동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,79세,상해없음,보행자,여,77세,사망
2019010200100308,2019년 1월 2일 16시,수요일,전라북도 전주시 덕진구 여의동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,여,17세,부상신고
2019010200100335,2019년 1월 2일 17시,수요일,전라북도 전주시 덕진구 팔복동1가,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,건조,맑음,단일로 - 기타,화물,남,25세,상해없음,이륜,남,58세,경상
2019010200100336,2019년 1월 2일 17시,수요일,전라북도 전주시 덕진구 우아동2가,경상사고,0,0,4,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,승용,남,53세,경상
2019010200100389,2019년 1월 2일 18시,수요일,전라북도 전주시 완산구 평화동1가,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,기타,교차로 - 교차로안,승용,여,25세,상해없음,이륜,남,24세,중상
2019010200100390,2019년 1월 2일 18시,수요일,전라북도 군산시 대명동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,37세,상해없음,보행자,남,53세,경상
2019010200100391,2019년 1월 2일 18시,수요일,전라북도 정읍시 신태인읍,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,남,71세,상해없음,자전거,남,84세,사망
2019010200100439,2019년 1월 2일 19시,수요일,전라북도 익산시 춘포면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,55세,상해없음,건설기계,남,46세,경상
2019010200100521,2019년 1월 2일 23시,수요일,전라북도 전주시 완산구 고사동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,24세,상해없음,승용,남,53세,경상
2019010300100068,2019년 1월 3일 05시,목요일,전라북도 김제시 부량면,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,,,,
2019010300100077,2019년 1월 3일 06시,목요일,전라북도 진안군 진안읍,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,경상,,,,
2019010300100143,2019년 1월 3일 09시,목요일,전라북도 전주시 덕진구 송천동2가,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,보행자,여,7세,중상
2019010300100214,2019년 1월 3일 12시,목요일,전라북도 전주시 덕진구 덕진동1가,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,여,60세,상해없음,승용,여,47세,경상
2019010300100239,2019년 1월 3일 13시,목요일,전라북도 전주시 완산구 서노송동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,승용,여,71세,경상
2019010300100270,2019년 1월 3일 14시,목요일,전라북도 전주시 덕진구 인후동1가,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,39세,상해없음,승용,남,57세,경상
2019010300100271,2019년 1월 3일 14시,목요일,전라북도 익산시 평화동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,83세,기타불명,이륜,남,78세,경상
2019010300100295,2019년 1월 3일 15시,목요일,전라북도 전주시 덕진구 금암동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,승합,남,59세,경상
2019010300100296,2019년 1월 3일 15시,목요일,전라북도 고창군 아산면,경상사고,0,0,2,0,차대차 - 정면충돌,중앙선침범,건조,맑음,교차로 - 교차로안,화물,남,28세,상해없음,승합,남,56세,상해없음
2019010300100347,2019년 1월 3일 17시,목요일,전라북도 전주시 완산구 효자동3가,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,67세,상해없음,,,,
