사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2017010100100016,2017년 1월 1일 00시,일요일,제주특별자치도 제주시 일도이동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,33세,상해없음,승용,남,20세,경상
2017010100100074,2017년 1월 1일 03시,일요일,제주특별자치도 제주시 애월읍,경상사고,0,0,3,0,차량단독 - 전도전복,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,경상,미분류,미분류,미분류,미분류
2017010100100133,2017년 1월 1일 08시,일요일,제주특별자치도 제주시 도두일동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,보행자,남,21세,경상
2017010100100158,2017년 1월 1일 10시,일요일,제주특별자치도 제주시 내도동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로부근,화물,남,64세,상해없음,승용,남,53세,경상
2017010100100159,2017년 1월 1일 10시,일요일,제주특별자치도 제주시 용담이동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,67세,상해없음,화물,남,62세,경상
2017010100100173,2017년 1월 1일 11시,일요일,제주특별자치도 서귀포시 중문동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,주차장 - 주차장,화물,남,76세,상해없음,원동기,여,62세,경상
2017010100100242,2017년 1월 1일 15시,일요일,제주특별자치도 제주시 애월읍,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,29세,상해없음,승용,남,25세,부상신고
2017010100100319,2017년 1월 1일 18시,일요일,제주특별자치도 제주시 삼도이동,중상사고,0,1,0,0,차대사람 - 차도통행중,보행자보호의무위반,건조,기타,단일로 - 기타,승용,남,42세,상해없음,보행자,남,70세,중상
2017010100100320,2017년 1월 1일 18시,일요일,제주특별자치도 서귀포시 남원읍,사망사고,1,1,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,경상,화물,남,39세,기타불명
2017010100100402,2017년 1월 1일 21시,일요일,제주특별자치도 서귀포시 남원읍,중상사고,0,1,0,0,차량단독 - 전도전복,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,47세,중상,미분류,미분류,미분류,미분류
2017010200100093,2017년 1월 2일 07시,월요일,제주특별자치도 제주시 일도이동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,흐림,단일로 - 기타,화물,남,47세,상해없음,보행자,남,48세,사망
