사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2015010100100024,2015년 1월 1일 00시,목요일,충청남도 홍성군 홍성읍,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,결빙,눈,단일로 - 기타,승용,여,48세,상해없음,보행자,남,41세,경상
2015010100100054,2015년 1월 1일 01시,목요일,충청남도 아산시 온천동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전거리미확보,적설,눈,교차로 - 교차로안,승용,남,46세,기타불명,승용,남,33세,경상
2015010100100148,2015년 1월 1일 07시,목요일,충청남도 천안시 동남구 원성동,중상사고,0,2,0,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,기타불명,기타불명,기타불명,승용,여,61세,중상
2015010100100168,2015년 1월 1일 09시,목요일,충청남도 예산군 응봉면,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,결빙,맑음,교차로 - 교차로안,승용,여,57세,상해없음,승용,남,43세,상해없음
2015010100100185,2015년 1월 1일 10시,목요일,충청남도 논산시 연무읍,중상사고,0,1,4,0,차대차 - 추돌 - 주정차중,안전운전불이행,결빙,눈,단일로 - 기타,승합,남,44세,중상,승용,여,54세,기타불명
2015010100100186,2015년 1월 1일 10시,목요일,충청남도 서천군 서천읍,중상사고,0,1,0,0,차대차 - 기타,직진우회전진행방해,건조,흐림,교차로 - 교차로안,승용,남,48세,상해없음,원동기,남,57세,중상
2015010100100217,2015년 1월 1일 12시,목요일,충청남도 논산시 취암동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,승용,남,40세,경상
2015010100100232,2015년 1월 1일 13시,목요일,충청남도 천안시 서북구 불당동,중상사고,0,2,3,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,30세,중상,승합,여,28세,경상
2015010100100233,2015년 1월 1일 13시,목요일,충청남도 당진시 면천면,경상사고,0,0,2,0,차대차 - 기타,중앙선침범,결빙,흐림,교차로 - 교차로부근,승용,남,49세,상해없음,승용,남,41세,경상
2015010100100273,2015년 1월 1일 15시,목요일,충청남도 보령시 청소면,경상사고,0,0,2,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,남,50세,경상
