사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2014010100100015,2014년 1월 1일 00시,수요일,충청북도 증평군 증평읍,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,55세,중상,,,,
2014010100100039,2014년 1월 1일 01시,수요일,충청북도 청주시 흥덕구 복대동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,기타불명,특수,남,48세,상해없음
2014010100100126,2014년 1월 1일 05시,수요일,충청북도 충주시 교현동,부상신고사고,0,0,0,1,차대차 - 측면직각충돌,기타,건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,이륜,남,76세,부상신고
2014010100100144,2014년 1월 1일 06시,수요일,충청북도 청주시 흥덕구 송정동,중상사고,0,1,2,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승합,남,55세,경상,승용,남,30세,경상
2014010100100145,2014년 1월 1일 06시,수요일,충청북도 청주시 서원구 개신동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,원동기,남,56세,중상,승용,남,33세,상해없음
2014010100100146,2014년 1월 1일 06시,수요일,충청북도 청주시 서원구 분평동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,23세,경상,승용,남,54세,상해없음
2014010100100163,2014년 1월 1일 07시,수요일,충청북도 청주시 서원구 현도면,중상사고,0,1,0,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,화물,남,52세,상해없음
2014010100100188,2014년 1월 1일 09시,수요일,충청북도 보은군 수한면,사망사고,2,2,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,22세,사망,,,,
2014010100100203,2014년 1월 1일 10시,수요일,충청북도 청주시 상당구 남문로1가동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,단일로 - 기타,원동기,여,71세,경상,승용,여,30세,상해없음
2014010100100204,2014년 1월 1일 10시,수요일,충청북도 청주시 흥덕구 송절동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,40세,상해없음,승용,남,23세,경상
