SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51547,20240429,30,0,0,토마토어린이집,경상북도,0,1 ,경상북도 구미시 금오대로20길 5 (오태동) 토마토어린이집,경상북도 구미시 오태동 748-6 토마토어린이집,경북지방경찰청 구미,47190,구미시,128.351444955453,36.07197302076731,구미시청 교통정책과,0544641943,1,"POLYGON((128.35104082414728 36.07219497881201,128.35186850457657 36.07158863616533,128.35183201240676 36.07156426631171,128.35101265541456 36.072170514875346,128.35104082414728 36.07219497881201))",C0103
51017,20231228,30,30,0,재품리경로당(서후),경상북도,6~7,2 ,경상북도 안동시 서후면 백현길 416-3  재품리경로당,경상북도 안동시 서후면 재품리 398-4 재품리경로당,경북지방경찰청 안동,47170,안동시,128.6317952986563,36.64212283009132,교통행정과,0548405425,2,"POLYGON((128.6331853493706 36.64361750758011,128.63310983955284 36.64348338848788,128.6329898560791 36.643361142029654,128.6319842636781 36.6426000396874,128.63181620757965 36.64245141980035,128.63157572577896 36.64218215273639,128.6313926542306 36.64198418123342,128.63097673679357 36.641613697318014,128.63079258304046 36.64149683244397,128.63086944965642 36.641430455163,128.63109869394484 36.64156472301509,128.63144934226938 36.641888796485276,128.63189833049876 36.642369201808464,128.63199254291678 36.64246251907078,128.6321006803013 36.642553392852626,128.63248155358858 36.64285227059143,128.63273714356643 36.64304248845427,128.63304360593858 36.64325903911212,128.63318637315487 36.64340124626674,128.63325297644556 36.6435107091203,128.6333023374229 36.643597882640535,128.6331853493706 36.64361750758011))",C0103
51016,20231228,30,30,0,접실경로당(남후),경상북도,8,2 ,경상북도 안동시 남후면 접실길 3  접실경로당,경상북도 안동시 남후면 개곡리 304 접실경로당,경북지방경찰청 안동,47170,안동시,128.66728685589158,36.535162892587465,교통행정과,0548405425,2,"POLYGON((128.6643768350021 36.53626903145117,128.66455595343083 36.536160658575305,128.66465843213257 36.536123186178195,128.66501706365852 36.53605510558788,128.6651809827555 36.536019027322816,128.66541350656547 36.535927928107945,128.66573132937938 36.535779321712944,128.66596846653852 36.53564310492662,128.6663721531827 36.53533336228414,128.66654491218145 36.53518903370154,128.66673176820547 36.53505126561626,128.6669029923267 36.53496552564048,128.66748686054808 36.53472759597757,128.66787148648598 36.53444064092798,128.66815970007798 36.5342136012575,128.66843641131777 36.53397095364253,128.66868632908756 36.53378049023261,128.66882848186586 36.5336410919387,128.6690534600596 36.53332933631983,128.66928217782288 36.532931929042505,128.6693462923665 36.53279812787398,128.66946695931847 36.53282797481578,128.6693466660577 36.53307519271534,128.66920625791084 36.5332956608704,128.66902005666577 36.533593358359916,128.66891134167992 36.5337300362442,128.66871131463583 36.53390403366497,128.66845341216364 36.53411262967835,128.6682094124335 36.53431877802212,128.6679787834629 36.53449770759909,128.66756673609763 36.534807572535335,128.667375737636 36.53488232697999,128.66701028936652 36.53502259317823,128.66686109944365 36.53509450965239,128.66663296554592 36.53525988616955,128.66632569303732 36.53550971459523,128.6660840872218 36.53569780438216,128.66583035169782 36.53584101111273,128.66557618046056 36.53596394997535,128.66526350304525 36.536092210676344,128.6651165204416 36.536137062936454,128.66473556404384 36.536205455543175,128.6646135995235 36.53624545266335,128.66446469461107 36.53633087781276,128.6643768350021 36.53626903145117))",C0103
51014,20231228,30,30,0,이상리경로당(와룡),경상북도,6~7,2 ,경상북도 안동시 와룡면 솔밭앞길 28  이상리경로당,경상북도 안동시 와룡면 이상리 383-1 이상리경로당,경북지방경찰청 안동,47170,안동시,128.74293954145816,36.62416313820816,교통행정과,0548405425,2,"POLYGON((128.74368280496603 36.62589573004398,128.74347044073275 36.62564880614459,128.74339552222472 36.62554853818351,128.74335753040407 36.625474760256495,128.7433236549339 36.62533559826476,128.74328084062742 36.62517178908638,128.74320643007275 36.62509403900789,128.74304445261848 36.624974771948835,128.74294434174314 36.62487261977888,128.74290005342007 36.62476739818733,128.74290295292758 36.624647970856415,128.74294252476548 36.62454377474257,128.74302643969423 36.62442316192869,128.74312752191335 36.624320318196425,128.7432698489113 36.62418758767475,128.74338733716854 36.62406873580273,128.7434461083313 36.62394849070147,128.74352357222264 36.62378967869078,128.743579299135 36.623534325351415,128.74354725400335 36.62335233821833,128.7434098678889 36.623084043616075,128.74326557290556 36.622881173774225,128.74298622804653 36.62251359152526,128.74308568078996 36.62246258023113,128.7434860085553 36.6229905748127,128.743619840189 36.62322513317541,128.7436702230331 36.62335279076505,128.74369647830886 36.62352585243497,128.74368834791935 36.623661124181396,128.743593815032 36.6239305608759,128.7434805920552 36.62411467433415,128.7432896033609 36.6243201987433,128.7430902327393 36.62452584551005,128.74301967319153 36.62474312238738,128.74307508555182 36.62484592860392,128.74317504439523 36.62494132525195,128.7433141654371 36.62503840120082,128.74339426482095 36.62512057303889,128.74343951789305 36.625268578664794,128.7434735964596 36.625416747829846,128.7435266728516 36.625539860908084,128.74371328491583 36.62576013116654,128.74379368993738 36.62585581350653,128.74368280496603 36.62589573004398))",C0103
51013,20231228,30,30,0,명진1리경로당(일직),경상북도,6~7,2 ,경상북도 안동시 일직면 평팔명진길 232  명진1리경로당,경상북도 안동시 일직면 명진리 179-5 명진1리경로당,경북지방경찰청 안동,47170,안동시,128.64618526687457,36.429758320793425,교통행정과,0548405425,2,"POLYGON((128.64767580402994 36.430510412261654,128.64737075654557 36.43045380131311,128.6471269716489 36.43039409156639,128.64660415348442 36.43018955628926,128.6462213911244 36.43001687684465,128.64581666896348 36.42986026745809,128.64498867245283 36.42959235309628,128.64483444903274 36.429549425468196,128.64459959924184 36.42951661912269,128.64461985033563 36.429419476305405,128.6449135072899 36.42946498810692,128.645923784514 36.429784453158874,128.6469560992468 36.43022299567825,128.6471837813416 36.430312212388365,128.64769883828575 36.43041323055937,128.64767580402994 36.430510412261654))",C0103
51010,20231228,30,30,0,상리1리경로당(풍산),경상북도,4,2 ,경상북도 안동시 풍산읍 우렁길 22  상리1리경로당,경상북도 안동시 풍산읍 상리리 475-4 ,경북지방경찰청 안동,47170,안동시,128.58190088033226,36.578702661111905,교통행정과,0548405425,2,"POLYGON((128.58260719100676 36.57991870615874,128.58180938354957 36.57818802671395,128.5816755208641 36.57792399474353,128.58152797385537 36.577673659886784,128.58130594808347 36.577331955811765,128.58102401235317 36.5770653823683,128.58073732075118 36.57683941839007,128.58066064706543 36.576777362067645,128.5806963481288 36.57674760456367,128.58099686227843 36.576966627438956,128.58133006706456 36.577282078252814,128.58144222310983 36.5774405257721,128.58162648122138 36.57771064710573,128.58180639687168 36.578041646372924,128.58192286366005 36.57827437247965,128.58200755988193 36.57845571004722,128.58267369951034 36.57989304418754,128.58260719100676 36.57991870615874))",C0103
51011,20231228,30,30,0,매곡1리경로당(풍산),경상북도,5~6,2 ,경상북도 안동시 풍산읍 새터1길 7  매곡1리경로당,경상북도 안동시 풍산읍 매곡리 111-1 매곡1리경로당,경북지방경찰청 안동,47170,안동시,128.56187683630301,36.58779252799427,교통행정과,0548405425,2,"POLYGON((128.5649429574831 36.58829968835179,128.56412592587387 36.58795450154813,128.56386128795947 36.587852101718376,128.5636783167755 36.58778241898151,128.5634501196623 36.58768629790778,128.5632133637168 36.58758127819103,128.56298521316697 36.58748740821775,128.56288647445598 36.58743914561864,128.56265700787344 36.58727996634575,128.56260308665705 36.58723787366007,128.5625668063329 36.58710093968325,128.5622978839517 36.586647184051266,128.56176969698683 36.58580261752396,128.56165620274743 36.58585366246121,128.56229661155677 36.58686119946357,128.5623947812148 36.58701984831661,128.5624474532706 36.587138546492795,128.5625001708969 36.58725949666223,128.56257107442164 36.58731262980933,128.56285391745308 36.58748687757066,128.56294418768977 36.58753074602838,128.56316400605303 36.587626977992365,128.56357530976103 36.58779953887806,128.56403138736954 36.58797601592172,128.56439472083972 36.58812442472126,128.5649188246646 36.58834956283971,128.5649429574831 36.58829968835179))",C0103
51015,20231228,30,30,0,남흥경로당(와룡 중가구리),경상북도,5,2 ,경상북도 안동시 와룡면 남흥길 113  남흥경로당,경상북도 안동시 와룡면 중가구리 506-5 남흥경로당,경북지방경찰청 안동,47170,안동시,128.77031767918535,36.595933747557815,교통행정과,0548405425,2,"POLYGON((128.77171995131783 36.597640606317526,128.77156725588105 36.597437895236595,128.77150122331196 36.59736003797009,128.7713640882443 36.59722692414227,128.77125016978454 36.59713175827648,128.77105764675423 36.59701974036736,128.77080265755475 36.59686359963474,128.77069458285766 36.59677960909213,128.770494778021 36.59659336446653,128.77040025530331 36.596491151904544,128.77034224227893 36.596397406981126,128.77029353336317 36.59634406960736,128.7702942162281 36.59625170509515,128.7702752996005 36.596157379239656,128.77024211142785 36.59604975014345,128.7701745378301 36.59590433861891,128.77005406014462 36.595766470626415,128.76983119887953 36.59554903168131,128.7696713180346 36.595398233282964,128.76954830666728 36.59527166510948,128.76936122152304 36.59515280593984,128.76917790649986 36.59507668886794,128.76905446914475 36.59505374362164,128.76891479076767 36.5950535648265,128.7687728853549 36.59507819693875,128.7681863316388 36.59520403521802,128.76817134105417 36.59515920674331,128.76881079846484 36.59502582554973,128.76894168786325 36.59500811457971,128.76907857361968 36.595008334807474,128.76919099502186 36.59503820123796,128.7693429234686 36.595085501272955,128.76952975125778 36.595193101566075,128.76966641658572 36.59530595169259,128.76986906003438 36.59549440819068,128.7700263032432 36.59565200313496,128.77023240994887 36.59586969062851,128.77030562022105 36.59601727091685,128.77034878138548 36.596194580726284,128.77036572886914 36.596324976554605,128.77040575130695 36.59636492769637,128.77042912119336 36.59640963135552,128.77048692848086 36.59649436911064,128.77075255831244 36.59674946440306,128.77088323120398 36.596844381747644,128.77106448016843 36.59695206244269,128.77124009293 36.59705757409611,128.77134232593394 36.59713038825074,128.7714905797546 36.59726108425023,128.7716339698036 36.59742338800231,128.77169162468977 36.59750136976633,128.77177813299176 36.59761946824161,128.77171995131783 36.597640606317526))",C0103
51012,20231228,30,30,0,만운2리(평지)경로당(풍산),경상북도,7,2 ,경상북도 안동시 풍산읍 평지길 332  만운2리(평지)경로당,경상북도 안동시 풍산읍 만운리 600-9 만운2리 평지경로당 만운2리(평지)경로당,경북지방경찰청 안동,47170,안동시,128.5796273664986,36.6076135360847,교통행정과,0548405425,2,"POLYGON((128.5793845705296 36.60968239384201,128.57914545947125 36.60919224289011,128.5791009341854 36.60892702563439,128.57910504987305 36.60803268676931,128.57913087028632 36.60792872469156,128.5792494115539 36.607713155946136,128.5794752817069 36.6074173230799,128.57961443048484 36.6072532907076,128.5796967032183 36.60704045497118,128.57970155472498 36.60700434895565,128.57928809038748 36.605910558563615,128.57921985170324 36.60571548631854,128.57916512013878 36.60549770893733,128.57914930974226 36.60527040524245,128.57917636128758 36.60508983818319,128.57920981773785 36.60481232413898,128.5791730396927 36.60465287653325,128.579117719883 36.60454323200397,128.579223124987 36.60450579325738,128.5792813758298 36.60462215670622,128.57933532633967 36.60480165010888,128.5793144585564 36.60501141912418,128.57927431396766 36.60523495928376,128.57927377090365 36.60534534419529,128.57928220437572 36.60548489400292,128.579384107293 36.605823686769455,128.5798125493117 36.606966835558296,128.57983119227583 36.60705894518629,128.5797379765852 36.607283189133774,128.57964805013142 36.60739475912039,128.579438205435 36.60765433817604,128.579270671783 36.60793362947728,128.57923642579794 36.60803545065942,128.57922783252712 36.60829911939502,128.5792219569123 36.608833064723214,128.57923373532483 36.60899960137945,128.57926199815432 36.609152403892814,128.5794049336655 36.60944785299125,128.57950408688407 36.609651525549715,128.5793845705296 36.60968239384201))",C0103
50994,20231207,30,30,0,선산초등학교,경상북도,5~8,2 ,경상북도 구미시 선산읍 선산중앙로 87-4  선산초등학교,경상북도 구미시 선산읍 동부리 545-1 선산초등학교 ,경북지방경찰청 구미,47190,구미시,128.3010913426671,36.24408586032652,구미시청 교통정책과,0544812022,1,"POLYGON((128.3018349640755 36.24431769430237,128.3018879826471 36.24432838133906,128.30190837533985 36.24404881022309,128.30198197294553 36.2437911881434,128.30212693128115 36.24347646880802,128.30215954434337 36.24309538786656,128.30215616588794 36.24305937958656,128.30207808561522 36.24304671265288,128.30210675077325 36.24309821538829,128.30206579568573 36.24347938712405,128.30195875671026 36.24373286762872,128.30191794441217 36.24378737942698,128.30184386092046 36.24401572015108,128.3018349640755 36.24431769430237))",C0103
50996,20231207,30,30,1,선산초등학교,경상북도,14,1 ,경상북도 구미시 선산읍 선산중앙로 87-4  선산초등학교,경상북도 구미시 선산읍 동부리 545-1 선산초등학교 ,경북지방경찰청 구미,47190,구미시,128.3010913426671,36.24408586032652,구미시청 교통정책과,0544812022,1,"POLYGON((128.30124566559866 36.2428259837334,128.30136552873233 36.242842702280086,128.30155019224733 36.24190352141269,128.3014247321087 36.2418846111133,128.30124566559866 36.2428259837334))",C0103
50995,20231207,30,30,5,선산초등학교,경상북도,15,1 ,경상북도 구미시 선산읍 선산중앙로 87-4  선산초등학교,경상북도 구미시 선산읍 동부리 545-1 선산초등학교 ,경북지방경찰청 구미,47190,구미시,128.3010913426671,36.24408586032652,구미시청 교통정책과,0544812022,1,"POLYGON((128.29839629967785 36.242564080218834,128.298400109628 36.242458156447455,128.30268661999438 36.24301530596722,128.30266042169504 36.243112462365744,128.29839629967785 36.242564080218834))",C0103
50993,20231207,30,30,2,선산초등학교,경상북도,7~11,1 ,경상북도 구미시 선산읍 선산중앙로 87-4  선산초등학교,경상북도 구미시 선산읍 동부리 545-1 선산초등학교 ,경북지방경찰청 구미,47190,구미시,128.3010913426671,36.24408586032652,구미시청 교통정책과,0544812022,1,"POLYGON((128.30029054495026 36.24409569457534,128.3003008464588 36.24404602063292,128.3009845228882 36.244185019689596,128.30163979776015 36.24428827882419,128.3018879826471 36.24432838133906,128.30334700908804 36.244431891613104,128.3033394900961 36.24448153547852,128.30188884196264 36.2443801867486,128.300963061995 36.24423256224266,128.30029054495026 36.24409569457534))",C0103
50941,20231204,30,30,0,지곡1리마을회관,경상북도,8,2 ,경상북도 문경시 문경읍 모싯골길 64  모싯골길 64,경상북도 문경시 문경읍 지곡리 212 모싯골길 64,경북지방경찰청 문경,47280,문경시,128.12272257054005,36.74608848173368,문경시 교통행정과,0549999999,2,"POLYGON((128.12224552951838 36.74716075147716,128.12235794240885 36.747191228670964,128.12265918640338 36.746733345779965,128.12271247201085 36.74654812339732,128.12238961867155 36.74475353171446,128.12225014022744 36.74478638479604,128.12248642138724 36.74601862400232,128.1225744998148 36.74668458585992,128.12224552951838 36.74716075147716))",C0103
50940,20231204,30,30,0,청화노인회관,경상북도,6,1 ,경상북도 문경시 농암면 귀밑길 3  귀밑길 3,경상북도 문경시 농암면 화산리 44-4 귀밑길 3,경북지방경찰청 문경,47280,문경시,127.99648953742253,36.580294259831085,문경시 교통행정과,0549999999,2,"POLYGON((127.99611627114281 36.579504406210376,127.99624928794829 36.5794221949437,127.9972232521809 36.58044131166035,127.99756257643979 36.58076287049313,127.9983791243114 36.581702195131115,127.99876256622412 36.58197832557278,127.99865212379754 36.582078372603135,127.99801918865258 36.581515977204695,127.9971466726474 36.5805681071916,127.99611627114281 36.579504406210376))",C0103
