SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51461,20240611,30,30,3,산흥초등학교 및 산흥병설유치원,대전광역시,11,1 ,"대전광역시 동구 산내로 509 (상소동) 산흥초등학교, 산흥병설유치원",대전광역시 동구 상소동 662-1 산흥초등학교 ,대전지방경찰청 대전동부,30110,동구,127.44828445075831,36.228116009334194,대전광역시 동구,0422747222,1,"POLYGON((127.45198070555666 36.227746133839766,127.45196448825236 36.22782730227947,127.451619607641 36.22781508661554,127.45119112591286 36.22777164354448,127.4509520403097 36.22778155675297,127.45019606035474 36.227847486852404,127.4494236786427 36.22796303928906,127.44893443449139 36.2279919116248,127.44882320747591 36.22799232888824,127.44731623515544 36.228025007772445,127.4468265283641 36.22797276602557,127.44646450269147 36.22787949232683,127.44607989985042 36.227727724275674,127.44581721284305 36.22749889955103,127.44525066679289 36.22664487736882,127.44535615186759 36.226612943107305,127.44591711192955 36.227462479653006,127.44615178769602 36.22765536096082,127.44652519079332 36.227793652712194,127.44686494512518 36.22788250345138,127.44724898576641 36.2279351400527,127.44822770578374 36.22791795989177,127.4493508655669 36.227873193654595,127.45013995633111 36.22776208478562,127.4509070581723 36.22769611313112,127.45133522864974 36.227685486939166,127.45198070555666 36.227746133839766))",C0103
51437,20240528,30,30,2,솔로몬어린이집,대전광역시,8,1 ,"대전광역시 동구 대전로994번길 75 (홍도동, 현암아파트) 1층 솔로몬어린이집",대전광역시 동구 홍도동 16-1 현암아파트 1층 솔로몬어린이집,대전지방경찰청 대전동부,30110,동구,127.42443212585104,36.34381948750005,대전광역시 동구,0426226548,1,"POLYGON((127.4245079847595 36.34342946007765,127.42440476442736 36.343396032648556,127.42402423860834 36.34409354073652,127.42411352344949 36.34412476500908,127.4245079847595 36.34342946007765))",C0103
51352,20240517,30,0,0,대전둔곡초중통합학고,대전광역시,0,2 ,대전광역시 유성구 과학인재4길 3 (둔곡동) 1111111,대전광역시 유성구 둔곡동 438-6 111111,대전지방경찰청 대전유성,30200,유성구,127.36410914263274,36.45275616792128,주차관리과,04277777777,1,"POLYGON((127.36549654756797 36.45364858190822,127.36563310053909 36.453627887606274,127.36512915648183 36.451423840987616,127.36499538533413 36.45144227330446,127.36502900757766 36.451475963999464,127.36549654756797 36.45364858190822))",C0103
51351,20240517,30,0,0,대전둔곡초중통합학고,대전광역시,0,2 ,대전광역시 유성구 과학인재4길 3 (둔곡동) 1111111,대전광역시 유성구 둔곡동 438-6 111111,대전지방경찰청 대전유성,30200,유성구,127.36410914263274,36.45275616792128,주차관리과,04277777777,1,"POLYGON((127.3636687374044 36.45280256850586,127.36369644567858 36.45276418478249,127.36526269502632 36.4525453767917,127.36524269882659 36.452444057473336,127.36369603548194 36.452676322926465,127.3636372834216 36.45263594972024,127.3636687374044 36.45280256850586))",C0103
51350,20240517,30,0,0,대전둔곡초중통합학고,대전광역시,0,2 ,대전광역시 유성구 과학인재4길 3 (둔곡동) 1111111,대전광역시 유성구 둔곡동 438-6 111111,대전지방경찰청 대전유성,30200,유성구,127.36410914263274,36.45275616792128,주차관리과,04277777777,1,"POLYGON((127.36354254382375 36.45205499001962,127.36331107278002 36.452053441860734,127.36331194482092 36.45224042993927,127.36397677203361 36.45546230405222,127.36420251760038 36.45543007487689,127.36354897276907 36.45223745537005,127.36354254382375 36.45205499001962))",C0103
51202,20240308,30,0,0,중구게이트볼장,대전광역시,0,2 ,대전광역시 중구 보문산로 345-10 (문화동) 중구게이트볼장,대전광역시 중구 문화동 11-162 문화동게이트볼장 중구게이트볼장,대전지방경찰청 대전중부,30140,중구,127.41474351715571,36.31395785680451,교통과,0426066274,2,"POLYGON((127.41468417936747 36.31326640749241,127.41472611405497 36.313300056246625,127.41412211209025 36.3138406048319,127.41401135836018 36.313953635872245,127.41399481078902 36.31398298150842,127.41394732047989 36.31395160468781,127.41414382189913 36.313734641048065,127.41468417936747 36.31326640749241))",C0103
51203,20240308,30,0,0,중구게이트볼장,대전광역시,0,2 ,대전광역시 중구 보문산로 345-10 (문화동) 중구게이트볼장,대전광역시 중구 문화동 11-162 문화동게이트볼장 중구게이트볼장,대전지방경찰청 대전중부,30140,중구,127.41474351715571,36.31395785680451,교통과,0426066274,2,"POLYGON((127.41371585184287 36.31334636283739,127.41368542140829 36.313382515324236,127.41421922097443 36.31377943878137,127.41487398042885 36.31441249963704,127.41515055157603 36.31459628121285,127.41519774408457 36.31457133488373,127.41492117291638 36.31438755341647,127.41426644905263 36.313761251539034,127.41371585184287 36.31334636283739))",C0103
51201,20240308,30,0,0,중구게이트볼장,대전광역시,0,2 ,대전광역시 중구 보문산로 345-10 (문화동) 중구게이트볼장,대전광역시 중구 문화동 11-162 문화동게이트볼장 중구게이트볼장,대전지방경찰청 대전중부,30140,중구,127.41474351715571,36.31395785680451,교통과,0426066274,2,"POLYGON((127.41470850988681 36.31418102012987,127.41474769713284 36.31422143724562,127.41492796017066 36.31409239364931,127.4150418905917 36.31405369802831,127.41525362217855 36.314084504003816,127.41531763629439 36.314082028674164,127.41538155479049 36.31406153005702,127.4154176478017 36.314043381052024,127.41565870899339 36.313830765978075,127.41561959322947 36.31380386660024,127.4154006824048 36.3139938751459,127.41535909364099 36.31402556093053,127.41528122061793 36.31403934916864,127.4150889872621 36.314010728487645,127.41501104255703 36.31401099910935,127.41492766169911 36.31403607097962,127.41470850988681 36.31418102012987))",C0103
51200,20240308,30,0,0,육교경로당,대전광역시,0,2 ,대전광역시 중구 유천로34번길 66 (유천동) 육교경로당,대전광역시 중구 유천동 138-5 육교경로당,대전지방경찰청 대전중부,30140,중구,127.40198665528818,36.31636928413198,교통과,0425828363,2,"POLYGON((127.40229153350339 36.31610691648294,127.40234997053435 36.316102213912544,127.40244630669116 36.3169715276891,127.40239342513719 36.31697395865886,127.40229153350339 36.31610691648294))",C0103
51199,20240308,30,0,0,육교경로당,대전광역시,0,2 ,대전광역시 중구 유천로34번길 66 (유천동) 육교경로당,대전광역시 중구 유천동 138-5 육교경로당,대전지방경찰청 대전중부,30140,중구,127.40198665528818,36.31636928413198,교통과,0425828363,2,"POLYGON((127.401513173457 36.3163258164371,127.40149672467231 36.316375436551375,127.40291274113417 36.31672663805599,127.40292642844202 36.31668153295666,127.401513173457 36.3163258164371))",C0103
51198,20240308,30,0,0,육교경로당,대전광역시,0,2 ,대전광역시 중구 유천로34번길 66 (유천동) 육교경로당,대전광역시 중구 유천동 138-5 육교경로당,대전지방경찰청 대전중부,30140,중구,127.40198665528818,36.31636928413198,교통과,0425828363,2,"POLYGON((127.40176110981082 36.31690173819372,127.4018140722775 36.316915077869645,127.40197903254334 36.31651124551627,127.40192049109258 36.316495671721356,127.40176110981082 36.31690173819372))",C0103
