SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51626,20240715,30,0,0,철마노인대학,부산광역시,0,2 ,부산광역시 기장군 철마면 개좌로 822  ,부산광역시 기장군 철마면 장전리 279-1 철마복지회관 철마면 장전리 279-1,부산지방경찰청 부산기장,26710,기장군,129.15011902389713,35.273607015411706,노인장애인복지과,0517095345,2,"POLYGON((129.1498688868426 35.27454802910251,129.14998733705355 35.27460077944238,129.14994983020054 35.27444667729162,129.1499724459487 35.27322387032506,129.14986484720987 35.27321990335145,129.1498688868426 35.27454802910251))",C0103
51627,20240715,30,0,0,기장군노인복지관,부산광역시,0,2 ,부산광역시 기장군 기장읍 대청로22번길 61  기장군 기장읍 대라리 186-8,부산광역시 기장군 기장읍 대라리 186-8 기장군노인복지회관 기장군 기장읍 대라리 186-8,부산지방경찰청 부산기장,26710,기장군,129.2126310632109,35.235167259318196,노인복지관,0517924760,2,"POLYGON((129.2110936066104 35.23561263249517,129.21311622677115 35.23553451321702,129.21311701857044 35.235475745622054,129.2124202090836 35.23549045032779,129.21240975971415 35.23475406425899,129.21233444686717 35.23479461779959,129.21235338255102 35.23549167238665,129.21108962459664 35.23555395206618,129.2110936066104 35.23561263249517))",C0103
51554,20240702,30,30,0,양지비전센터,부산광역시,10,2 ,부산광역시 연제구 화지로 109 (거제동) 양지비전센터,"부산광역시 연제구 거제동 801-89 양지직업재활원,곰두리체육센타 양지비전센터",부산지방경찰청 부산연제,26470,연제구,129.06686434180665,35.18477514708528,교통행정과,0515036001,3,"POLYGON((129.0661594873634 35.18316509502346,129.06607845407927 35.1832160416034,129.0667519057807 35.184236372169664,129.06684951140488 35.1841896479976,129.0661594873634 35.18316509502346))",C0103
51300,20240502,30,0,0,부산시각장애인복지관,부산광역시,0,2 ,부산광역시 북구 시랑로132번길 38 (구포동) 부산시각장애인복지관,부산광역시 북구 구포동 1254-3 부산시각장애인복지관 부산시각장애인복지관,부산지방경찰청 부산북부,26320,북구,129.00787238170187,35.19507192057033,교통행정과,0513380018,3,"POLYGON((129.00777827835924 35.19604336248781,129.00782710616838 35.196020023431295,129.0075777835709 35.195591598402736,129.00752341363074 35.195612776350316,129.00777827835924 35.19604336248781))",C0103
51301,20240502,30,0,0,부산시각장애인복지관,부산광역시,0,2 ,부산광역시 북구 시랑로132번길 38 (구포동) 부산시각장애인복지관,부산광역시 북구 구포동 1254-3 부산시각장애인복지관 부산시각장애인복지관,부산지방경찰청 부산북부,26320,북구,129.00787238170187,35.19507192057033,교통행정과,0513380018,3,"POLYGON((129.00752604621798 35.195608226855626,129.00773981020436 35.19492655331792,129.0078115270471 35.19494113424617,129.0075778944259 35.19559610239985,129.00752604621798 35.195608226855626))",C0103
51262,20240416,30,0,0,남천어린이집,부산광역시,0,2 ,부산광역시 수영구 남천동로22번길 28 (남천동) ,부산광역시 수영구 남천동 20-10 남천동 20-10,부산지방경찰청 부산남부,26500,수영구,129.1097612823154,35.1411778489835,교통행정과,0516108727,1,"POLYGON((129.11111039410272 35.14148551727363,129.1111885506007 35.14153822432333,129.11120995862183 35.14151757521794,129.1118825563892 35.14133012509172,129.11256983624295 35.141392485453686,129.11267745635868 35.14131175743424,129.11210303368418 35.14041611509114,129.11204150073695 35.140369877419225,129.11198579332083 35.14044294108179,129.112028369202 35.14049852086561,129.11253729393619 35.14130068472918,129.1119819528355 35.14124954106097,129.1118802288332 35.14124005025598,129.11117205122383 35.14143037338471,129.11111039410272 35.14148551727363))",C0103
51265,20240416,30,0,3,남천어린이집,부산광역시,0,1 ,부산광역시 수영구 남천동로22번길 28 (남천동) ,부산광역시 수영구 남천동 20-10 남천동 20-10,부산지방경찰청 부산남부,26500,수영구,129.1097612823154,35.1411778489835,교통행정과,0516108727,1,"POLYGON((129.10975792767104 35.14285405477657,129.10983386642846 35.142927077285336,129.1108095941983 35.14226349932993,129.110874284374 35.142219567157156,129.11095939391373 35.142116704062055,129.11103879525538 35.14189904322734,129.11109597376156 35.141670505232746,129.11118306771073 35.14153831988755,129.1111158769894 35.14148542171282,129.1110513620108 35.14153610961057,129.11095848640025 35.141763016827184,129.1108329375564 35.14210539053669,129.11077046546936 35.142129008062625,129.11079577842798 35.142153348693085,129.10975792767104 35.14285405477657))",C0103
50954,20231212,30,0,0,성모수녀회 아이들의 집,부산광역시,6,1 ,부산광역시 해운대구 운봉길 135 (반송동)  성모수녀회아이들의집,부산광역시 해운대구 반송동 614 성모수녀회아이들의집  성모수녀회아이들의집,부산지방경찰청 부산해운대,26350,해운대구,129.14399132493944,35.23329649961188,교통행정과,0515425980,1,"POLYGON((129.1436006567334 35.23431044137353,129.14394267644977 35.23447334407534,129.14394267644977 35.23447334407534,129.144038117628 35.234239610288114,129.14407063669438 35.23422326412719,129.14442411129602 35.23367406516378,129.14524898696627 35.233404871137694,129.14533676685087 35.23329743122443,129.14527908991866 35.23319257047639,129.1451728697819 35.23332962421621,129.14436667236652 35.233578211109915,129.14414103872673 35.23387282632518,129.1439890307574 35.2341481137317,129.1436006567334 35.23431044137353))",C0103
49238,20220518,50,50,0,온천보라어린이집,부산광역시,14~15,1 ,부산광역시 동래구 우장춘로 174 (온천동) 온천보라어린이집,부산광역시 동래구 온천동 269-58 온천보라 어린이집 온천보라어린이집,부산지방경찰청 부산동래,26260,동래구,129.0769695035627,35.22148909578054,부산광역시 동래구,0515521310,1,"POLYGON((129.0766958458346 35.221092780403744,129.07680078387008 35.22197861285083,129.0769483259344 35.222381598314115,129.07755336599612 35.22339176477913,129.07739289032753 35.223450841765626,129.07689666663492 35.22261678409769,129.07674090232834 35.22232207776436,129.0766674760132 35.22213409626607,129.07658615135472 35.22185162943724,129.0765202184192 35.22109579428591,129.0766958458346 35.221092780403744))",C0103
49073,20220329,30,0,1,거학초등학교,부산광역시,15,1 ,부산광역시 연제구 교대로24번길 36 (거제동) ,부산광역시 연제구 거제동 240 거학초등학교 거학초,부산지방경찰청 부산연제,26470,연제구,129.07681384270603,35.19724807489883,부산광역시 연제구,0515024249,1,"POLYGON((129.077372255794 35.19557361112703,129.07742477060827 35.19548034160494,129.07852528743393 35.19537133415838,129.07894449717523 35.195343859192064,129.07983772426007 35.19528571034201,129.07983081502678 35.19533764537888,129.07870749366162 35.195413263026246,129.07837064019412 35.195441576048346,129.07791079626037 35.195490022531,129.07778489059865 35.195503448187786,129.077372255794 35.19557361112703))",C0103
