SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51688,20240730,30,0,0,거여경로당,서울특별시,0,2 ,서울특별시 송파구 오금로 476-12 (거여동) 거여경로당,서울특별시 송파구 거여동 555-3 거여경로당 거여경로당,서울지방경찰청 서울송파,11710,송파구,127.14175496258784,37.49370928387778,보행자전거과,024483146,2,"POLYGON((127.14172840014075 37.494022415072855,127.14169213602017 37.49398101229534,127.14175988536718 37.49392867262507,127.14201292221216 37.49378961373496,127.14204012957397 37.493825621280344,127.14172840014075 37.494022415072855))",C0103
51703,20240730,30,0,0,관악구장애인종합복지관,서울특별시,0,2 ,서울특별시 관악구 남부순환로 1914 (봉천동) 관악구장애인종합복지관,서울특별시 관악구 봉천동 1660-4 관악구장애인종합복지관 관악구장애인종합복지관,서울지방경찰청 서울관악,11620,관악구,126.96187248425656,37.47748306671273,보행자전거과,028770750,3,"POLYGON((126.96208185345992 37.477055154551344,126.96272074855055 37.47678505497107,126.96263038113511 37.476631854787094,126.96035751468067 37.477527618619376,126.96045918650067 37.47767631925365,126.96199138435263 37.47710468101099,126.96222297720234 37.47744263386297,126.96112043542011 37.477924316290604,126.96126730167992 37.478131596694894,126.96397551629164 37.47707376726561,126.96381171464715 37.476807919378246,126.96232474080861 37.477415636069,126.96208185345992 37.477055154551344))",C0103
51702,20240730,30,0,0,실로암시각장애인복지관,서울특별시,0,2 ,서울특별시 관악구 남부순환로 1717 (봉천동) 은천동 931-7,서울특별시 관악구 봉천동 931-7 실로암시각장애인복지관 실로암시각장애인복지관,서울지방경찰청 서울관악,11620,관악구,126.94120153017654,37.48306985439232,보행자전거과,028800500,3,"POLYGON((126.94034784654592 37.48313249706974,126.9401501855499 37.48288011470267,126.94102107744163 37.48249762396948,126.94148475240662 37.48234918808251,126.94192576766501 37.48225930480288,126.94214626447817 37.48222787767069,126.94222515519671 37.48255678444827,126.94159755938664 37.48267811206376,126.94115084216163 37.48282655683206,126.94072107919604 37.482979513457536,126.94105424963207 37.48344820460117,126.94165932744664 37.48321424270308,126.94191943452397 37.483137785123446,126.9421964694406 37.483101880639566,126.94227538555462 37.48339925204869,126.94184567047851 37.48348914217628,126.94128015673263 37.48373213477173,126.9415455366703 37.48414673025628,126.94147766213358 37.48419174707718,126.9412349024902 37.483768152611525,126.94087861965887 37.483930156392724,126.9406979394464 37.48364624817317,126.94099769607169 37.48347520662881,126.94068146409147 37.48303355409106,126.94034784654592 37.48313249706974))",C0103
51701,20240730,30,0,0,시니어아카데미,서울특별시,0,2 ,서울특별시 관악구 신림로46길 1 (신림동) 서원동성당,서울특별시 관악구 신림동 92-32 서원동성당 서원동성당,서울지방경찰청 서울관악,11620,관악구,126.9334210471587,37.47858545947711,보행자전거과,028737900,2,"POLYGON((126.93265797530508 37.47851294629591,126.93253935641253 37.47841151508947,126.93301157448941 37.478182026388794,126.93366749623331 37.47796390168036,126.93371263719038 37.47805628046989,126.9335571346878 37.478112506211126,126.9342914618886 37.47873010821209,126.93424904362205 37.478754862368525,126.9335090617035 37.478139509447885,126.93265797530508 37.47851294629591))",C0103
51697,20240730,30,0,0,밀알천사,서울특별시,0,2 ,서울특별시 강남구 양재대로55길 13 (일원동) 밀알천사,서울특별시 강남구 일원동 644-2 조이빌딩 밀알천사,서울지방경찰청 서울수서,11680,강남구,127.0875923153436,37.491687735851926,보행자전거과,024457942,3,"POLYGON((127.08666423425129 37.49291018568779,127.08753965213653 37.491132754314485,127.08748762234028 37.49112017867201,127.08660993749206 37.49289400718146,127.08666423425129 37.49291018568779))",C0103
51695,20240730,30,30,1,꽃다비어린이집,서울특별시,6,1 ,서울특별시 강동구 성안로31마길 9 (천호동) 꽃다비어린이집,서울특별시 강동구 천호동 173-2 꽃다비 구립어린이집 꽃다비어린이집,서울지방경찰청 서울강동,11740,강동구,127.13384072447059,37.54057649300745,서울특별시 강동구,024730513,1,"POLYGON((127.13370712993822 37.54053362160031,127.13365963571128 37.54054989338137,127.13389578155868 37.54099291749927,127.1339545943559 37.54097843479077,127.13370712993822 37.54053362160031))",C0103
51694,20240730,30,0,0,오봉산경로당,서울특별시,0,2 ,서울특별시 송파구 석촌호수로20길 13 (석촌동) 오봉산경로당,서울특별시 송파구 석촌동 162 오봉산경로당 오봉산경로당,서울지방경찰청 서울송파,11710,송파구,127.10232222287613,37.50613163650721,보행자전거과,024137283,2,"POLYGON((127.10220034910711 37.506331765188165,127.10213471483249 37.506304791811985,127.10256809531599 37.505632266642,127.10262694320907 37.50565924567685,127.10220034910711 37.506331765188165))",C0103
51693,20240730,30,0,0,오봉산경로당,서울특별시,0,2 ,서울특별시 송파구 석촌호수로20길 13 (석촌동) 오봉산경로당,서울특별시 송파구 석촌동 162 오봉산경로당 오봉산경로당,서울지방경찰청 서울송파,11710,송파구,127.10232222287613,37.50613163650721,보행자전거과,024137283,2,"POLYGON((127.10213468537263 37.506283167708766,127.10217531983312 37.50622366626541,127.10165930826422 37.50601688036431,127.10162092550007 37.506069171629235,127.10213468537263 37.506283167708766))",C0103
51692,20240730,30,0,0,석촌경로당,서울특별시,0,2 ,서울특별시 송파구 백제고분로40길 13-16 (석촌동) 석촌경로당,서울특별시 송파구 석촌동 289-2 석촌주민복지관 석촌경로당,서울지방경찰청 서울송파,11710,송파구,127.10748491089224,37.503574955505165,보행자전거과,024213083,2,"POLYGON((127.10686732854354 37.50351604963636,127.10688762397362 37.50347278299777,127.1076118074103 37.5037352190563,127.10759151232766 37.50377848574809,127.10686732854354 37.50351604963636))",C0103
51691,20240730,30,30,1,성내일어린이집,서울특별시,8,1 ,서울특별시 강동구 풍성로42길 20 (성내동) 성내일어린이집,서울특별시 강동구 성내동 521-7 성내1어린이집 성내일어린이집,서울지방경찰청 서울강동,11740,강동구,127.12689989264433,37.530560895956214,서울특별시 강동구,024833732,1,"POLYGON((127.1269580877549 37.530186016910044,127.12697390213499 37.5301715840447,127.12699889259775 37.53023102308397,127.12700791593059 37.53021479547365,127.12698535615048 37.530254463787436,127.12706722294824 37.530495844002324,127.12715594578913 37.53077686075072,127.12721037036108 37.530847080232526,127.12715382076584 37.53085795314822,127.12710619668823 37.53079493432134,127.12699025742894 37.53047610472635,127.1269606741806 37.530377026434365,127.12694463070626 37.53025630961309,127.1269580877549 37.530186016910044))",C0103
