SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51134,20240215,30,30,0,세종이음학교,세종특별자치시,6,1 ,세종특별자치시 집현부강로 15 (집현동) ,세종특별자치시 집현동 619 세종특별자치시 집현동 619, ,36110,세종특별자치시,127.33728155311299,36.500326963449936,교통과,0449957100,1,"POLYGON((127.3369966537039 36.49897603791353,127.33709978023293 36.49894871196251,127.33753018763484 36.49974952194514,127.33749954213982 36.49976087306163,127.3375556532503 36.49983055373142,127.33756155675492 36.49990488220828,127.33753096987152 36.49992975047217,127.33748358187538 36.499941148949524,127.3374444771022 36.49993224802228,127.33740808454682 36.49990531633802,127.33741346008817 36.49985799056636,127.3374300069999 36.4998128860834,127.3369966537039 36.49897603791353))",C0103
51138,20240215,30,30,0,나루초등학교,세종특별자치시,5~9,1 ,세종특별자치시 집현서로 90 (집현동) ,세종특별자치시 집현동 927-1 세종특별자치시 집현동 927-1, ,36110,세종특별자치시,127.32355362310093,36.49522615000831,교통과,0449609600,1,"POLYGON((127.32134284612442 36.49366186224884,127.3212863445423 36.4934930478305,127.3222062354621 36.49328104868035,127.32229794704264 36.49319293835851,127.32210534240524 36.49249956899359,127.32221127450032 36.492476754092046,127.32241225052188 36.49317010066583,127.32253522335117 36.49321933183734,127.32308160035872 36.49309845055829,127.32313255327387 36.493274037819745,127.32259733581368 36.49339488915911,127.32249447296745 36.49348528273667,127.32263261578812 36.49450096151334,127.32481716493884 36.49444997658894,127.32482033146728 36.494540083453174,127.32265254912824 36.49459778176183,127.32267998824788 36.49515867644836,127.32268067052034 36.49532313535259,127.32267403816245 36.495742190247256,127.32265301513374 36.49605539835706,127.32258327123928 36.49673145290939,127.32246325122989 36.49672276580431,127.32252231152 36.496161637418965,127.3225407970822 36.49590926413837,127.32255552063438 36.4954226007801,127.32252420846132 36.4946003816445,127.3223037812615 36.49460097729271,127.32230061764484 36.494510870348144,127.32251545481928 36.49450803692956,127.32237736953512 36.49350587518549,127.3222627855473 36.4934611269723,127.32134284612442 36.49366186224884))",C0103
50081,20230103,30,30,9,"나성초등학교,나성유치원",세종특별자치시,11~16,1 ,세종특별자치시 갈매로 294 (나성동) 나성초등학교,세종특별자치시 나성동 849 나성초등학교 나성초등학교, ,36110,세종특별자치시,127.26419437770141,36.48997629910343,세종특별자치시 세종특별자치시,0449028600,1,"POLYGON((127.26246849550708 36.49280748748617,127.26275861213017 36.49278882581064,127.2628553660296 36.491695960243845,127.26318213228332 36.49014074435411,127.26396057025245 36.48849666603634,127.26625184274059 36.489503124156194,127.26573407868176 36.48985122381562,127.26540597354 36.49018087636439,127.26438803763219 36.49113385674884,127.26403194372529 36.49144103856504,127.26368650351748 36.49159950490326,127.2629781773737 36.4917092069795,127.2629727342013 36.49174977102952,127.26313463034151 36.49176969013092,127.26365323581533 36.49166265939053,127.2638984612837 36.491572001595706,127.26406001315479 36.49149054007,127.26443293972943 36.49121035557262,127.26541733367554 36.4902394262947,127.26579834246363 36.4898781153869,127.26633292383636 36.48955250683882,127.26672189173185 36.489887318963405,127.26688910999908 36.48983287563794,127.2664525642285 36.489455365353564,127.26712069035858 36.48902131612662,127.2670089499225 36.48898101415702,127.26637432720037 36.48942174665001,127.26614229866524 36.489289343750016,127.26407177315578 36.48837926954608,127.26437134871526 36.487864946541826,127.26417025520162 36.4878023109054,127.26382591620303 36.48828068610504,127.26259657991889 36.487769738225886,127.26249659642201 36.48790513182137,127.2637482542853 36.48841603137884,127.26331575760587 36.489228028038774,127.26292804532656 36.49008498220998,127.26146532133606 36.48987191875964,127.2613986626076 36.48996218051487,127.26293981476546 36.49026518766969,127.26257605661745 36.49160871244903,127.26116940978963 36.49148563773938,127.26113638209178 36.49162088354845,127.26258761256175 36.4917258373963,127.26246849550708 36.49280748748617))",C0103
50080,20230103,30,30,0,정희어린이집,세종특별자치시,6,1 ,세종특별자치시 금남면 성덕영곡길 11-68  정희어린이집,세종특별자치시 금남면 발산리 259-2 세종정희어린이집 정희어린이집, ,36110,세종특별자치시,127.28181684228731,36.45578390891945,세종특별자치시 세종특별자치시,0448661679,1,"POLYGON((127.28172843671645 36.4567866599785,127.28213931300343 36.4562675215441,127.28282391454556 36.45509664400997,127.28290208310858 36.455118987815034,127.28221188851519 36.45628537320681,127.28179273565483 36.456829313372495,127.28172843671645 36.4567866599785))",C0103
47358,20211210,30,30,0,세종푸르니어린이집,세종특별자치시,15,1 ,세종특별자치시 남세종로 254 (반곡동) 어린이집,세종특별자치시 반곡동 203-40 한국개발연구원 어린이집, ,36110,세종특별자치시,127.31001761083884,36.4825219953174,교통정책과,0447155533,1,"POLYGON((127.30756930270115 36.48209319593967,127.31168618355973 36.48258748834454,127.31171348584901 36.48243872612382,127.30761335130796 36.481944391463585,127.30756930270115 36.48209319593967))",C0103
37114,20201127,30,30,5,양지초등학교,세종특별자치시,7~18,1 ,세종특별자치시 보듬8로 11 (도담동) 양지초등학교,세종특별자치시 도담동 583 양지초등학교 양지초등학교, ,36110,세종특별자치시,127.2602854887438,36.51855285741441,건설교통국교통과,0448679051,1,"POLYGON((127.25969200415867 36.51802359725482,127.25990415591623 36.5180321467224,127.25994877919439 36.518021911516755,127.26009382455828 36.51799456075558,127.26101502988357 36.51803760619552,127.2618833879485 36.51813482972105,127.26191152649619 36.518202354398305,127.26179532187258 36.51850562210103,127.26185677141632 36.518519004510935,127.26197296822525 36.51821348388471,127.2620621384552 36.518170483258686,127.26282460195773 36.518316369483216,127.26288528183679 36.51810221199274,127.26228756194524 36.51797623995366,127.26222868338441 36.51789751853416,127.26233345503051 36.517515424652764,127.26209914315324 36.51755649160373,127.26201637985645 36.51784391589336,127.26192444927688 36.517895934076165,127.26158931626061 36.51783584167378,127.26144424899373 36.5178564356545,127.26092496669509 36.517814767911396,127.26052017901296 36.5177908709598,127.2603219718597 36.51777891283189,127.26000934241873 36.517770583163234,127.25953484633825 36.51776711073222,127.25969200415867 36.51802359725482))",C0103
37008,20201126,20,20,3,다정초등학교,세종특별자치시,8~13,1 ,세종특별자치시 다정남로 35 (다정동) 다정초등학교,세종특별자치시 다정동 959 다정초등학교 다정초등학교, ,36110,세종특별자치시,127.24442005035436,36.49389268573517,건설교통국 교통과,0449023800,1,"POLYGON((127.2414827774564 36.49247778557118,127.24157169180751 36.49235820227371,127.2437471578933 36.492971070479804,127.2440599264531 36.4930560410329,127.24509020600705 36.49327696548466,127.24512360308228 36.49324986217166,127.24517933583193 36.49322721873862,127.2452462363971 36.49320680521745,127.24532438293109 36.493213403242954,127.24620063426225 36.491490388515096,127.24630954185383 36.49151945135163,127.24543891564196 36.49325597264934,127.24551462758575 36.493375220165525,127.2466926388476 36.493546263051456,127.24861822108858 36.49365040504792,127.24902001732163 36.49365182003599,127.24900373766874 36.49379603908828,127.24664560551267 36.49367252223789,127.24549827038334 36.49349690999616,127.24547324392682 36.493523996191854,127.24540365245637 36.49357595586306,127.24531724152874 36.49360316826359,127.24524189900964 36.49360107025526,127.24514974428979 36.493576477822884,127.24509104361961 36.49354280503597,127.24506302097491 36.49350456342972,127.24503775306908 36.493455051698625,127.24502924055025 36.49341001133788,127.24401012014609 36.49318906354652,127.24152747599246 36.49249571823952,127.2414827774564 36.49247778557118))",C0103
37034,20201126,30,30,0,새움초등학교,세종특별자치시,0,2 ,세종특별자치시 다정남로 91 (다정동) 새움초등학교,세종특별자치시 다정동 928 새움유치원 새움초등학교, ,36110,세종특별자치시,127.25139621652616,36.49407644536403,건설교통국,0449023200,1,"POLYGON((127.24899850844086 36.49608878896731,127.24901997963096 36.495822903020844,127.2495081990234 36.495797101245394,127.25166995016944 36.4955717776568,127.25187634259096 36.495544307436525,127.25243959666454 36.4954259667126,127.25251283104991 36.49563758349251,127.25200814946554 36.49574904218709,127.25169856732583 36.495792500602775,127.2513554723607 36.495827017258094,127.24955613974319 36.49595470334984,127.2491682613835 36.49594650245073,127.24899850844086 36.49608878896731))",C0103
37035,20201126,30,30,6,새움초등학교,세종특별자치시,5~20,1 ,세종특별자치시 다정남로 91 (다정동) 새움초등학교,세종특별자치시 다정동 928 새움유치원 새움초등학교, ,36110,세종특별자치시,127.25139621652616,36.49407644536403,건설교통국,0449023200,1,"POLYGON((127.2491724940888 36.49378371788591,127.24918323632608 36.493653027726616,127.2495319753799 36.49364103443494,127.24987503983763 36.493599764414604,127.25039374860641 36.49351531998746,127.25083702657577 36.493401744314276,127.251575742576 36.4931884171893,127.25221121796679 36.49297530376585,127.25253178840556 36.492882257140664,127.25278551113539 36.492825397569206,127.25408221946456 36.492601859880615,127.25410217007862 36.492730232236156,127.25279988664047 36.492956034844745,127.2524541607409 36.493035618065434,127.25184934111253 36.49323740361735,127.25127515223883 36.49342109846385,127.25060884050538 36.493591466725356,127.25012089613409 36.49369837651715,127.24976389482133 36.49374418220285,127.24967463719521 36.493753380580934,127.24947659043816 36.493771817977006,127.2491724940888 36.49378371788591))",C0103
37040,20201126,30,30,4,아름초등학교,세종특별자치시,20,1 ,세종특별자치시 달빛로 174 (아름동) 아름초등학교,세종특별자치시 아름동 1275 아름초등학교 아름초등학교, ,36110,세종특별자치시,127.25172494921026,36.51455745195069,건설교통국교통과,0449981845,1,"POLYGON((127.25045081971105 36.51324219662052,127.25068817654378 36.51414735749714,127.25093663010657 36.51502996557496,127.25117029296888 36.51564875832086,127.25129414544995 36.515972912677945,127.25114933365035 36.51607234452028,127.25101706183665 36.51573720178047,127.25080304164159 36.5151473964693,127.2505939529178 36.51435482079885,127.25041899820425 36.51376042680939,127.25030019793194 36.513269547369056,127.25045081971105 36.51324219662052))",C0103
