SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51601,20240715,30,30,0,산들바람어린이집,전라남도,6~7,2 ,전라남도 무안군 삼향읍 오룡동길 65-1  산들바람어린이집,전라남도 무안군 삼향읍 남악리 40-1 산들바람어린이집,전남지방경찰청 무안,46840,무안군,126.48217709985805,34.81898621529672,전라남도 무안군,0612853285,1,"POLYGON((126.4819312768089 34.818969394408036,126.48189879763098 34.818919679252495,126.48201368799488 34.81889988697377,126.48210433872921 34.81882365407263,126.48230679446358 34.81878395275737,126.48242212146661 34.81869430364291,126.48251334935847 34.818525679640445,126.4822465280381 34.81837130696118,126.48181574726573 34.8182184890354,126.48169551994933 34.81821797695495,126.4814846844492 34.81828693697096,126.48097330811005 34.81835010798407,126.4803029680569 34.818489216760334,126.48007900648653 34.81847248550954,126.47994535734685 34.818433604954805,126.4799811906675 34.81838418124859,126.4800575575081 34.81840704254169,126.48033611119672 34.81843302097799,126.48092992825298 34.818295839081635,126.48152608049925 34.818221762052744,126.48168760491102 34.81817287336152,126.48185159349109 34.818166811332084,126.48228512060386 34.81831738732293,126.48254899801769 34.81850554980648,126.48281628509348 34.81858555850681,126.48277498846006 34.81863495982984,126.48255682901303 34.81856417394927,126.4825234195832 34.818663185591504,126.4824628546165 34.81873503979505,126.48233109055386 34.81883137949701,126.48214228291603 34.81887339243437,126.48204629417557 34.81892932119713,126.4819312768089 34.818969394408036))",C0103
51611,20240715,30,30,5,행복초등학교,전라남도,25~28,1 ,전라남도 무안군 일로읍 오룡중앙동로 38  행복초등학교,전라남도 무안군 일로읍 오룡리 19 행복초등학교 행복초등학교,전남지방경찰청 무안,46840,무안군,126.48539760857412,34.806215656663724,전라남도 무안군,0612885800,1,"POLYGON((126.48531330841593 34.807909930951475,126.48525984335684 34.80772041096937,126.48531183720169 34.807707109897876,126.48547607093555 34.80765822744828,126.48642757382714 34.8071033791852,126.4863786761013 34.80705810284346,126.48657619588371 34.80692823343053,126.486622305678 34.80698251192707,126.48674294985287 34.80691316236685,126.48688130765544 34.80707149073828,126.48676063542216 34.80714534731212,126.48680137908514 34.80718382861828,126.48660115490406 34.80730917998379,126.48655776304817 34.80725716644741,126.4855678838492 34.80783213496906,126.48531330841593 34.807909930951475))",C0103
51610,20240715,30,30,5,행복초등학교,전라남도,26~29,1 ,전라남도 무안군 일로읍 오룡중앙동로 38  행복초등학교,전라남도 무안군 일로읍 오룡리 19 행복초등학교 행복초등학교,전남지방경찰청 무안,46840,무안군,126.48539760857412,34.806215656663724,전라남도 무안군,0612885800,1,"POLYGON((126.4849162255847 34.805422642014506,126.4851082095976 34.80530401900679,126.48656521170905 34.806937201081816,126.48637597198963 34.80705358443321,126.4849162255847 34.805422642014506))",C0103
51609,20240715,30,30,0,오룡초등학교,전라남도,20~23,1 ,전라남도 무안군 삼향읍 남악5로22번길 34  오룡초등학교,전라남도 무안군 삼향읍 남악리 2534 오룡초등학교 오룡초등학교,전남지방경찰청 무안,46840,무안군,126.47421889032942,34.80767518664463,전라남도 무안군,0612816182,1,"POLYGON((126.47633338414688 34.80770683918618,126.47641207317085 34.80779281066671,126.47508476822448 34.808571309403845,126.47501434765763 34.808474105267464,126.47633338414688 34.80770683918618))",C0103
51608,20240715,30,30,7,오룡초등학교,전라남도,20~27,1 ,전라남도 무안군 삼향읍 남악5로22번길 34  오룡초등학교,전라남도 무안군 삼향읍 남악리 2534 오룡초등학교 오룡초등학교,전남지방경찰청 무안,46840,무안군,126.47421889032942,34.80767518664463,전라남도 무안군,0612816182,1,"POLYGON((126.47112093423152 34.80762570615045,126.47112491875534 34.80742966927704,126.47265217944984 34.807431790237395,126.47351538751187 34.80745580935042,126.47387021423965 34.80751142787801,126.47421339753032 34.80767966990572,126.47497345169101 34.80846040785031,126.47501158696211 34.80847860035058,126.47509024674827 34.80856907953911,126.47509276453995 34.80860289284797,126.4752517169359 34.80895737733636,126.47528337411015 34.80913554006117,126.47526026001279 34.809333748069704,126.47531291755392 34.809647211105144,126.47508577732013 34.80970482242192,126.47503287766882 34.80942966768666,126.47505119968402 34.80912552472708,126.47491976918329 34.808739609796504,126.4748791161049 34.808687603955505,126.47482975207687 34.808716686381175,126.47474565679661 34.80862167657271,126.47480600645443 34.80858362760739,126.47407036980763 34.80783003612661,126.47389337092784 34.807736877669235,126.47347315943308 34.80765168086322,126.47112093423152 34.80762570615045))",C0103
51607,20240715,30,30,1,남악초등학교,전라남도,16~17,1 ,전라남도 무안군 삼향읍 남악영산길 6  남악초등학교,전라남도 무안군 삼향읍 남악리 1587 남악초등학교 남악초등학교,전남지방경찰청 무안,46840,무안군,126.4734780853866,34.812578828006075,전라남도 무안군,0612827965,1,"POLYGON((126.47532690824127 34.81316145502421,126.47500716128216 34.813171343384845,126.4738623691695 34.813161891855636,126.47367379964884 34.81316783684474,126.47353459727705 34.81314469971052,126.47336874618712 34.813015532836395,126.47332561786243 34.81292295288964,126.47330677882516 34.81287780145304,126.47331966439491 34.81214096439801,126.47324352033935 34.81208429742678,126.47351671496064 34.81208998673957,126.47344802208731 34.812150533876824,126.47343782690963 34.812894143076164,126.47349460232499 34.81298903552887,126.47359801269965 34.81305483427614,126.47378646735595 34.81306691686444,126.47508435079749 34.81306350863645,126.47532756532442 34.81305779709104,126.47532690824127 34.81316145502421))",C0103
51602,20240715,30,30,0,꿈자람어린이집,전라남도,15~16,2 ,전라남도 무안군 삼향읍 어진누리길 6-29  꿈자람어린이집,전라남도 무안군 삼향읍 남악리 1457 전라남도교육연구정보원 꿈자람어린이집,전남지방경찰청 무안,46840,무안군,126.46996845926083,34.81517416802086,전라남도 무안군,0612850725,1,"POLYGON((126.46941265240598 34.81492386138847,126.46941593369053 34.81483824294288,126.47088321965636 34.814840125210154,126.470871670879 34.81493697521958,126.46941265240598 34.81492386138847))",C0103
51604,20240715,30,30,0,친환경녹색어린이집,전라남도,9~14,1 ,전라남도 무안군 삼향읍 남악4로60번가길 45  친환경녹색어린이집,전라남도 무안군 삼향읍 남악리 1498 친환경녹색어린이집 친환경녹색어린이집,전남지방경찰청 무안,46840,무안군,126.46887691040777,34.811944363778466,전라남도 무안군,0612620707,1,"POLYGON((126.46879900630343 34.81173670222083,126.46879692484909 34.81163528587678,126.46883238581559 34.81164445465176,126.4688355373821 34.811579117063935,126.46895571143618 34.81158640205895,126.46895228527744 34.81169455485006,126.46914547790348 34.81181934002019,126.46943857907371 34.81212934709583,126.46961949843892 34.812037742521746,126.46968732774675 34.81211240346977,126.46948168818749 34.81222418182085,126.46941873120717 34.812241935279786,126.4693505553198 34.812221356540796,126.46905761315988 34.81188656151135,126.46889713486156 34.811773186465025,126.46879900630343 34.81173670222083))",C0103
51618,20240715,30,30,4,삼향초등학교,전라남도,12~15,1 ,전라남도 무안군 삼향읍 삼향중앙로 84  삼향초등학교,전라남도 무안군 삼향읍 유교리 900-1 삼향초등학교 삼향초등학교,전남지방경찰청 무안,46840,무안군,126.43310358654684,34.84306176519931,전라남도 무안군,0612821897,1,"POLYGON((126.43206715663237 34.843532414249665,126.43201307985835 34.843446529577264,126.43212549910186 34.843395224484574,126.4326486320189 34.84323992223339,126.43320678530412 34.843159145696355,126.43405683876888 34.84316085031866,126.43437718302594 34.843081215168745,126.43446126604107 34.84317625223723,126.43410810713267 34.84325798842238,126.43311584670958 34.84326688886621,126.43261232662235 34.84335242679595,126.43220423712474 34.84347221031828,126.43206715663237 34.843532414249665))",C0103
51617,20240715,30,30,3,삼향북초등학교,전라남도,7~10,1 ,전라남도 무안군 삼향읍 원지산길 66  삼향북초등학교,전라남도 무안군 삼향읍 지산리 792-2 삼향북초등학교 삼향북초등학교,전남지방경찰청 무안,46840,무안군,126.41988186805138,34.878989016240986,전라남도 무안군,0612812363,1,"POLYGON((126.41905377422833 34.87931181430265,126.4191084945455 34.879307568837696,126.41911693564147 34.879273807221466,126.41914412140467 34.87929647173892,126.41984164343322 34.8788761511338,126.41995413444072 34.87882260475119,126.42001976039373 34.87882291783014,126.42025027112841 34.87909668630812,126.42031844187753 34.879124052921995,126.42039222389275 34.879131165078576,126.42219852486464 34.87813246460402,126.42213348294874 34.8780487773127,126.42041223486913 34.87900731999031,126.42036835757818 34.87902513851899,126.42032184077009 34.87902942366645,126.42010493873782 34.87876473408468,126.4200368474973 34.87872610041338,126.41990829849382 34.8787299940625,126.41982599696891 34.878767910227516,126.41909000356306 34.8792150884999,126.41905132519605 34.87927124026432,126.41905377422833 34.87931181430265))",C0103
