SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51209,20240315,30,0,0,남원사랑노인재가 복지센터,전라북도,0,2 ,전북특별자치도 남원시 광천북길 231-11 (왕정동) 남원사랑노인재가복지센터,전북특별자치도 남원시 왕정동 236-6 남원사랑노인재가복지센터,전북지방경찰청 남원,45190,남원시,127.37074586602276,35.41157280241452,교통과,0636259236,2,"POLYGON((127.37038605744011 35.4117383964701,127.37038294420996 35.4116595408828,127.37165446026961 35.41163760869869,127.37132445701356 35.41110008748264,127.37119757347047 35.410440263578835,127.37131861428237 35.41042637178913,127.37144279812543 35.41109747031524,127.3715926150171 35.41135613779552,127.37181965466874 35.411648366716086,127.37207668222874 35.41187741071283,127.37199440059881 35.41194075626198,127.37175673286123 35.41173193211057,127.37038605744011 35.4117383964701))",C0103
51211,20240315,30,0,0,보은의집,전라북도,0,2 ,전북특별자치도 남원시 문오로 439 (어현동) 보은의집,전북특별자치도 남원시 어현동 657-17 보은의집 보은의집,전북지방경찰청 남원,45190,남원시,127.3844447041729,35.38028129194862,교통과,0636330911,2,"POLYGON((127.38560376345671 35.381593525535344,127.3856944401155 35.38156844981991,127.38567215049036 35.38150993518431,127.38461782573408 35.37965657685303,127.38452864061344 35.37941575758085,127.38441047456736 35.3794454264841,127.38449962730033 35.37967948604567,127.38560376345671 35.381593525535344))",C0103
51210,20240315,30,0,0,섬기는재가노인복지센터,전라북도,0,2 ,전북특별자치도 남원시 광천남길 400 (왕정동) 400,전북특별자치도 남원시 왕정동 118-3 ,전북지방경찰청 남원,45190,남원시,127.37192483853913,35.40878185802281,교통과,0636258188,2,"POLYGON((127.37313548867584 35.40870151222807,127.37315181539341 35.408660902561984,127.37252118130232 35.40858398400974,127.37173165124683 35.40866753491603,127.37139081612048 35.408166099570494,127.37133864721086 35.40819329945607,127.37166849371081 35.40869927534181,127.37181644452684 35.409151731375815,127.37184471263458 35.40931388125865,127.37188872870787 35.40930923916335,127.37187135583036 35.40912226955319,127.37174011500812 35.40871257467867,127.37253792305562 35.408633504765966,127.37313548867584 35.40870151222807))",C0103
51178,20240304,30,0,0,하서초등학교,전라북도,0,2 ,전북특별자치도 부안군 하서면 석불로 68  하서초등학교,전북특별자치도 부안군 하서면 장신리 72-1 장신초등학교 하서초등학교,전북지방경찰청 부안,45800,부안군,126.62630442544517,35.7169183010119,하서초등학교,0635848480,1,"POLYGON((126.62532541077978 35.71771288105073,126.62594975058637 35.71713801035079,126.62607207357951 35.71697616185671,126.62631153956569 35.716578093600425,126.62619016473109 35.71653715949833,126.62592832178986 35.7169937405226,126.6257451211013 35.71717567814337,126.62523177940794 35.71764724743165,126.62532541077978 35.71771288105073))",C0103
50867,20231123,30,30,1,큰인물유치원,전라북도,6,1 ,전라북도 완주군 삼례읍 웃삼례길 16  16,전라북도 완주군 삼례읍 삼례리 300-17 큰인물유치원 ,전북지방경찰청 완주,45710,완주군,127.0805886116247,35.91767114343333,전라북도 완주군,0622912239,1,"POLYGON((127.07964401617579 35.91759742091921,127.08024530877613 35.91782909138842,127.08078559672563 35.91799095334341,127.08085850300579 35.918865112672876,127.08091667085569 35.918865073486714,127.08085209188044 35.91800893350271,127.08149208154823 35.91815495329276,127.08175250291663 35.91820659789559,127.08175804034718 35.918204341010664,127.08177183870124 35.918154763094854,127.08177460857402 35.91815476120844,127.08135905151148 35.91808069072675,127.08076338052828 35.9179346404233,127.08030898598386 35.91779975832409,127.08056076456357 35.91752470966087,127.08052195924859 35.91749769831316,127.0802701624086 35.91775472199086,127.08022031859747 35.9177682739905,127.07966890418928 35.91755684834211,127.07964401617579 35.91759742091921))",C0103
50274,20230330,30,0,0,미원경로당,전라북도,0,2 ,전라북도 군산시 풍남길 60-1 (미원동) (미원동),전라북도 군산시 미원동 302 (미원동),전북지방경찰청 군산,45130,군산시,126.71667498827628,35.978942476545825,교통행정과,0634460680,2,"POLYGON((126.71570176226533 35.97901452628414,126.71743387200301 35.97912225971576,126.71743412097551 35.97905241470536,126.71570475240506 35.97895370010911,126.71570176226533 35.97901452628414))",C0103
50276,20230330,30,0,0,신시도초등학교,전라북도,0,2 ,전라북도 군산시 옥도면 신시도2길 18-5  신시도리 66,전라북도 군산시 옥도면 신시도리 66 신시도 초등학교 신시도리 66,전북지방경찰청 군산,45130,군산시,126.45043702736744,35.815221361318734,교통행정과,0634620031,1,"POLYGON((126.44978411920012 35.8148308377893,126.44979268191855 35.81479257392429,126.44987541784452 35.814829002524476,126.44999380309814 35.81491065660555,126.45014480774022 35.81507582525918,126.45039121589731 35.81544646396316,126.45045662598794 35.81558870962598,126.450401240254 35.8155974688934,126.45030849462428 35.81540778266412,126.45010584841938 35.815109443859974,126.44985036702577 35.81485141908912,126.44978411920012 35.8148308377893))",C0103
50273,20230330,30,0,0,미원경로당,전라북도,0,2 ,전라북도 군산시 풍남길 60-1 (미원동) (미원동),전라북도 군산시 미원동 302 (미원동),전북지방경찰청 군산,45130,군산시,126.71667498827628,35.978942476545825,교통행정과,0634460680,2,"POLYGON((126.7157010188478 35.97922180821828,126.71607245525578 35.979224940816984,126.71598514364709 35.979610011464914,126.71603504748994 35.979607876496715,126.71611123868284 35.97923179183591,126.71614728241425 35.97922962402647,126.71626903959502 35.979288492180515,126.71646560007439 35.97935880241639,126.71641742052886 35.97965384250034,126.71651718795839 35.97966083750605,126.71655705925697 35.979363524671776,126.71666516643158 35.97936378000381,126.71676226619742 35.97934147841881,126.71686495010188 35.97930792451397,126.71694264591076 35.979285576992964,126.71692578072313 35.9793508766313,126.71688574987094 35.97969325088548,126.71695225350572 35.979700167036995,126.71700346046998 35.97933303520052,126.71734428520949 35.97936988791435,126.7173774364974 35.97940150917639,126.71732353957172 35.979746103999524,126.71740111519624 35.97975755215353,126.71745227193608 35.97940393850828,126.71750337200321 35.97906609627243,126.71743412097551 35.97905241470536,126.71743109200095 35.979124506252624,126.71740284216372 35.97927314324649,126.71735281805859 35.97930907475619,126.71702027733068 35.979281253938986,126.717048656565 35.979096568002376,126.71698490126438 35.97909641763845,126.71695116296802 35.97922926999326,126.7167790671172 35.979294203321174,126.71655445646353 35.979316203767226,126.71641874242768 35.97928433992077,126.71623882208107 35.97921181587818,126.71616128750097 35.979189101652,126.7161225202277 35.97917774452018,126.71612856441837 35.979038067632,126.71607589703918 35.979037943017055,126.71606986889604 35.97917311377306,126.71570952869884 35.979167754374544,126.7157010188478 35.97922180821828))",C0103
50275,20230330,30,0,0,영창경로당,전라북도,0,2 ,전라북도 군산시 임피면 탑천로 488  (영창리 833-3번지),전라북도 군산시 임피면 영창리 833-3 (영창리 833-3번지),전북지방경찰청 군산,45130,군산시,126.87674032213849,35.97219303806113,교통행정과,0634539942,2,"POLYGON((126.8766621627301 35.972546693387365,126.87675643086111 35.97252876549815,126.87635362903677 35.971325199253705,126.87627042805643 35.97135665680473,126.8766621627301 35.972546693387365))",C0103
49633,20220728,30,0,0,에덴어린이집,전라북도,0,2 ,전라북도 전주시 완산구 장승배기로 302-3 (서서학동) 에덴어린이집,전라북도 전주시 완산구 서서학동 332-1 에덴어린이집 ,전북지방경찰청 전주완산,45111,전주시 완산구,127.14526662569196,35.79977059203672,교통안전과,0632881395,1,"POLYGON((127.14486309799783 35.79992091387555,127.14485148280347 35.79961675161397,127.14487913617378 35.799614465137665,127.14489628298634 35.799918620730345,127.14486309799783 35.79992091387555))",C0103
