SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51454,20240607,30,30,0,온의유치원,강원도,19,1 ,강원특별자치도 춘천시 스포츠타운길 495 (온의동) 온의유치원,강원특별자치도 춘천시 온의동 592 온의유치원,강원지방경찰청 춘천,42110,춘천시,127.7116096587115,37.86733817364041,교통과,0338180062,1,"POLYGON((127.71223326502066 37.86689269509374,127.71244569995005 37.86698901079318,127.71232848727244 37.86711034483714,127.71259138108626 37.867201349844166,127.71300688053677 37.86740404674993,127.7129351935091 37.86749957930439,127.71267176795365 37.867353521277536,127.71223761857988 37.86718096711284,127.71218713634634 37.867183775087256,127.71213409929693 37.86724916323828,127.71205494182212 37.867224616085586,127.71208291826095 37.86717940025708,127.71182349467169 37.86712090683814,127.71164973432417 37.867106941654754,127.71142864806124 37.86709576485897,127.71120464581226 37.867109631107006,127.7104762515575 37.867196614345225,127.71043661772521 37.867014164308884,127.7108527187216 37.86695159069688,127.71118703459032 37.866919540569334,127.71151836237921 37.86690502580786,127.71169205002111 37.86691148376361,127.71201135269192 37.86695960505214,127.71213164267783 37.86699391391548,127.71223326502066 37.86689269509374))",C0103
51296,20240501,30,0,0,메이플밸리부영사랑으로어린이집,강원도,0,2 ,"강원특별자치도 원주시 봉화서부로 26 (단계동, 메이플밸리부영) 관리동",강원특별자치도 원주시 단계동 1168-1 메이플밸리부영 관리동,강원지방경찰청 원주,42130,원주시,127.91930264889648,37.35729865397755,교통행정과,0337373514,1,"POLYGON((127.91784291400253 37.357458654930866,127.91781365653237 37.35737328723541,127.9186917465453 37.35718401837402,127.91862161455003 37.356986343706104,127.91874543125556 37.356958352107824,127.9188099205264 37.35715607053482,127.9198228877237 37.356920695630386,127.9198551337056 37.357019554537814,127.91784291400253 37.357458654930866))",C0103
51122,20240206,30,30,1,비봉경로당,강원도,10,1 ,강원특별자치도 춘천시 후만로 5-1 (효자동) 비봉경로당,강원특별자치도 춘천시 효자동 634-6 비봉경로당,강원지방경찰청 춘천,42110,춘천시,127.74655865945178,37.87280237061722,교통과,0332578828,2,"POLYGON((127.7482354427234 37.87411874433429,127.74829779673824 37.87404076793339,127.74722559940946 37.87353705109688,127.74711096522272 37.8734401778611,127.74695112395978 37.87324348805682,127.74681850831657 37.872929003829,127.7466168719424 37.87234467821829,127.74649405774012 37.87237548796373,127.74670513855757 37.872957251362344,127.74681517554761 37.87322432979183,127.74689228005458 37.87335647762155,127.74701370760037 37.87350085698408,127.74714738435037 37.87360761982769,127.7482354427234 37.87411874433429))",C0103
51121,20240206,30,30,0,군자1리경로당,강원도,12,2 ,강원특별자치도 춘천시 동산면 종자리로 123  군자1리경로당,강원특별자치도 춘천시 동산면 군자리 987-8 군자1리경로당,강원지방경찰청 춘천,42110,춘천시,127.72206583696835,37.74873092130582,교통과,03312345678,2,"POLYGON((127.72098836436739 37.74812687355273,127.72104109139688 37.748038958562866,127.72238625541647 37.74862134445643,127.7226803528096 37.74872214966911,127.72262442687689 37.748805079628305,127.72227347861597 37.74869210945541,127.72098836436739 37.74812687355273))",C0103
51123,20240206,30,30,0,조양2리경로당,강원도,0,1 ,강원특별자치도 춘천시 동산면 조양길 191  조양2리경로당,강원특별자치도 춘천시 동산면 조양리 472-3 조양2리경로당,강원지방경찰청 춘천,42110,춘천시,127.79586075224263,37.74504655709283,교통과,03312345678,2,"POLYGON((127.79586150126644 37.746323143386135,127.79598147103776 37.746342354249535,127.79606337044767 37.74604398824716,127.79608662519607 37.74586113924778,127.79609543608483 37.74580101659053,127.79609396172212 37.745663382006676,127.79605224613135 37.74500547223732,127.79598704713149 37.744803199518145,127.79597310162174 37.74467816224953,127.79597338885891 37.744646126635296,127.79603982457053 37.74437539398085,127.7959292852298 37.74435361683558,127.79584410155401 37.74463949184715,127.79585516367494 37.744789574906164,127.79589106174296 37.744904453470404,127.79593967259603 37.74502925671927,127.7959819232642 37.74573721554995,127.79594406361043 37.746027776199305,127.79586150126644 37.746323143386135))",C0103
51155,20240206,30,30,0,춘천노인대학,강원도,15,1 ,강원특별자치도 춘천시 중앙로 131 (중앙로3가) 춘천시보건소별관 춘천노인대학,강원특별자치도 춘천시 중앙로3가 67 춘천시보건소 춘천시보건소별관 춘천노인대학,강원지방경찰청 춘천,42110,춘천시,127.7208176976639,37.87577025316162,교통과,0332535654,2,"POLYGON((127.71998480283499 37.87591371922674,127.72005898806098 37.875750597422645,127.72250072261394 37.87652144949791,127.7223950695079 37.87669477626907,127.71998480283499 37.87591371922674))",C0103
51051,20240104,50,50,0,사랑어린이집,강원도,0,2 ,강원특별자치도 홍천군 홍천읍 결운로 182-5  .,강원특별자치도 홍천군 홍천읍 결운리 299-2 .,강원지방경찰청 홍천,42720,홍천군,127.91370902246865,37.70829355335078,건설과,0334032878,1,"POLYGON((127.91294555113352 37.70868687413439,127.91306772338528 37.708708451659085,127.91319291603465 37.708052044458135,127.9130623234385 37.70803728935533,127.91294555113352 37.70868687413439))",C0103
51052,20240104,30,30,0,화랑리버빌어린이집,강원도,6~8,2 ,강원특별자치도 홍천군 홍천읍 송학로5길 18  .,강원특별자치도 홍천군 홍천읍 연봉리 279-1 .,강원지방경찰청 홍천,42720,홍천군,127.87432452581473,37.68632749506591,건설과,0324302878,1,"POLYGON((127.87550218303902 37.68669265216422,127.87399597654634 37.68610469287162,127.87392192362037 37.686073708414625,127.87387258358851 37.68597496945878,127.87390844719621 37.68589136572456,127.87396944625473 37.68577604241125,127.87395744976044 37.68571982188569,127.87381202017181 37.6856443187726,127.87277621597933 37.6852893566988,127.8728516498944 37.685196450888114,127.87402146755808 37.68562024281279,127.87406453172882 37.68566722354982,127.8740971588821 37.68579086246479,127.87400276047714 37.68595823806879,127.87402884753419 37.68600759701919,127.87553788627584 37.68659553488147,127.87550218303902 37.68669265216422))",C0103
51034,20240102,30,0,0,속초초등학교,강원도,0,2 ,강원특별자치도 속초시 수복로 117 (청학동) 속초초등학교,강원특별자치도 속초시 청학동 632-2 속초초등학교 속초초등학교,강원지방경찰청 속초,42210,속초시,128.5813625925161,38.202481423775225,강원도 속초시,0336388872,1,"POLYGON((128.57949924615147 38.20156966328311,128.57966199939705 38.20144135865302,128.58275855438447 38.20394895568575,128.58257887731872 38.20408650091599,128.57949924615147 38.20156966328311))",C0103
51035,20240102,30,0,0,속초초등학교,강원도,0,2 ,강원특별자치도 속초시 수복로 117 (청학동) 속초초등학교,강원특별자치도 속초시 청학동 632-2 속초초등학교 속초초등학교,강원지방경찰청 속초,42210,속초시,128.5813625925161,38.202481423775225,강원도 속초시,0336388872,1,"POLYGON((128.58004507564155 38.20067951611912,128.58017958770725 38.20056510319228,128.58066649203008 38.20090986603768,128.58114623372333 38.2011871620083,128.58128444668387 38.201243853223026,128.58190372762473 38.201375135393846,128.58333137870764 38.201671172007565,128.58327192750824 38.2018251128028,128.5824516581666 38.20163799467725,128.5820907093891 38.20157529908922,128.58171834893184 38.20151275616364,128.58129985297077 38.20142831316851,128.5811447160941 38.201380858124246,128.5808797022913 38.201267321503416,128.58004507564155 38.20067951611912))",C0103
