SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
50826,20231113,30,0,0,대신경로당,울산광역시,0,2 ,울산광역시 울주군 범서읍 새터길 5-2  1층,울산광역시 울주군 범서읍 두산리 232 1층,울산지방경찰청 울산울주,31710,울주군,129.2882837988955,35.64270102278338,교통정책과,0522042543,2,"POLYGON((129.28764016960915 35.6419045579429,129.28792560880353 35.642140165903726,129.2879640266143 35.64203581444881,129.28802797680976 35.642052620171555,129.28798231531337 35.64229001493592,129.28803330995166 35.642336351160935,129.28802099634106 35.642388395851796,129.28797891818076 35.64236441654148,129.287709742525 35.64337646095001,129.28760435480487 35.64335818984962,129.2876152562429 35.64325661400924,129.28787051378728 35.642240329007414,129.28761810745456 35.64200184060075,129.28764016960915 35.6419045579429))",C0103
50784,20231018,30,0,0,천전리회관,울산광역시,0,2 ,울산광역시 울주군 상북면 천전길 7-6  천전마을회관,울산광역시 울주군 상북면 천전리 181-1 천전마을회관,울산지방경찰청 울산울주,31710,울주군,129.1004093065018,35.5702638185638,교통정책과,0522042543,2,"POLYGON((129.10102974915048 35.5701606393709,129.10068467045446 35.57025000744916,129.09972110531123 35.57083449507574,129.0995354072314 35.5710089399366,129.099633160989 35.5710567972276,129.09978103890427 35.570912297046405,129.10072842136535 35.57034160757114,129.10078236509494 35.570295612094306,129.1008499122889 35.57024262117047,129.1010585441392 35.57020744509577,129.10102974915048 35.5701606393709))",C0103
50783,20231018,30,0,0,보은마을회관,울산광역시,0,2 ,울산광역시 울주군 삼동면 보은로 130  1층,울산광역시 울주군 삼동면 보은리 510-1 보은리마을회관 1층,울산지방경찰청 울산울주,31710,울주군,129.13139640793608,35.51504676809825,교통정책과,0522042543,2,"POLYGON((129.13055506497625 35.515322956871636,129.13124003783287 35.51496843287753,129.13171876382592 35.5141084287536,129.13173627014424 35.51393690982684,129.13258396371708 35.51348488582334,129.13262466427167 35.51356526517832,129.13187504259855 35.5139750059726,129.13183502801326 35.51412890081699,129.13147343217523 35.514833647534665,129.13125379279796 35.51507181651138,129.13062259092288 35.515375829834134,129.13055506497625 35.515322956871636))",C0103
50482,20230607,30,0,0,성안경로당,울산광역시,0,2 ,울산광역시 중구 성안2길 31 (성안동) ,울산광역시 중구 성안동 512-13 성안경로당 울산광역시 중구 성안동 512-13 성안경로당,울산지방경찰청 울산중부,31110,중구,129.31813352853106,35.5731832603939,교통과,0522448286,2,"POLYGON((129.31711437566153 35.57302715842521,129.31723024410113 35.57302943532209,129.31736815800616 35.573031288093034,129.31753901034583 35.573028001846396,129.31780381539357 35.57303191857093,129.31817320654883 35.57302931719037,129.31848249188002 35.57304589245611,129.31891289743476 35.57305563055058,129.31912861960427 35.573078510169736,129.31849377422733 35.57305468592476,129.31711437566153 35.57302715842521))",C0103
50483,20230607,30,0,0,성안경로당,울산광역시,0,2 ,울산광역시 중구 성안2길 31 (성안동) ,울산광역시 중구 성안동 512-13 성안경로당 울산광역시 중구 성안동 512-13 성안경로당,울산지방경찰청 울산중부,31110,중구,129.31813352853106,35.5731832603939,교통과,0522448286,2,"POLYGON((129.3171843056459 35.573061855850405,129.31909869664398 35.57309260199453,129.31908034474057 35.57302988121518,129.31714378003366 35.57299505590534,129.3171843056459 35.573061855850405))",C0103
50236,20230315,30,0,0,장성경로당 ,울산광역시,4~5,1 ,울산광역시 울주군 상북면 석남로 899-5  ,울산광역시 울주군 상북면 궁근정리 455-2 장성경로당,울산지방경찰청 울산울주,31710,울주군,129.07445929327207,35.612436764493054,교통정책과,0522042543,2,"POLYGON((129.07417512750283 35.61179511902698,129.07486424750286 35.61262803103403,129.07497633911058 35.61301582577704,129.07501514254474 35.61344993804992,129.0750769715371 35.6134939278119,129.07514592183333 35.61370675109488,129.07518417808984 35.61369257544534,129.07510982903435 35.61348435070271,129.07506215974792 35.61334775424628,129.0750538169903 35.61313163396462,129.074998678171 35.612812693385585,129.07489834964895 35.612559861032814,129.07419602415075 35.61174970413774,129.07417512750283 35.61179511902698))",C0103
50141,20230125,30,0,0,중리마을회관,울산광역시,0,2 ,울산광역시 울주군 두서면 구량중리1길 27-1  ,울산광역시 울주군 두서면 구량리 805 중리마을회관 중리마을회관,울산지방경찰청 울산울주,31710,울주군,129.1361155786619,35.62362504973298,노인장애인과,0522042543,2,"POLYGON((129.13628277877123 35.623894662636296,129.13631215549265 35.62385809800389,129.1366490223749 35.62386789049428,129.13662785917975 35.623902056758084,129.13628277877123 35.623894662636296))",C0103
50140,20230125,50,50,0,중리마을회관,울산광역시,4~5,1 ,울산광역시 울주군 두서면 구량중리1길 27-1  ,울산광역시 울주군 두서면 구량리 805 중리마을회관 중리마을회관,울산지방경찰청 울산울주,31710,울주군,129.1361155786619,35.62362504973298,노인장애인과,0522042543,2,"POLYGON((129.1362341575622 35.62393382136899,129.13619770740397 35.623911940790194,129.1363712098527 35.62369260193913,129.1364188707627 35.62372104173174,129.1362341575622 35.62393382136899))",C0103
50142,20230125,40,40,0,중리마을회관,울산광역시,5~6,1 ,울산광역시 울주군 두서면 구량중리1길 27-1  ,울산광역시 울주군 두서면 구량리 805 중리마을회관 중리마을회관,울산지방경찰청 울산울주,31710,울주군,129.1361155786619,35.62362504973298,노인장애인과,0522042543,2,"POLYGON((129.13619782246147 35.62422731927511,129.1366846336055 35.623858247769725,129.13706802482258 35.62343919720956,129.13714074533664 35.623476202867884,129.13675735434467 35.623895253650254,129.13627899643322 35.62427093364046,129.13619782246147 35.62422731927511))",C0103
50100,20230105,30,30,1,울주몬테소리어린이집,울산광역시,8~12,1 ,울산광역시 울주군 삼남읍 수남1길 32  울주몬테소리어린이집,울산광역시 울주군 삼남읍 교동리 962-4 울주몬테소리어린이집,울산지방경찰청 울산울주,31710,울주군,129.11452168670073,35.55241153633096,교통정책과,0522540808,1,"POLYGON((129.1121096587937 35.553147677132806,129.1120859612905 35.55308501534683,129.11468291711122 35.552462773592296,129.11472492332786 35.55259269613903,129.11465914958822 35.55260736669253,129.11470796808447 35.552786730245145,129.11462578028383 35.552806194283065,129.11457121460938 35.5526179205218,129.11408958256766 35.55275252373198,129.11413899134513 35.552954404692464,129.11399079247172 35.552979531698206,129.1139128841619 35.55274210650915,129.1121096587937 35.553147677132806))",C0103
