SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51563,20240704,30,30,0,새아기나라어린이집,인천광역시,7,1 ,인천광역시 부평구 원적로432번길 18 (산곡동) 새아기나라어린이집,인천광역시 부평구 산곡동 391-47 새아기나라어린이집,인천지방경찰청 인천부평,28237,부평구,126.71384744966758,37.50261894624773,교통행정과,0325030073,1,"POLYGON((126.71428635060921 37.50278177955676,126.71435301425511 37.50282494318601,126.71432911356649 37.50235185891795,126.71437796435515 37.502347881588314,126.7143757996369 37.50224139424946,126.71424212258782 37.50224721407078,126.71424435718043 37.502335272102165,126.71427543365633 37.50234157995561,126.71428635060921 37.50278177955676))",C0103
51564,20240704,30,0,0,새아기나라어린이집,인천광역시,0,2 ,인천광역시 부평구 원적로432번길 18 (산곡동) 새아기나라어린이집,인천광역시 부평구 산곡동 391-47 새아기나라어린이집,인천지방경찰청 인천부평,28237,부평구,126.71384744966758,37.50261894624773,교통행정과,0325030073,1,"POLYGON((126.71428637401846 37.5027756364314,126.71428637401846 37.5027756364314,126.71428124127384 37.502773576289584,126.71428637401846 37.5027756364314))",C0103
51533,20240620,30,0,0,연수노인주야간보호센터,인천광역시,0,2 ,인천광역시 연수구 벚꽃로 120 (연수동) 3층,인천광역시 연수구 연수동 592-4 3층,인천지방경찰청 인천연수,28185,연수구,126.67860795133747,37.41692234219549,교통안전과,0328181800,2,"POLYGON((126.67795308345758 37.4175062198666,126.6777452298764 37.417242106589335,126.67781882004046 37.41720401402293,126.67802105452529 37.41746135425695,126.67795308345758 37.4175062198666))",C0103
51534,20240620,30,0,0,연수노인주야간보호센터,인천광역시,0,2 ,인천광역시 연수구 벚꽃로 120 (연수동) 3층,인천광역시 연수구 연수동 592-4 3층,인천지방경찰청 인천연수,28185,연수구,126.67860795133747,37.41692234219549,교통안전과,0328181800,2,"POLYGON((126.67909689991075 37.41683356889536,126.67876497804667 37.41652406978585,126.67885843154743 37.41646350515728,126.67919882572652 37.41677302699796,126.67909689991075 37.41683356889536))",C0103
51531,20240620,30,0,0,연수노인주야간보호센터,인천광역시,0,2 ,인천광역시 연수구 벚꽃로 120 (연수동) 3층,인천광역시 연수구 연수동 592-4 3층,인천지방경찰청 인천연수,28185,연수구,126.67860795133747,37.41692234219549,교통안전과,0328181800,2,"POLYGON((126.67723119037004 37.41791196042011,126.6791902862773 37.416788771590106,126.67960892921514 37.41662997669178,126.67971553365611 37.41679695334754,126.67924315579837 37.416973623140215,126.67737182561275 37.41804524399468,126.67723119037004 37.41791196042011))",C0103
51532,20240620,30,0,0,연수노인주야간보호센터,인천광역시,0,2 ,인천광역시 연수구 벚꽃로 120 (연수동) 3층,인천광역시 연수구 연수동 592-4 3층,인천지방경찰청 인천연수,28185,연수구,126.67860795133747,37.41692234219549,교통안전과,0328181800,2,"POLYGON((126.67767287088583 37.41765187114267,126.67746216482668 37.41739450721052,126.67754707094154 37.41735194061188,126.67774930488717 37.41760928130183,126.67767287088583 37.41765187114267))",C0103
51500,20240613,30,0,0,구립서운산단어린이집,인천광역시,0,2 ,인천광역시 계양구 서운산단로5길 3 (서운동) 구립서운산단어린이집,인천광역시 계양구 서운동 214-3 구립 서운산단어린이집 구립서운산단어린이집,인천지방경찰청 인천계양,28245,계양구,126.75561364989791,37.53436906088786,교통행정과,0325413900,1,"POLYGON((126.75535276459806 37.53457124543202,126.75534743132428 37.53447212452547,126.75595273366282 37.53447337695901,126.75595546411111 37.53363545372673,126.75619304210836 37.53364044943751,126.75618702908646 37.53548748439209,126.75594381748574 37.53547346703411,126.75594665089635 37.53460400920239,126.75535276459806 37.53457124543202))",C0103
51499,20240613,30,0,0,구립은행나무어린이집,인천광역시,0,2 ,인천광역시 계양구 어사대로 4 (계산동) 은행나무어린이집,인천광역시 계양구 계산동 944-12 구립은행나무어린이집 ,인천지방경찰청 인천계양,28245,계양구,126.72443713922146,37.54294775219441,교통행정과,0325411004,1,"POLYGON((126.72466791034888 37.543272649353035,126.72456748593667 37.542119139138286,126.72461584889334 37.542044919682525,126.72472449545236 37.54327052878396,126.72466791034888 37.543272649353035))",C0103
51439,20240530,30,0,0,검단꿈유치원,인천광역시,0,2 ,인천광역시 서구 이음1로 350 (원당동) 검담꿈유치원,인천광역시 서구 원당동 1065-4 검담꿈유치원,인천지방경찰청 인천서부,28260,서구,126.71895938249754,37.59186533981094,교통정책과,0325603042,1,"POLYGON((126.71845087524922 37.59234615717062,126.7185555685904 37.592357669221194,126.7187298185017 37.59118679852143,126.71861099895455 37.59116849552969,126.71845087524922 37.59234615717062))",C0103
51440,20240530,30,0,0,인천유아교육진흥원,인천광역시,0,2 ,인천광역시 서구 서곶로 670 (백석동) 유아교육진흥원,인천광역시 서구 백석동 28-3 유아교육진흥원,인천지방경찰청 인천서부,28260,서구,126.67614775330256,37.5775132481542,교통정책과,03211111111,1,"POLYGON((126.67545268682088 37.5772477995216,126.67545227621673 37.57734240240161,126.67625416271896 37.57646839090487,126.6761098089322 37.576472499882684,126.67570632523677 37.57684305080243,126.67546293682439 37.576842381931726,126.67547345562303 37.57702711392581,126.67560647054825 37.57702747952327,126.67545268682088 37.5772477995216))",C0103
