SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51342,20240517,30,0,0,보물섬학교,제주특별자치도,0,2 ,제주특별자치도 제주시 아연로 361 (오등동) 하귀2리 경로당,제주특별자치도 제주시 오등동 1555-3 하귀2리 경로당,제주지방경찰청 제주동부,50110,제주시,126.5220429921078,33.47030737846612,교통정보센터,0647111111,1,"POLYGON((126.52225443417908 33.47098439093438,126.52236800114835 33.47098232414131,126.52231793632829 33.470303429472345,126.52222221103881 33.46977712936398,126.52209060621902 33.46979916195896,126.52220448019071 33.47028546118432,126.52225443417908 33.47098439093438))",C0103
51345,20240517,30,0,0,광평3리 경로당,제주특별자치도,0,2 ,제주특별자치도 제주시 애월읍 광령자종길 1  하귀2리 경로당,제주특별자치도 제주시 애월읍 광령리 3798-9 하귀2리 경로당,제주지방경찰청 제주서부,50110,제주시,126.42327367057051,33.46404805432991,교통정보센터,0637111111,2,"POLYGON((126.42174782631044 33.46478976835067,126.42183997156607 33.464862826345296,126.42202607460021 33.46473596872921,126.4224580716279 33.46447752228469,126.42285417736232 33.46422391614425,126.42322660943042 33.463935136569326,126.42353036600942 33.46363852323113,126.42366883905063 33.463483892949114,126.42378149721004 33.46316635510428,126.4237819280246 33.463101242084484,126.4236841996761 33.4625172576229,126.42357031120714 33.462569320939146,126.423674130568 33.463135803000085,126.42354933791728 33.46348083290472,126.42326053876023 33.46377501145888,126.42292109141914 33.464046413765644,126.42240184863725 33.46439461447559,126.42174782631044 33.46478976835067))",C0103
51344,20240517,30,0,0,탐라장애인복지관,제주특별자치도,0,2 ,제주특별자치도 제주시 광양4길 32 (이도일동) 하귀2리 경로당,제주특별자치도 제주시 이도일동 1660 탐라장애인종합복지관 하귀2리 경로당,제주지방경찰청 제주동부,50110,제주시,126.5251119943559,33.501414976872184,교통정보센터,0647111111,3,"POLYGON((126.52451880934048 33.50110465792311,126.52457856762182 33.501109896094164,126.52456843139002 33.50077676904191,126.52483825925528 33.50063254757876,126.52479660114824 33.50059732593031,126.5245657295426 33.50072416584924,126.52450567028342 33.50077402370436,126.52451880934048 33.50110465792311))",C0103
51343,20240517,30,0,0,탐라장애인복지관,제주특별자치도,0,2 ,제주특별자치도 제주시 광양4길 32 (이도일동) 하귀2리 경로당,제주특별자치도 제주시 이도일동 1660 탐라장애인종합복지관 하귀2리 경로당,제주지방경찰청 제주동부,50110,제주시,126.5251119943559,33.501414976872184,교통정보센터,0647111111,3,"POLYGON((126.52526550089364 33.501222724647334,126.52457828011056 33.50116248781303,126.5245785402397 33.50111490484897,126.52526274409337 33.50118013884337,126.52526550089364 33.501222724647334))",C0103
50816,20231108,30,0,0, 서귀포시 장애인 종합복지관,제주특별자치도,0,2 ,제주특별자치도 서귀포시 인정오름로 24 (토평동) 하귀2리 경로당,제주특별자치도 서귀포시 토평동 1919-3 서귀포장애인종합복지관 하귀2리 경로당,제주지방경찰청 서귀포,50130,서귀포시,126.58459079730804,33.286918506144794,교통정보센터,0647111111,3,"POLYGON((126.58478239290773 33.286509157034175,126.5847679338063 33.286413937084646,126.58373873926514 33.28649815270359,126.58375913760702 33.28659840170387,126.58478239290773 33.286509157034175))",C0103
50815,20231108,30,0,0,수망리 경로당,제주특별자치도,0,2 ,제주특별자치도 서귀포시 남원읍 남조로 578-3  하귀2리 경로당,제주특별자치도 서귀포시 남원읍 수망리 309-5 수망리경로당 하귀2리 경로당,제주지방경찰청 서귀포,50130,서귀포시,126.71280407571318,33.32901954586791,교통정보센터,0647111111,2,"POLYGON((126.71233473869914 33.33021060809329,126.712439070544 33.33023839931696,126.71246036637194 33.330113223005924,126.71243537436813 33.329547145157235,126.71246262876016 33.32942448707704,126.71261084983888 33.328806215287415,126.71262354009235 33.32857582939896,126.71258594762148 33.328212587891336,126.71258051523455 33.32804978205981,126.71261078534098 33.327917112807704,126.7126977153565 33.32779208823384,126.71282364345122 33.327602036336124,126.71272839628509 33.327534194235525,126.71256343713392 33.327799291236055,126.71247332598602 33.32798441658859,126.71246422753681 33.3280294769122,126.7124752646399 33.32830249437904,126.71250065965498 33.32874585208163,126.71244901970702 33.32902623803989,126.71234320772636 33.32944925579744,126.71231894479398 33.32956941618895,126.71231543460621 33.32972969696654,126.71232670188088 33.3299325886056,126.71233473869914 33.33021060809329))",C0103
50814,20231108,30,0,0,난산리 경로당,제주특별자치도,0,2 ,제주특별자치도 서귀포시 성산읍 난산로 26  하귀2리 경로당,제주특별자치도 서귀포시 성산읍 난산리 324-1 하귀2리 경로당,제주지방경찰청 서귀포,50130,서귀포시,126.8722100282599,33.40104030115695,교통정보센터,0647111111,2,"POLYGON((126.87136474323214 33.40121724678836,126.87130514230407 33.40113704120584,126.87151134985915 33.40101703922061,126.87168765316332 33.4009270598568,126.87185798437066 33.40083707393607,126.87199539996556 33.40079463943681,126.8721148705634 33.400772222170794,126.87227911172573 33.40076237332003,126.87236273254899 33.400752441352196,126.87250310469638 33.400730045209514,126.87268529046403 33.40070017837813,126.87287340439407 33.400700371239765,126.87295401768887 33.400705462804495,126.87303163354649 33.40071806482491,126.87327638967001 33.40078092736476,126.87343457878295 33.40082616971145,126.87339563077316 33.40091629177769,126.87310312512702 33.40083584906984,126.87298373121513 33.400805673029666,126.87278967054358 33.40078794279333,126.872640351738 33.4008028166405,126.87243426716985 33.40084017227613,126.87237153668714 33.40085763921717,126.87230286008686 33.40085756856241,126.87211473481554 33.400864888398424,126.8719743625171 33.40088728410069,126.87182794470193 33.400959763300875,126.87177115297602 33.400999776520294,126.87136474323214 33.40121724678836))",C0103
50811,20231108,30,0,0,하귀2리 경로당,제주특별자치도,0,2 ,제주특별자치도 제주시 애월읍 하귀로23길 19  하귀2리 경로당,제주특별자치도 제주시 애월읍 하귀2리 1893-5 하귀2리 경로당,제주지방경찰청 제주서부,50110,제주시,126.40304131241857,33.478663621073295,교통정보센터,0647111111,2,"POLYGON((126.40285911980527 33.47864771690064,126.40291888884731 33.47864800484904,126.40286171627544 33.47739802776246,126.40280193090946 33.47740024420172,126.40285911980527 33.47864771690064))",C0103
50715,20230804,30,0,0,고내리 경로당,제주특별자치도,0,2 ,제주특별자치도 제주시 애월읍 고내로9길 22  제주특별자치도 제주시 애월읍 고내로9길 22,제주특별자치도 제주시 애월읍 고내리 1076 고내리사무소 제주특별자치도 제주시 애월읍 고내로9길 22,제주지방경찰청 제주서부,50110,제주시,126.33834868029486,33.46537254465211,교통정보센터,0647111111,2,"POLYGON((126.33719975092707 33.46635564678167,126.33724455179387 33.46635839072498,126.33733834605314 33.46581293200729,126.33739498424066 33.465830765574914,126.33745480089362 33.46582357205317,126.337613620582 33.46576431510576,126.33768554130904 33.4657371509201,126.3378267949706 33.4656302160812,126.33791409325063 33.465545532626834,126.33815564289665 33.46521624102586,126.33838432561807 33.46500709178096,126.33858029222559 33.46477773224561,126.33871029442928 33.46457807340429,126.33882136152171 33.46451104689526,126.33891415846395 33.46448900214941,126.33900392916007 33.46447195002336,126.33981136506127 33.46399039791717,126.33974894190432 33.46394749064793,126.33904025959127 33.46440953361793,126.33895933846871 33.46444165930061,126.33884279019897 33.464443542243544,126.33875888111795 33.464475651996146,126.33859936063675 33.464627569702756,126.3383878652625 33.46493448291452,126.33828262146233 33.46502157534031,126.33799054403103 33.465315535644336,126.33792086905845 33.465440383810595,126.33782434028744 33.46556007966839,126.33772204480277 33.465652196173544,126.33763796271171 33.46570684379737,126.33750907994327 33.46575874760306,126.33741616697438 33.46579581706392,126.3373446270971 33.46577289502514,126.33728492482454 33.46576506263334,126.33719975092707 33.46635564678167))",C0103
51347,20230804,30,0,0,고내리 경로당,제주특별자치도,0,2 ,제주특별자치도 제주시 애월읍 고내로9길 22  제주특별자치도 제주시 애월읍 고내로9길 22,제주특별자치도 제주시 애월읍 고내리 1076 고내리사무소 제주특별자치도 제주시 애월읍 고내로9길 22,제주지방경찰청 제주서부,50110,제주시,126.33834868029486,33.46537254465211,교통정보센터,0647111111,2,"POLYGON((126.33693308084086 33.46495720095014,126.33689775902734 33.46488688860939,126.33621312914659 33.46454262547672,126.33611207399407 33.464471961058756,126.33599477225707 33.46418082180116,126.33568480014372 33.46251122736041,126.33575643191267 33.46252162884356,126.33607801314614 33.464236364572656,126.33619565949832 33.46448242631275,126.33692786718535 33.4648569968467,126.33699870090476 33.46497257825776,126.33693308084086 33.46495720095014))",C0103
50714,20230804,30,0,0,협재리 경로당,제주특별자치도,0,2 ,제주특별자치도 제주시 한림읍 한림로 400-7  제주특별자치도 제주시 한림읍 한림로 400-7,제주특별자치도 제주시 한림읍 협재리 1560-1 제주특별자치도 제주시 한림읍 한림로 400-7,제주지방경찰청 제주서부,50110,제주시,126.24594406712365,33.397831777807866,교통정보센터,0647111111,2,"POLYGON((126.24577916762918 33.39825652569192,126.24570390034525 33.39832869613266,126.24537758381582 33.39808378417807,126.24499488943114 33.397798457644306,126.24470717273877 33.39757882298375,126.24439886197173 33.397324000388274,126.24448312958108 33.3972468766899,126.24577916762918 33.39825652569192))",C0103
50713,20230804,30,0,0,옹포리 경로당,제주특별자치도,0,2 ,제주특별자치도 제주시 한림읍 월계로 21  제주특별자치도 제주시 한림읍 월계로 21,제주특별자치도 제주시 한림읍 옹포리 117-1 옹포리사무소 제주특별자치도 제주시 한림읍 월계로 21,제주지방경찰청 제주서부,50110,제주시,126.25563686367815,33.403495873390156,교통정보센터,0647111111,2,"POLYGON((126.25451449891129 33.403804690827045,126.2546126666527 33.40384785561242,126.25493667869155 33.403318866369254,126.25536225056203 33.40243485925543,126.2557305943033 33.4016081086233,126.25562937861267 33.40157243971566,126.25554733323102 33.40173974302311,126.25504500698321 33.40287122696445,126.25451449891129 33.403804690827045))",C0103
