SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51553,20240629,30,0,0,수청초등학교,충청남도,0,2 ,충청남도 당진시 수청2로 37 (수청동) 1558,충청남도 당진시 수청동 1558 수청초등학교 1558,충남지방경찰청 당진,44270,당진시,126.6519759823752,36.88908830364527,당진시 도로과,0413589871,1,"POLYGON((126.64888607521902 36.88832454713684,126.64888137411096 36.88812629242883,126.65417616389435 36.88815083041079,126.65417529007013 36.88834456324191,126.64888607521902 36.88832454713684))",C0103
51449,20240603,30,30,0,효성요양원,충청남도,7,2 ,충청남도 계룡시 엄사면 도곡로 46-12  효성요양원,충청남도 계룡시 엄사면 광석리 147-6 효성요양원,충남지방경찰청 논산,44250,계룡시,127.225850702009,36.26364218388064,도로관리팀,0428414800,2,"POLYGON((127.2270958878719 36.26324217527212,127.22692067475937 36.263260531647646,127.2263809559231 36.2632570484063,127.22605270721591 36.263266681136535,127.22598872795585 36.26326905501433,127.22553554222951 36.26336678852922,127.22526611592657 36.26351599292415,127.22496905593843 36.2637305851022,127.22481081089943 36.263845784601955,127.22473860773475 36.26389097988347,127.22465219116754 36.26383031177036,127.22508528604617 36.26351633335125,127.22526855502512 36.2633965803976,127.22543242073579 36.26330164651215,127.22550467477012 36.2632744745524,127.2260078903135 36.26316087577167,127.22652532657388 36.263155390980025,127.2269537718261 36.26316133773776,127.22708448600005 36.263147571764605,127.2270958878719 36.26324217527212))",C0103
51448,20240603,30,30,0,효성요양원,충청남도,6,2 ,충청남도 계룡시 엄사면 도곡로 46-12  효성요양원,충청남도 계룡시 엄사면 광석리 147-6 효성요양원,충남지방경찰청 논산,44250,계룡시,127.225850702009,36.26364218388064,도로관리팀,0428414800,2,"POLYGON((127.22585741093157 36.2640398221283,127.22638652640245 36.26325929084307,127.22646442208905 36.26325914338454,127.22590755860148 36.26406451020006,127.22585741093157 36.2640398221283))",C0103
51450,20240603,30,30,0,효성요양원,충청남도,3~4,2 ,충청남도 계룡시 엄사면 도곡로 46-12  효성요양원,충청남도 계룡시 엄사면 광석리 147-6 효성요양원,충남지방경찰청 논산,44250,계룡시,127.225850702009,36.26364218388064,도로관리팀,0428414800,2,"POLYGON((127.22474417175782 36.26389096942889,127.22500014912694 36.26390175307671,127.22568436846065 36.26384639250691,127.22552999767579 36.26337355792349,127.22547443552327 36.263400698433905,127.22560356058672 36.26380148535706,127.2249888789184 36.263852208722966,127.22480247132617 36.26384805325596,127.22474417175782 36.26389096942889))",C0103
51451,20240529,30,30,0,도장1리 경로당,충청남도,14,1 ,충청남도 천안시 동남구 목천읍 도전마을길 3  328-9,충청남도 천안시 동남구 목천읍 도장리 328-9 328-9,충남지방경찰청 천안동남,44131,천안시 동남구,127.17501482776888,36.74820970836998,천안시 교통정책과,04112345678,2,"POLYGON((127.17383228264184 36.74768090756272,127.17385726365431 36.74758625351458,127.1764392780665 36.74801273780618,127.17641712011954 36.748116399395386,127.17383228264184 36.74768090756272))",C0103
51452,20240529,30,30,0,용원3리 경로당,충청남도,9,1 ,충청남도 천안시 동남구 성남면 도장로 379  392-2,충청남도 천안시 동남구 성남면 용원리 392-2 용원리경로당 392-2,충남지방경찰청 천안동남,44131,천안시 동남구,127.20907388574231,36.750386421320655,천안시 교통정책과,04112345678,2,"POLYGON((127.20815261732632 36.75029905092449,127.20811038185292 36.7502090129311,127.2086085169151 36.7501450624123,127.20925256595095 36.75020700992507,127.20938137220766 36.75021804733736,127.20962235346009 36.750300976548814,127.20990273040931 36.750458178069806,127.20982174178815 36.75053041038742,127.20935364679181 36.75031721916732,127.20862557598502 36.7502419027607,127.20842681346639 36.750242251063945,127.20815261732632 36.75029905092449))",C0103
51453,20240529,30,30,0,대흥2리 경로당,충청남도,12,1 ,충청남도 천안시 동남구 성남면 대흥3길 9-2  530-2,충청남도 천안시 동남구 성남면 대흥리 530-2 530-2,충남지방경찰청 천안동남,44131,천안시 동남구,127.22899457870851,36.72953489875487,천안시 교통정책과,04112345678,2,"POLYGON((127.22865003942906 36.72849138657913,127.2286973363821 36.72839667794205,127.22987696184431 36.72885848311694,127.23059190803824 36.72928513285065,127.23052217605478 36.729364116052786,127.22981840414774 36.728930685919536,127.22865003942906 36.72849138657913))",C0103
51253,20240403,30,30,0,신두2리 경로당,충청남도,6,2 ,충청남도 천안시 서북구 입장면 율목길 17-7  신두2리 경로당,충청남도 천안시 서북구 입장면 신두리 42-12 신두리마을회관 신두2리 경로당,충남지방경찰청 천안서북,44133,천안시 서북구,127.20359393524382,36.913387582942455,교통정책과,0419999999,2,"POLYGON((127.20452888971016 36.91261554161363,127.20453987670784 36.912527666025056,127.20229532481123 36.912441399818654,127.20228996983008 36.912538276555814,127.20452888971016 36.91261554161363))",C0103
50988,20231224,30,0,0,세단어린이집,충청남도,0,2 ,충청남도 당진시 돌비로 21 (원당동) 세단어린이집,충청남도 당진시 원당동 668 세단어린이집,충남지방경찰청 당진,44270,당진시,126.6420938044189,36.91349657758147,도로과,0413574545,1,"POLYGON((126.64148225120539 36.91408945335645,126.64142906437019 36.91406451284609,126.64149671053515 36.91399713521416,126.641547355477 36.913965749867344,126.64185060283225 36.91391034630779,126.64196295594539 36.913881399527135,126.64206138722037 36.913829883430786,126.64216268690504 36.91376485953354,126.64223305338865 36.9137155114823,126.64242135161282 36.91364399114829,126.64257586914053 36.913597148877344,126.6425812486859 36.91364672504555,126.64225249128492 36.913758371820684,126.64208360940165 36.91387725763749,126.64195428702028 36.91393543883315,126.64164540774355 36.913995331121335,126.64155275546318 36.91401082068663,126.64148225120539 36.91408945335645))",C0103
50952,20231211,30,0,0,의항3리 노인보호구역,충청남도,0,2 ,충청남도 태안군 소원면 송의로 348-3  ,충청남도 태안군 소원면 의항리 1065-4 충청남도 태안군 소원면 송의로 348-3,충남지방경찰청 태안,44825,태안군,126.16945301273275,36.80649386114628,소원면사무소,0416705681,2,"POLYGON((126.16860101866591 36.80523089434925,126.16870770759245 36.80520911304712,126.16896313280274 36.80594077705217,126.16911152675642 36.80620763399067,126.17011263960929 36.807413067245975,126.17073050540502 36.80830945130867,126.17062902657044 36.80836731411659,126.16908176195413 36.80636962129848,126.16892732714653 36.806143270932196,126.16860101866591 36.80523089434925))",C0103
