SNCT_SEQ,REG_DT,MAX_SPD,MAX_SPD_ORG,CCTV_CNT,FCLTY_NM,SIDO_NM,ROAD_WDT,CCTV_YN,ADDR,LADDR,POL_NM,SIGUN_CD,SIGUN_NM,X,Y,GOV_NM,GOV_TEL,FCLTY_TY,GEOM,DATA_TYPE
51566,20240707,30,30,2,연탄리2구 마을회관,충청북도,12,1 ,충청북도 증평군 증평읍 초평로 1645  ,충청북도 증평군 증평읍 연탄리 748-1 연탄리2구마을회관 연탄리2구마을회관,충북지방경찰청 괴산,43745,증평군,127.55558856090518,36.79973993990412,증평군청,0431111111,2,"POLYGON((127.55428748275783 36.79994875831867,127.55423361130894 36.79985889929273,127.55447104445719 36.79976542978325,127.55499645980163 36.79959627548866,127.55537652216293 36.79947059999407,127.55563343054125 36.799359015208026,127.55578948081681 36.799245648474475,127.55596212578729 36.79910291818752,127.55626381674831 36.79859914381475,127.55651223402303 36.798088859675644,127.55666453383803 36.797844849689056,127.55677691982252 36.79789163143206,127.5566106799759 36.798144717808256,127.55634299749622 36.79870240006138,127.55604658325024 36.799161094914865,127.55583516182122 36.79936483085396,127.55568178233236 36.79946016315151,127.55541648649685 36.79957403996233,127.55481833959716 36.79975705193028,127.55458637929628 36.79983247459616,127.55428748275783 36.79994875831867))",C0103
51567,20240707,30,30,1,하모산경로당,충청북도,7,1 ,충청북도 증평군 도안면 원명로 123  ,충청북도 증평군 도안면 광덕리 340-4 광덕2리마을회관 하모산경로당,충북지방경찰청 괴산,43745,증평군,127.62811113138481,36.828673653236265,괴산군청,0431111111,2,"POLYGON((127.62723991177874 36.82870979074911,127.62722785718631 36.82860622863428,127.62739008902254 36.828569328972755,127.62791350631298 36.8284944784612,127.62830000317132 36.82846765664826,127.62867840656548 36.82847917282979,127.62964683466592 36.82867904695715,127.62973941724886 36.82869207302809,127.62987115647415 36.828695880668505,127.63003650335877 36.82869725734961,127.63004292044569 36.82879634357083,127.62984676783134 36.82879738282522,127.62971777522773 36.82878680241447,127.6296083979151 36.82877611799515,127.62906383445925 36.828664111049974,127.62863996868288 36.82857624356859,127.62823918426965 36.82856935099192,127.62791153252995 36.82859586185773,127.62723991177874 36.82870979074911))",C0103
51565,20240706,30,30,0,대한노인회 증평군지회 증평읍분회,충청북도,15,2 ,충청북도 증평군 증평읍 역전로 64  ,충청북도 증평군 증평읍 신동리 282 증평노인회관 대한노인회,충북지방경찰청 괴산,43745,증평군,127.58130715327417,36.78087186283912,증평군청,0438381823,2,"POLYGON((127.5812665818536 36.78143299734631,127.58237195193861 36.78020884991327,127.58246757584457 36.78026244788517,127.58135658855548 36.78148437088939,127.5812665818536 36.78143299734631))",C0103
51526,20240620,30,30,0,광진리경로당,충청북도,6,2 ,충청북도 괴산군 장연면 충민로광진2길 17-6  광진리경로당,충청북도 괴산군 장연면 광진리 805-5 광진리경로당,충북지방경찰청 괴산,43760,괴산군,127.9292088240776,36.870584600996295,안전건설과,0438303403,2,"POLYGON((127.92473354343723 36.86915076576438,127.9247064862383 36.869232072515125,127.92614098179352 36.86961286727136,127.92653951016045 36.8696458036486,127.92718365569833 36.86958671581542,127.92803318603603 36.86935481777199,127.92877286357172 36.86931299668497,127.92977280593125 36.869462864879225,127.92979963942014 36.869363537386114,127.92883350340786 36.869226921228446,127.92799290222696 36.86926953079415,127.9271488163087 36.869487870040295,127.92652704492322 36.86954227790492,127.92616760251141 36.86949552085074,127.92473354343723 36.86915076576438))",C0103
51545,20240620,30,0,0,이평리경로당,충청북도,0,2 ,충청북도 괴산군 청천면 문장로 2946  이평리경로당,충청북도 괴산군 청천면 이평리 182-22 청천이평마을회관 이평리경로당,충북지방경찰청 괴산,43760,괴산군,127.8737788177856,36.6626251913566,안전건설과,0438303403,2,"POLYGON((127.87206075581568 36.66375965762342,127.87215643084599 36.66381302320618,127.87411538845198 36.66197392715108,127.87451362427082 36.66158352916819,127.87549812485831 36.6596299125473,127.87539162639455 36.659608167776526,127.87439573573099 36.661543845094975,127.87206075581568 36.66375965762342))",C0103
51543,20240620,30,0,0,화양2리경로당,충청북도,0,2 ,충청북도 괴산군 청천면 도경로현천2길 13  화양2리경로당,충청북도 괴산군 청천면 화양리 101-16 화양2구경로당 화양2리경로당,충북지방경찰청 괴산,43760,괴산군,127.79350338120558,36.68319776101124,안전건설과,0438303403,2,"POLYGON((127.7891429630367 36.6834790488313,127.78909715562455 36.68337572524182,127.79290874838335 36.682489848729084,127.79345737701867 36.68253124942693,127.79379479449796 36.68270471612463,127.79483748088938 36.68346370019443,127.79564652911618 36.684891054214845,127.79555203945922 36.684950257409,127.79473725966383 36.68350942442797,127.79352057198182 36.682693027318564,127.79311136438422 36.68261014860188,127.7891429630367 36.6834790488313))",C0103
51542,20240620,30,0,0,하관평경로당,충청북도,0,2 ,충청북도 괴산군 청천면 관평1길 16  하관평경로당,충청북도 괴산군 청천면 관평리 458 하관평리경로당 하관평경로당,충북지방경찰청 괴산,43760,괴산군,127.89313121852652,36.69393958245535,안전건설과,0438303403,2,"POLYGON((127.8967693086534 36.693590092767565,127.89680946212552 36.69367539453818,127.8961334539346 36.69375707796565,127.89530974868151 36.693646132442524,127.89388789887148 36.69309363041247,127.89324703845071 36.69282811103654,127.8920412286882 36.692571327853045,127.89079061838474 36.69255253211318,127.8907785466308 36.69247602913004,127.89207643239453 36.692470816979515,127.89331601392975 36.69274536837827,127.89532272855865 36.693559304228216,127.89611281547124 36.69366599722408,127.8967693086534 36.693590092767565))",C0103
51541,20240620,30,0,0,삼송4리경로당,충청북도,0,2 ,충청북도 괴산군 청천면 선유동1길 21  삼송2리경로당,충청북도 괴산군 청천면 삼송리 788 청천면삼송4구마을회관 삼송2리경로당,충북지방경찰청 괴산,43760,괴산군,127.86969465645694,36.6767034392759,안전건설과,0438303403,2,"POLYGON((127.86752374728164 36.676894989599035,127.86749466932888 36.67679608025889,127.87003116848705 36.67603867145944,127.87055406340566 36.67578254144768,127.87154976373434 36.674797562833554,127.8721515043186 36.67459040932995,127.87393007946001 36.67458187526295,127.87393674237612 36.6746764420221,127.87213579365269 36.67468514006495,127.87159577711834 36.674909863758614,127.87064441337021 36.67585847452635,127.87012716194548 36.67611906920322,127.86766372453228 36.67690748626328,127.86752374728164 36.676894989599035))",C0103
51540,20240620,30,0,0,고마1리경로당,충청북도,0,2 ,충청북도 괴산군 소수면 원소로고마3길 4  고마1리경로당,충청북도 괴산군 소수면 고마리 144-1 고마1리경로당,충북지방경찰청 괴산,43760,괴산군,127.74961071119873,36.83390112601016,안전건설과,0438303403,2,"POLYGON((127.75264806961022 36.834992524288054,127.75277075421008 36.83492867156607,127.75211346762065 36.83420295224845,127.75157286855124 36.83394505610494,127.74609617907905 36.83272253631902,127.74604648224476 36.832799440499656,127.75148407649932 36.834035725942144,127.75199638822609 36.83426676884291,127.75264806961022 36.834992524288054))",C0103
51539,20240620,30,30,1,고마2리경로당,충청북도,6,1 ,충청북도 괴산군 소수면 화산재로고마길 3-5  고마2리경로당,충청북도 괴산군 소수면 고마리 576-3 허원당 마을회관 고마2리경로당,충북지방경찰청 괴산,43760,괴산군,127.73993347430229,36.83072770328831,안전건설과,0438303403,2,"POLYGON((127.74091526104753 36.832280468957805,127.74103230338261 36.83221215802425,127.74033883205286 36.831207261264225,127.7402969965684 36.83093719574733,127.74080208780812 36.829843734681425,127.74066728043262 36.82981303651218,127.74017917422714 36.83092441301426,127.74021040815808 36.831257620648316,127.74091526104753 36.832280468957805))",C0103
