행정구역,2012년_총인구수,2012_노인계,2012_노인비율,2013년_총인구수,2013_노인계,2013_노인비율,2014년_총인구수,2014_노인계,2014_노인비율,2015년_총인구수,2015_노인계,2015_노인비율,2016년_총인구수,2016_노인계,2016_노인비율,2017년_총인구수,2017_노인계,2017_노인비율,2018년_총인구수,2018_노인계,2018_노인비율,2019년_총인구수,2019_노인계,2019_노인비율,2020년_총인구수,2020_노인계,2020_노인비율,2021년_총인구수,2021_노인계,2021_노인비율,2022년_총인구수,2022_노인계,2022_노인비율,2023년_총인구수,2023_노인계,2023_노인비율
서울특별시,10195318,1105583,10.84402664,10143645,1161708,11.45256956,10103233,1216529,12.04098728,10022181,1262436,12.59641988,9930616,1295899,13.04953288,9857426,1359901,13.79570082,9765623,1410297,14.44144424,9729107,1478664,15.19835274,9668465,1561139,16.14670995,9509458,1597447,16.79850734,9428372,1658207,17.58741594,9386034,1733580,18.46978181
서울 종로구,165207,23730,14.36379814,160070,23853,14.90160555,156993,24376,15.52680693,154986,24752,15.97047475,152737,24950,16.33526912,154770,26030,16.81850488,153065,26572,17.35994512,151290,27318,18.05671227,149384,28311,18.95182884,144683,27609,19.08240775,141379,27704,19.59555521,139417,28500,20.44227031
서울 중구,133360,18690,14.01469706,130465,19152,14.67979918,128065,19740,15.41404755,125733,20081,15.9711452,125249,20388,16.27797428,125709,21148,16.82298006,125725,21750,17.29966196,126171,22974,18.20862163,125240,24174,19.30213989,122499,24037,19.622201,120437,24660,20.47543529,121312,25525,21.04078739
서울 용산구,243232,32786,13.47931193,239740,33775,14.08817886,235951,34571,14.65177092,233342,35352,15.15029442,230241,35547,15.43903996,229161,36488,15.92243008,228999,37212,16.24985262,228670,38346,16.76914331,230040,39779,17.29221005,222953,38552,17.29153678,218650,38478,17.59798765,213151,39239,18.40901521
서울 성동구,299604,34056,11.36700445,299337,35296,11.79139231,296086,36564,12.34911478,297003,38025,12.80290098,299259,39140,13.07897173,304808,41152,13.50095798,308221,42629,13.83066047,300889,43796,14.55553377,293556,45435,15.47745575,285990,46201,16.15476066,281000,47530,16.91459075,277361,49260,17.76024748
서울 광진구,371313,35539,9.571170414,368927,37413,10.14103061,363354,38808,10.6804934,360369,40205,11.15662002,357215,41292,11.559425,357703,43790,12.24199965,355559,45432,12.77762622,351350,47681,13.57079835,346682,50311,14.51214658,339996,51450,15.13253097,337416,53737,15.92603789,335554,56461,16.82620383
서울 동대문구,363258,46625,12.83523006,364273,48911,13.42701765,363687,50756,13.95595663,360153,52331,14.53021355,355069,53301,15.01144848,350647,55547,15.84128768,348052,56991,16.37427741,346194,59170,17.09157293,342837,61612,17.97122248,337400,62009,18.37848251,336644,64255,19.08692862,341149,66790,19.57795567
서울 중랑구,419295,46402,11.06667144,416798,48937,11.74117918,418836,51919,12.39602135,413909,54021,13.05141951,411005,55842,13.58669603,408226,59189,14.49907649,403209,61748,15.31414229,397015,65065,16.38854955,394702,69341,17.56793733,387350,71560,18.4742481,385318,74790,19.40994192,382155,78791,20.61755047
서울 성북구,481857,58000,12.03676609,476589,60353,12.66353189,466706,61929,13.26938158,459275,63132,13.74601274,450355,63878,14.18392157,444055,66121,14.8902726,435868,67646,15.51983628,442650,70699,15.97176098,437153,73613,16.83918445,430528,74545,17.31478557,430397,77293,17.95853596,425602,80232,18.85141517
서울 강북구,343157,46147,13.44778046,338707,48465,14.30882739,335025,50755,15.1496157,330873,52503,15.86802187,327195,53964,16.49291707,324479,56437,17.39311327,319164,58103,18.2047474,313954,60474,19.2620575,308055,63313,20.55249874,299182,64218,21.46452661,293660,66170,22.53286113,288113,68473,23.76602236
서울 도봉구,362270,42230,11.65705137,358582,44434,12.39158686,353709,46438,13.12887147,351242,48553,13.82323298,348220,50466,14.49256217,344166,53445,15.52884364,339413,55926,16.47727105,333362,58664,17.5976866,325257,62009,19.0646166,317366,64114,20.20191199,311694,66942,21.47683305,306948,70374,22.92701044
서울 노원구,597189,61150,10.23963938,590479,63731,10.79310187,582552,66411,11.40001236,574583,68843,11.98138476,567581,70819,12.47733804,554403,74178,13.37979773,543752,77032,14.16675249,532905,80854,15.17231026,523037,85420,16.3315406,510956,88271,17.27565583,503734,91946,18.25288744,498213,96309,19.3308886
서울 은평구,501480,60649,12.09400175,503660,64188,12.74431164,498644,66864,13.40916566,497920,69610,13.98015746,491476,71304,14.50813468,486794,74400,15.28367235,483197,77263,15.98995855,480032,80567,16.78367276,479835,85010,17.71650672,473307,87038,18.38933293,466746,89422,19.15860018,466770,93565,20.04520428
서울 서대문구,315113,41756,13.25111944,314110,43529,13.85788418,310376,44982,14.49274428,312141,46417,14.87052326,314194,47303,15.05534797,312800,48898,15.63235294,310313,50045,16.12726505,309397,51645,16.69214634,312173,53756,17.21993894,304819,53822,17.65703581,306337,55502,18.11795506,306231,57588,18.8054116
서울 마포구,384644,44027,11.44616841,381856,45508,11.9175815,385439,47096,12.21879467,387643,48348,12.47230054,379892,48060,12.65096396,374915,49356,13.16458397,375077,50544,13.475633,374035,52104,13.93024717,371890,54002,14.5209605,368905,54231,14.70053266,364638,55533,15.229625,363697,57504,15.81096352
서울 양천구,495911,43392,8.74995715,492528,45896,9.318454991,486221,48068,9.886039476,484532,50282,10.37743637,477739,51957,10.87560362,471154,55136,11.70233087,464185,57941,12.4823077,458165,61147,13.34606528,454251,65541,14.4283667,447302,68483,15.31023783,440881,72235,16.38423974,436028,76126,17.45897052
서울 강서구,567431,55641,9.805773742,569070,59330,10.42578242,585160,64117,10.95717411,589074,67792,11.50823156,595485,70889,11.90441405,601691,75845,12.60530738,596949,79445,13.30850709,591796,83839,14.16687507,580185,88733,15.29391487,574315,92336,16.07758808,569166,96880,17.02139622,563058,101808,18.08126339
서울 구로구,427520,44579,10.42734843,424964,47367,11.14612061,425831,50615,11.8861708,422092,53146,12.59109388,417551,55159,13.21012284,410742,58213,14.17264365,404497,61105,15.10641612,406664,64932,15.96698995,404408,69201,17.11167929,396754,71445,18.00737989,395315,74491,18.84345395,392405,78377,19.97349677
