사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2014010100100016,2014년 1월 1일 00시,수요일,전라북도 전주시 완산구 서신동,경상사고,0,0,2,0,차대차 - 측면직각충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,33세,상해없음,승용,남,28세,경상
2014010100100017,2014년 1월 1일 00시,수요일,전라북도 전주시 덕진구 우아동3가,경상사고,0,0,2,0,차대사람 - 보도통행중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,78세,상해없음,보행자,남,43세,경상
2014010100100107,2014년 1월 1일 04시,수요일,전라북도 군산시 금광동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,보행자,남,79세,사망
2014010100100164,2014년 1월 1일 07시,수요일,전라북도 장수군 장계면,중상사고,0,1,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,49세,중상
2014010100100190,2014년 1월 1일 09시,수요일,전라북도 진안군 주천면,중상사고,0,1,5,0,차대차 - 정면충돌,중앙선침범,결빙,맑음,단일로 - 기타,승합,남,59세,경상,승용,남,71세,중상
2014010100100191,2014년 1월 1일 09시,수요일,전라북도 완주군 용진면,중상사고,0,1,0,0,차대차 - 추돌 - 주정차중,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,28세,상해없음,이륜,여,73세,중상
2014010100100251,2014년 1월 1일 13시,수요일,전라북도 익산시 중앙동1가,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,승용,남,51세,경상
2014010100100274,2014년 1월 1일 14시,수요일,전라북도 전주시 덕진구 덕진동1가,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,신호위반,건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,승용,남,42세,경상
2014010100100275,2014년 1월 1일 14시,수요일,전라북도 정읍시 연지동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,56세,상해없음,승용,남,66세,상해없음
2014010100100276,2014년 1월 1일 14시,수요일,전라북도 고창군 고창읍,중상사고,0,2,1,0,차대차 - 측면직각충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,승용,여,47세,중상
2014010100100302,2014년 1월 1일 16시,수요일,전라북도 익산시 동산동,경상사고,0,0,2,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,51세,경상
2014010100100314,2014년 1월 1일 17시,수요일,전라북도 고창군 고창읍,중상사고,0,1,0,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,승용,남,35세,중상
2014010100100368,2014년 1월 1일 19시,수요일,전라북도 남원시 고죽동,중상사고,0,1,0,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,승용,여,37세,중상
2014010100100384,2014년 1월 1일 20시,수요일,전라북도 군산시 나운동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 횡단보도상,승용,여,50세,상해없음,보행자,남,11세,경상
2014010100100385,2014년 1월 1일 20시,수요일,전라북도 고창군 심원면,중상사고,0,2,0,0,차량단독 - 전도전복,안전운전불이행,습기,흐림,단일로 - 기타,화물,남,47세,상해없음,,,,
2014010100100386,2014년 1월 1일 20시,수요일,전라북도 부안군 동진면,경상사고,0,0,1,0,차량단독 - 전도전복,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,54세,경상,,,,
2014010100100411,2014년 1월 1일 21시,수요일,전라북도 전주시 덕진구 우아동1가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,50세,상해없음,보행자,여,21세,중상
2014010100100412,2014년 1월 1일 21시,수요일,전라북도 익산시 어양동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,20세,상해없음,화물,남,52세,경상
2014010100100440,2014년 1월 1일 23시,수요일,전라북도 정읍시 덕천면,경상사고,0,0,3,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,31세,경상,,,,
2014010200100013,2014년 1월 2일 01시,목요일,전라북도 익산시 왕궁면,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,,,,
2014010200100040,2014년 1월 2일 06시,목요일,전라북도 군산시 대야면,경상사고,0,0,3,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,화물,남,46세,경상
2014010200100041,2014년 1월 2일 06시,목요일,전라북도 군산시 소룡동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 횡단보도상,이륜,남,75세,중상,화물,남,45세,상해없음
2014010200100042,2014년 1월 2일 06시,목요일,전라북도 정읍시 연지동,경상사고,0,0,3,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,화물,남,47세,경상
2014010200100082,2014년 1월 2일 08시,목요일,전라북도 전주시 완산구 평화동2가,중상사고,0,1,0,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,39세,상해없음,승용,여,40세,중상
2014010200100083,2014년 1월 2일 08시,목요일,전라북도 익산시 마동,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,45세,상해없음,승용,여,53세,중상
2014010200100108,2014년 1월 2일 09시,목요일,전라북도 익산시 황등면,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,73세,경상,,,,
