"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상"
"서울특별시  (1100000000)","9,857,426","9,857,426","728,462","894,656","1,447,115","1,579,189","1,647,989","1,553,543","1,109,052","635,309","223,113","33,479","5,519","4,830,206","4,830,206","373,353","461,597","720,019","790,867","818,309","759,316","525,418","290,349","81,165","8,485","1,328","5,027,220","5,027,220","355,109","433,059","727,096","788,322","829,680","794,227","583,634","344,960","141,948","24,994","4,191"
"서울특별시 종로구 (1111000000)","154,770","154,770","9,003","12,978","23,907","21,433","25,072","25,857","18,058","12,439","4,922","875","226","75,967","75,967","4,576","6,586","12,163","10,650","12,263","13,125","8,780","5,528","1,920","310","66","78,803","78,803","4,427","6,392","11,744","10,783","12,809","12,732","9,278","6,911","3,002","565","160"
"서울특별시 종로구 청운효자동(1111051500)","13,272","13,272","1,025","1,420","1,696","1,929","2,381","1,992","1,269","1,044","429","70","17","6,254","6,254","542","766","879","871","1,052","963","546","433","170","30","2","7,018","7,018","483","654","817","1,058","1,329","1,029","723","611","259","40","15"
"서울특별시 종로구 사직동(1111053000)","9,441","9,441","716","762","1,115","1,421","1,617","1,501","1,064","770","383","75","17","4,318","4,318","382","366","507","630","725","696","486","336","162","26","2","5,123","5,123","334","396","608","791","892","805","578","434","221","49","15"
"서울특별시 종로구 삼청동(1111054000)","2,907","2,907","149","230","363","405","421","486","394","293","134","25","7","1,360","1,360","76","128","174","181","210","216","190","120","52","12","1","1,547","1,547","73","102","189","224","211","270","204","173","82","13","6"
"서울특별시 종로구 부암동(1111055000)","10,317","10,317","600","1,042","1,411","1,283","1,784","1,703","1,209","841","370","66","8","4,984","4,984","320","549","775","603","809","808","550","386","161","20","3","5,333","5,333","280","493","636","680","975","895","659","455","209","46","5"
"서울특별시 종로구 평창동(1111056000)","18,995","18,995","1,221","1,967","2,731","2,324","3,068","3,314","2,171","1,390","645","138","26","8,951","8,951","597","1,038","1,423","1,071","1,354","1,555","1,029","599","248","29","8","10,044","10,044","624","929","1,308","1,253","1,714","1,759","1,142","791","397","109","18"
"서울특별시 종로구 무악동(1111057000)","8,320","8,320","726","1,011","929","967","1,590","1,303","898","612","231","39","14","3,897","3,897","341","463","439","451","786","640","412","250","93","13","9","4,423","4,423","385","548","490","516","804","663","486","362","138","26","5"
"서울특별시 종로구 교남동(1111058000)","10,225","10,225","904","841","1,361","1,819","1,814","1,507","1,013","689","225","39","13","4,780","4,780","461","395","630","869","862","745","425","298","78","12","5","5,445","5,445","443","446","731","950","952","762","588","391","147","27","8"
"서울특별시 종로구 가회동(1111060000)","4,531","4,531","248","390","539","626","829","725","537","432","171","27","7","2,127","2,127","119","207","247","325","389","343","238","186","64","7","2","2,404","2,404","129","183","292","301","440","382","299","246","107","20","5"
